timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728463954348925000,672,1568,133,242,1156,427
1728463954349767000,890,1456,0,417,1151,220
1728463954350609000,1103,1306,0,604,1095,87
1728463954351451000,1258,1221,0,808,1005,0
1728463954352293000,1448,994,13,971,864,0
1728463954353135000,1563,692,149,1076,776,0
1728463954353977000,1582,469,314,1195,545,13
1728463954354819000,1596,278,522,1304,405,139
1728463954355661000,1520,125,750,1376,267,297
1728463954356504000,1397,4,974,1377,162,481
1728463954357346000,1248,5,1188,1336,69,678
1728463954358188000,1053,0,1405,1219,0,856
1728463954359030000,842,36,1557,1072,0,997
1728463954359872000,610,146,1662,897,0,1160
1728463954360714000,416,297,1739,704,28,1303
1728463954361556000,175,522,1715,450,141,1357
1728463954362398000,69,770,1664,363,299,1444
1728463954363240000,0,943,1574,225,442,1418
1728463954364082000,0,1151,1344,114,596,1353
1728463954364924000,0,1336,1114,22,746,1228
1728463954365765000,37,1487,896,0,866,1065
1728463954366607000,159,1591,672,0,990,865
1728463954367449000,314,1632,452,11,1069,671
1728463954368291000,522,1619,233,122,1133,531
1728463954369133000,730,1546,90,290,1162,312
1728463954369975000,945,1456,0,474,1139,189
1728463954370817000,1150,1309,0,652,1067,70
1728463954371659000,1367,1121,0,825,941,0
1728463954372501000,242,1623,546,0,1141,1041
1728463954373343000,425,1632,338,8,1250,825
1728463954381769000,1431,32,932,1611,306,388
1728463954382611000,1279,1,1166,1615,171,604
1728463954383453000,1088,0,1351,1540,58,818
1728463954384295000,886,13,1504,1402,0,1072
1728463954385137000,668,125,1635,1223,0,1253
1728463954385979000,458,282,1706,997,0,1386
1728463954386822000,267,553,1716,791,71,1495
1728463954387665000,171,754,1642,614,224,1608
1728463954388507000,0,807,1527,419,422,1660
1728463954389349000,0,1072,1359,258,576,1632
1728463954390191000,0,1296,1162,122,729,1560
1728463954391033000,14,1456,940,0,887,1405
1728463954391875000,122,1571,712,0,1038,1200
1728463954392716000,279,1623,491,1,1172,988
1728463954393558000,482,1626,288,32,1288,767
1728463954394400000,656,1571,130,189,1350,578
1728463954395243000,893,1438,14,381,1374,386
