seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728463376071508,1728463376071508,1249,5,1191,788,2,457,(223.82431030273438+330.8841857910156j),(-370.9972839355469+54.23664474487305j),(147.56298828125-406.4716491699219j),(170.86314392089844+108.11465454101562j),(-148.1688232421875+71.68839263916016j),(3.628622055053711-222.61679077148438j)
1,1728463376072349,841,1056,0,1383,712,0,544,(141.70693969726562+380.52679443359375j),(-346.8365478515625-36.78466033935547j),(207.89306640625-365.10565185546875j),(136.33456420898438+148.45925903320312j),(-137.968994140625+37.24860382080078j),(43.574790954589844-218.79403686523438j)
2,1728463376073190,841,853,19,1542,607,0,642,(60.365638732910156+410.1252136230469j),(-308.191650390625-120.66197967529297j),(254.37448120117188-309.82574462890625j),(101.31436157226562+180.84344482421875j),(-123.38870239257812+5.500689506530762j),(76.82376098632812-205.9273681640625j)
3,1728463376074031,841,629,201,1652,494,0,743,(-18.901966094970703+419.52813720703125j),(-258.0087890625-194.05172729492188j),(287.01715087890625-243.84918212890625j),(66.9137191772461+205.1523895263672j),(-106.2398681640625-22.77215576171875j),(104.24126434326172-185.26036071777344j)
4,1728463376074873,842,430,313,1731,382,60,810,(-91.62371826171875+409.7769470214844j),(-203.46047973632812-255.4141845703125j),(305.697509765625-170.53985595703125j),(34.15510559082031+221.54119873046875j),(-86.4630126953125-46.7431640625j),(125.69750213623047-158.11508178710938j)
5,1728463376075715,842,250,444,1707,279,174,853,(-156.56671142578125+382.2803955078125j),(-143.01895141601562-302.74603271484375j),(311.5289611816406-93.0819091796875j),(3.664064884185791+230.33811950683594j),(-68.44056701660156-66.73068237304688j),(141.73123168945312-125.71600341796875j)
6,1728463376076557,842,220,678,1660,193,207,875,(-212.0192108154297+338.9554138183594j),(-77.65888977050781-334.2344055175781j),(306.6124267578125-14.208941459655762j),(-24.643840789794922+231.8602752685547j),(-53.264495849609375-83.35685729980469j),(153.13955688476562-89.11717224121094j)
7,1728463376077399,842,42,917,1504,168,314,867,(-261.2510986328125+280.91046142578125j),(-15.793898582458496-350.25689697265625j),(289.9819030761719+62.990234375j),(-51.45545959472656+226.251953125j),(-38.00508499145508-96.48080444335938j),(161.60914611816406-48.95783996582031j)
8,1728463376078241,842,0,1146,1349,42,426,801,(-294.50677490234375+211.90704345703125j),(40.62408447265625-351.7274169921875j),(266.13226318359375+136.522216796875j),(-79.4034423828125+212.95718383789062j),(-24.376554489135742-106.41595458984375j),(162.65614318847656-7.101304531097412j)
9,1728463376079082,841,0,1319,1141,0,517,708,(-316.1350402832031+134.6741943359375j),(93.44768524169922-339.09576416015625j),(235.0511932373047+204.31997680664062j),(-103.03866577148438+192.86038208007812j),(-13.148650169372559-113.69307708740234j),(161.08480834960938+35.810733795166016j)
