seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728462796518991,1728462796518991,535,0,671,498,0,254,(108.26217651367188+23.214611053466797j),(-79.29200744628906+85.01997375488281j),(-36.77957534790039-115.4984359741211j),(51.704627990722656-28.662799835205078j),(9.127898216247559+85.53304290771484j),(-80.98660278320312-8.84956169128418j)
1,1728462796519832,841,437,0,749,454,0,325,(104.07867431640625+51.92133331298828j),(-78.8740005493164+66.88493347167969j),(-32.638824462890625-128.31832885742188j),(49.633907318115234-16.374547958374023j),(7.486945629119873+90.55644226074219j),(-85.63612365722656-32.107872009277344j)
2,1728462796520674,842,324,54,802,389,0,395,(99.2083740234375+80.33572387695312j),(-78.28419494628906+48.268184661865234j),(-27.252986907958984-140.14732360839844j),(49.32318878173828-3.7360711097717285j),(2.428422451019287+94.401611328125j),(-87.48825073242188-56.682918548583984j)
3,1728462796521515,841,205,136,849,303,0,459,(93.50885009765625+108.22528076171875j),(-79.65760040283203+28.626712799072266j),(-17.419466018676758-149.7587127685547j),(52.07073974609375+10.084447860717773j),(-6.7129411697387695+95.93301391601562j),(-85.73408508300781-81.65485382080078j)
4,1728462796522357,842,125,228,848,250,10,495,(84.8501205444336+134.77857971191406j),(-82.66210174560547+7.487311363220215j),(-3.783281087875366-156.05535888671875j),(57.58716583251953+25.870624542236328j),(-18.35399055480957+94.39923095703125j),(-80.15225982666016-106.01205444335938j)
5,1728462796523199,842,41,341,866,183,64,531,(71.86775207519531+158.78994750976562j),(-87.82035827636719-15.779958724975586j),(15.485361099243164-157.41110229492188j),(63.13627624511719+43.700557708740234j),(-32.70288848876953+88.96656799316406j),(-69.06023406982422-128.2563934326172j)
6,1728462796524041,842,0,448,714,123,122,624,(55.205989837646484+179.18386840820312j),(-93.94478607177734-41.50904083251953j),(38.110801696777344-152.75221252441406j),(67.94652557373047+63.448360443115234j),(-50.308387756347656+78.6248779296875j),(-51.58272933959961-146.6023406982422j)
7,1728462796524883,842,1,569,624,46,210,583,(32.14326477050781+194.11753845214844j),(-98.03097534179688-69.24064636230469j),(69.54566192626953-139.50601196289062j),(69.8563232421875+84.40452575683594j),(-70.0707015991211+62.62307357788086j),(-29.83173370361328-159.76730346679688j)
8,1728462796525724,841,25,660,549,10,229,429,(2.9827394485473633+201.76449584960938j),(-98.18120574951172-97.99076843261719j),(104.44992065429688-116.43998718261719j),(69.25546264648438+105.93893432617188j),(-90.85385131835938+40.48795700073242j),(-1.3898534774780273-165.77569580078125j)
9,1728462796526565,841,0,721,453,0,289,437,(-32.03321838378906+200.29869079589844j),(-96.03684997558594-127.18050384521484j),(139.51986694335938-83.1633071899414j),(62.8198356628418+126.50857543945312j),(-107.45368957519531+13.124090194702148j),(37.37773132324219-161.60829162597656j)
10,1728462796527407,842,53,767,349,0,344,378,(-68.57566833496094+188.9896697998047j),(-87.37663269042969-155.07943725585938j),(170.69847106933594-40.35847473144531j),(50.112518310546875+144.39892578125j),(-118.82040405273438-18.250774383544922j),(77.48870849609375-146.54617309570312j)
11,1728462796528249,842,136,820,244,0,397,309,(-107.42573547363281+166.8718719482422j),(-70.42231750488281-179.41966247558594j),(194.8876190185547+10.437812805175781j),(30.43079376220703+157.6466827392578j),(-123.89299011230469-52.09162139892578j),(117.92888641357422-120.11681365966797j)
12,1728462796529091,842,85,288,841,327,23,627,(-146.55242919921875+133.4898681640625j),(-46.17637252807617-198.12181091308594j),(210.13633728027344+67.11187744140625j),(4.690690994262695+164.4647216796875j),(-122.16716003417969-86.66380310058594j),(155.90599060058594-82.57919311523438j)
13,1728462796529933,842,18,389,778,240,78,651,(-176.91343688964844+90.7950668334961j),(7.197956085205078-203.18211364746094j),(185.40505981445312+119.15846252441406j),(-38.59919738769531+159.9237823486328j),(-95.01071166992188-115.17901611328125j),(172.2081756591797-39.34923553466797j)
14,1728462796530775,842,0,496,766,157,146,673,(-195.02871704101562+41.74018478393555j),(60.5462646484375-194.12628173828125j),(148.00555419921875+163.0198974609375j),(-79.27899169921875+144.32254028320312j),(-61.23833465576172-135.65084838867188j),(177.24908447265625+6.756427764892578j)
15,1728462796531616,841,0,594,610,81,221,727,(-199.18643188476562-10.159220695495605j),(113.07344818115234-170.67637634277344j),(97.54998779296875+194.90904235839844j),(-114.49449920654297+118.73497772216797j),(-23.27797508239746-146.6734161376953j),(168.9778289794922+52.272239685058594j)
16,1728462796532458,842,0,677,491,31,293,679,(-189.7698974609375-61.366294860839844j),(156.25238037109375-134.82948303222656j),(43.21642303466797+213.364501953125j),(-142.00827026367188+84.87249755859375j),(15.879545211791992-147.59259033203125j),(146.3102569580078+93.31991577148438j)
17,1728462796533299,841,22,753,382,0,366,591,(-167.4208984375-108.39134979248047j),(187.95774841308594-89.22262573242188j),(-14.042394638061523+217.1285400390625j),(-159.98126220703125+44.99962615966797j),(56.315269470214844-137.70945739746094j),(114.193603515625+127.20997619628906j)
18,1728462796534140,841,101,794,265,0,418,437,(-133.179443359375-147.9003143310547j),(204.80674743652344-37.49225997924805j),(-70.0828857421875+206.00933837890625j),(-166.17678833007812+2.060105323791504j),(91.28585815429688-118.10734558105469j),(75.68782043457031+151.9779510498047j)
19,1728462796534982,842,188,924,185,17,500,374,(-89.39613342285156-177.0712890625j),(206.12319946289062+16.415699005126953j),(-121.73845672607422+180.65684509277344j),(-161.0476531982422-41.01980972290039j),(117.97911071777344-90.66131591796875j),(34.65946578979492+166.62612915039062j)
20,1728462796535824,842,274,682,90,0,618,290,(-33.59813690185547-192.32028198242188j),(189.1761932373047+67.68438720703125j),(-165.7563934326172+142.61544799804688j),(-145.6275634765625-81.48762512207031j),(136.69949340820312-57.230979919433594j),(-9.486554145812988+169.96214294433594j)
21,1728462796536666,842,373,738,18,64,565,225,(22.47444725036621-193.08261108398438j),(169.47833251953125+115.48362731933594j),(-195.93331909179688+95.14620208740234j),(-118.5284652709961-116.12179565429688j),(143.111083984375-20.903371810913086j),(-52.87101745605469+161.791015625j)
22,1728462796537508,842,501,666,0,137,580,138,(73.49320983886719-180.20135498046875j),(133.733642578125+155.39126586914062j),(-214.2449188232422+41.09584045410156j),(-84.07295227050781-142.74542236328125j),(143.765625+16.881118774414062j),(-93.66851806640625+142.3999786376953j)
23,1728462796538349,841,577,583,0,204,553,64,(118.47372436523438-154.81324768066406j),(88.63658905029297+184.62298583984375j),(-217.58108520507812-15.755130767822266j),(-44.10201644897461-159.5980224609375j),(134.01480102539062+53.385780334472656j),(-127.97661590576172+113.13207244873047j)
24,1728462796539190,841,672,490,0,306,517,13,(156.03482055664062-118.46505737304688j),(37.30921936035156+201.13275146484375j),(-206.08946228027344-71.53241729736328j),(-0.12510573863983154-165.2615509033203j),(115.10789489746094+86.11209106445312j),(-153.54061889648438+75.98185729980469j)
25,1728462796540031,841,738,378,30,383,463,0,(182.42550659179688-73.76329040527344j),(-16.86423110961914+203.70919799804688j),(-180.55319213867188-122.43489074707031j),(43.3361930847168-159.47946166992188j),(88.57626342773438+112.88374328613281j),(-168.4976043701172+33.51341247558594j)
26,1728462796540873,842,783,264,122,475,382,0,(195.8643035888672-23.883689880371094j),(-69.89884948730469+192.1659393310547j),(-141.7868194580078-164.74557495117188j),(84.54450988769531-142.45164489746094j),(55.81843185424805+131.82235717773438j),(-171.4300994873047-11.238920211791992j)
27,1728462796541714,841,765,178,210,549,322,0,(195.29144287109375+27.601970672607422j),(-117.85700988769531+167.3651123046875j),(-93.91378784179688-195.72129821777344j),(118.93539428710938-115.608154296875j),(19.838577270507812+141.78826904296875j),(-162.67990112304688-55.225337982177734j)
28,1728462796542555,841,741,78,320,603,245,21,(182.1370849609375+77.379150390625j),(-158.80853271484375+130.7165069580078j),(-39.534141540527344-213.21873474121094j),(145.32757568359375-80.74596405029297j),(-18.299602508544922+141.88665771484375j),(-142.84335327148438-95.44823455810547j)
29,1728462796543397,842,709,13,429,637,171,82,(156.6684112548828+122.08796691894531j),(-187.47067260742188+85.0950698852539j),(17.601726531982422-216.02391052246094j),(161.39498901367188-40.348716735839844j),(-54.68075180053711+132.24020385742188j),(-112.26609802246094-128.8968963623047j)
30,1728462796544238,841,626,0,545,636,94,178,(119.4898910522461+158.4119873046875j),(-203.428955078125+33.58827590942383j),(73.9997329711914-203.81625366210938j),(166.21786499023438+2.7658772468566895j),(-87.96951293945312+113.33377075195312j),(-74.31505584716797-153.35653686523438j)
31,1728462796545079,841,552,37,653,633,37,237,(75.30377197265625+184.177734375j),(-205.19058227539062-20.207504272460938j),(123.58583068847656-177.89138793945312j),(160.2004852294922+45.789039611816406j),(-114.26472473144531+86.7146224975586j),(-30.602102279663086-166.9661865234375j)
32,1728462796545921,842,455,0,760,590,0,325,(25.149642944335938+197.41363525390625j),(-194.45791625976562-73.02519226074219j),(164.81271362304688-140.00527954101562j),(142.89071655273438+85.69175720214844j),(-133.90130615234375+53.894832611083984j),(12.044792175292969-169.62872314453125j)
33,1728462796546762,841,353,37,811,551,0,426,(-28.814067840576172+196.65695190429688j),(-164.74594116210938-119.74478149414062j),(194.66819763183594-92.78294372558594j),(116.48712158203125+119.92726135253906j),(-143.28773498535156+17.402202606201172j),(55.05455780029297-160.86074829101562j)
34,1728462796547603,841,245,117,835,482,0,506,(-80.0589599609375+182.14251708984375j),(-127.89864349365234-158.2392578125j),(212.0087890625-39.24838638305664j),(81.23698425292969+145.9252166748047j),(-142.9093475341797-20.27635955810547j),(95.6978759765625-140.89312744140625j)
35,1728462796548445,842,146,209,855,400,0,580,(-125.55963134765625+154.9241943359375j),(-81.78033447265625-185.7342987060547j),(215.26498413085938+17.047157287597656j),(39.93598175048828+161.77371215820312j),(-132.79193115234375-56.5731201171875j),(129.9895477294922-111.03271484375j)
36,1728462796549287,842,65,301,836,313,37,633,(-162.3445587158203+116.88924407958984j),(-30.117218017578125-200.35618591308594j),(203.03489685058594+72.05155181884766j),(-4.542578220367432+166.26329040527344j),(-113.5444564819336-88.9929428100586j),(155.0623321533203-73.40069580078125j)
37,1728462796550128,841,2,414,772,225,96,669,(-187.66966247558594+70.72671508789062j),(24.133392333984375-200.95745849609375j),(177.06588745117188+122.03791809082031j),(-48.345577239990234+159.1742706298828j),(-86.28022766113281-115.2509994506836j),(169.138427734375-30.66948699951172j)
38,1728462796550970,842,0,604,686,143,165,661,(-199.49990844726562+19.765846252441406j),(77.0130615234375-187.410888671875j),(138.8430633544922+163.54583740234375j),(-88.82125091552734+140.98974609375j),(-52.786705017089844-133.4607696533203j),(171.4337615966797+14.184148788452148j)
39,1728462796551811,841,0,665,596,64,231,643,(-196.12750244140625-32.08910369873047j),(120.43934631347656-161.7504119873047j),(91.42109680175781+193.81130981445312j),(-123.09051513671875+112.9813232421875j),(-16.365358352661133-142.5538330078125j),(162.24314880371094+58.157432556152344j)
40,1728462796552652,841,0,730,477,10,362,605,(-180.53567504882812-81.59546661376953j),(156.75067138671875-125.45512390136719j),(37.33900451660156+210.65318298339844j),(-146.85012817382812+77.61849975585938j),(21.772123336791992-141.74876403808594j),(141.50161743164062+98.12425231933594j)
41,1728462796553493,841,34,757,374,0,397,549,(-153.26559448242188-125.54122924804688j),(183.23574829101562-80.7828369140625j),(-19.21904182434082+212.9344940185547j),(-160.60733032226562+37.32197952270508j),(56.18815231323242-131.6935577392578j),(111.20314025878906+131.3824920654297j)
42,1728462796554334,841,125,759,247,0,399,459,(-115.71172332763672-160.97471618652344j),(198.5442352294922-30.432777404785156j),(-74.84283447265625+200.39195251464844j),(-164.2711944580078-5.377776145935059j),(88.55962371826172-112.60971069335938j),(72.7657470703125+155.51467895507812j)
43,1728462796555176,842,360,783,150,0,482,378,(-70.74957275390625-185.61058044433594j),(201.18496704101562+22.401020050048828j),(-125.48602294921875+173.83712768554688j),(-157.28192138671875-47.71104431152344j),(117.0621337890625-85.2154541015625j),(30.197139739990234+169.09194946289062j)
44,1728462796556018,842,402,788,117,26,525,297,(-26.014347076416016-199.12872314453125j),(191.34922790527344+74.4631118774414j),(-165.39761352539062+135.65127563476562j),(-139.5741424560547-86.79289245605469j),(136.0946502685547-51.75507736206055j),(-14.153301239013672+171.26449584960938j)
45,1728462796556860,842,418,736,9,73,568,207,(23.512601852416992-199.85305786132812j),(165.4761962890625+121.4291000366211j),(-197.2455291748047+87.58476257324219j),(-112.51559448242188-120.0030746459961j),(146.30142211914062-14.379451751708984j),(-58.802490234375+161.5499725341797j)
46,1728462796557701,841,522,658,0,141,568,122,(75.08116149902344-186.78515625j),(127.36314392089844+159.83950805664062j),(-213.55538940429688+33.452423095703125j),(-76.69696044921875-144.78721618652344j),(145.11849975585938+23.997678756713867j),(-99.69772338867188+140.534912109375j)
47,1728462796558542,841,615,570,0,233,540,48,(122.15428924560547-160.64309692382812j),(80.68791961669922+187.09829711914062j),(-214.936767578125-22.959638595581055j),(-35.40248107910156-159.3808135986328j),(134.2846221923828+60.825679779052734j),(-133.43841552734375+109.73773193359375j)
48,1728462796559416,874,698,469,0,323,509,0,(160.253662109375-123.3701171875j),(28.46752166748047+201.32626342773438j),(-201.67059326171875-77.80703735351562j),(7.859556198120117-162.89720153808594j),(113.92588806152344+93.49772644042969j),(-157.57554626464844+71.38662719726562j)
49,1728462796560258,842,752,356,53,418,450,0,(187.04568481445312-77.6034164428711j),(-25.897457122802734+201.48907470703125j),(-174.49990844726562-127.30888366699219j),(50.799068450927734-155.0320281982422j),(85.08027648925781+119.5931625366211j),(-170.68252563476562+28.170629501342773j)
50,1728462796561099,841,781,249,132,485,383,0,(201.07945251464844-26.46188735961914j),(-78.37164306640625+187.59722900390625j),(-134.8393096923828-167.929931640625j),(89.35436248779297-136.55853271484375j),(50.18183135986328+137.2581329345703j),(-172.15774536132812-16.965145111083984j)
51,1728462796561941,842,781,137,223,562,303,0,(201.3181610107422+26.547679901123047j),(-125.2208480834961+160.662109375j),(-86.09710693359375-196.9235076904297j),(122.5390625-108.54155731201172j),(11.779745101928711+145.25645446777344j),(-161.9007110595703-60.94477462768555j)
52,1728462796562783,842,760,72,335,606,238,46,(187.02391052246094+77.59709167480469j),(-162.69744873046875+122.7350082397461j),(-30.82746696472168-212.1304168701172j),(147.1807098388672-72.93353271484375j),(-26.86072540283203+143.1832275390625j),(-140.61041259765625-100.7711181640625j)
53,1728462796563625,842,703,5,456,634,148,101,(160.04441833496094+123.21818542480469j),(-189.80526733398438+76.20645904541016j),(26.011777877807617-212.64373779296875j),(161.4447021484375-32.247371673583984j),(-64.01019287109375+131.08270263671875j),(-109.41576385498047-133.643798828125j)
54,1728462796564466,841,648,0,529,645,95,215,(122.57908630371094+160.40982055664062j),(-203.26272583007812+24.430652618408203j),(80.48367309570312-198.57945251464844j),(165.2155303955078+10.884432792663574j),(-94.58863830566406+110.36186218261719j),(-70.97721099853516-157.37652587890625j)
55,1728462796565307,841,554,0,638,633,10,197,(76.12049102783203+186.4648895263672j),(-202.6598358154297-29.010066986083984j),(131.0290069580078-170.4754638671875j),(156.72860717773438+53.263694763183594j),(-123.7528076171875+81.09553527832031j),(-29.195068359375-170.75096130371094j)
56,1728462796566148,841,405,104,741,606,0,313,(23.495220184326172+199.3381805419922j),(-188.2460174560547-80.47380065917969j),(172.77944946289062-130.19308471679688j),(137.1195831298828+91.88371276855469j),(-140.92758178710938+46.194847106933594j),(19.73629379272461-171.486083984375j)
57,1728462796566989,841,320,43,810,545,0,448,(-27.16726303100586+199.0906219482422j),(-164.8672332763672-127.4886474609375j),(201.95697021484375-80.67158508300781j),(107.86114501953125+124.02632904052734j),(-148.08169555664062+8.146055221557617j),(66.1844482421875-159.8013916015625j)
58,1728462796567830,841,218,137,843,463,0,533,(-78.45420837402344+185.092041015625j),(-125.00537109375-165.48104858398438j),(216.3975067138672-25.53383445739746j),(71.32080078125+147.51185607910156j),(-145.144287109375-30.45787811279297j),(105.89262390136719-137.06472778320312j)
59,1728462796568672,842,122,229,843,369,2,599,(-124.41072845458984+158.28562927246094j),(-76.58811950683594-191.84031677246094j),(216.03506469726562+31.451847076416016j),(30.108022689819336+160.78292846679688j),(-132.31553649902344-66.98616027832031j),(138.4033203125-104.81478881835938j)
60,1728462796569514,842,50,335,826,290,46,642,(-162.10479736328125+120.4334945678711j),(-23.481334686279297-204.89952087402344j),(200.8152313232422+86.36962890625j),(-13.135271072387695+162.93515014648438j),(-110.18797302246094-98.87395477294922j),(161.09713745117188-65.3464126586914j)
61,1728462796570356,842,4,456,757,202,114,672,(-188.71762084960938+74.11518859863281j),(30.91412353515625-203.8441619873047j),(170.5720977783203+135.12107849121094j),(-55.70360565185547+153.75714111328125j),(-80.3599853515625-123.89424133300781j),(172.84275817871094-21.338504791259766j)
62,1728462796571197,841,42,543,677,123,167,669,(-201.63064575195312+22.702926635742188j),(83.14271545410156-188.75698852539062j),(129.14413452148438+174.49168395996094j),(-94.56675720214844+133.84202575683594j),(-45.27386474609375-140.39584350585938j),(172.67733764648438+24.177509307861328j)
63,1728462796572038,841,15,629,576,96,248,639,(-202.32656860351562-30.70943832397461j),(130.4917449951172-160.45045471191406j),(78.65620422363281+201.72296142578125j),(-127.19274139404297+104.48226928710938j),(-6.387904644012451-147.06011962890625j),(160.4956512451172+68.03507995605469j)
64,1728462796572936,898,0,714,458,43,324,603,(-188.08795166015625-82.19076538085938j),(168.94137573242188-120.84282684326172j),(24.57124900817871+215.42282104492188j),(-152.0740966796875+67.41987609863281j),(32.61616134643555-143.50836181640625j),(137.1766357421875+107.19145965576172j)
65,1728462796573777,841,30,773,345,13,402,533,(-160.24549865722656-128.02780151367188j),(195.54794311523438-72.70879364013672j),(-30.532386779785156+214.8409881591797j),(-166.07244873046875+25.299213409423828j),(69.41217803955078-129.9718475341797j),(103.91407775878906+138.81646728515625j)
66,1728462796574619,842,109,797,214,0,458,463,(-120.56256103515625-164.84877014160156j),(208.99111938476562-19.274681091308594j),(-83.97004699707031+199.9200439453125j),(-167.48480224609375-18.685745239257812j),(100.68621063232422-107.57797241210938j),(67.82569122314453+161.88720703125j)
67,1728462796575460,841,218,853,170,0,506,389,(-71.81639862060547-189.9071502685547j),(207.01956176757812+35.51610565185547j),(-135.70948791503906+170.60922241210938j),(-156.94166564941406-61.397300720214844j),(127.31221771240234-77.25970458984375j),(24.701757431030273+174.216796875j)
68,1728462796576302,842,330,786,58,22,561,277,(-17.199207305908203-201.21487426757812j),(189.16342163085938+87.45516204833984j),(-178.98516845703125+128.66873168945312j),(-135.70321655273438-99.92473602294922j),(143.41314697265625-41.55769348144531j),(-26.18092918395996+173.3473358154297j)
69,1728462796577144,842,434,710,0,96,570,180,(36.3907585144043-198.56207275390625j),(158.67413330078125+133.05685424804688j),(-207.15423583984375+77.70085144042969j),(-104.41188049316406-131.42677307128906j),(149.00067138671875-3.0990824699401855j),(-71.08010864257812+160.41650390625j)
70,1728462796577985,841,554,634,0,171,576,103,(88.03155517578125-181.97860717773438j),(118.30657958984375+169.45074462890625j),(-220.2061004638672+21.43779754638672j),(-66.39566802978516-153.85366821289062j),(144.4842071533203+35.506019592285156j),(-111.22338104248047+136.27317810058594j)
71,1728462796578826,841,632,544,0,253,539,41,(132.73519897460938-152.8318328857422j),(69.73410034179688+194.11351013183594j),(-218.2512664794922-36.28620910644531j),(-23.70932388305664-165.63394165039062j),(129.8079376220703+71.54046630859375j),(-143.42807006835938+102.64894104003906j)
72,1728462796579667,841,706,437,4,349,490,0,(168.41207885742188-113.09727478027344j),(16.23226547241211+205.31053161621094j),(-201.4229736328125-91.53736877441406j),(20.893447875976562-165.87847900390625j),(106.34559631347656+102.55935668945312j),(-165.9535675048828+61.802879333496094j)
73,1728462796580509,842,760,326,72,422,424,0,(192.62950134277344-65.47199249267578j),(-38.103057861328125+202.34341430664062j),(-170.22409057617188-140.37786865234375j),(63.7982292175293-154.63536071777344j),(75.7751693725586+126.48116302490234j),(-176.2946014404297+16.745052337646484j)
74,1728462796581350,841,787,225,149,507,354,0,(204.05764770507812-13.104514122009277j),(-90.54344940185547+185.2202606201172j),(-127.68890380859375-179.5439910888672j),(103.05557250976562-132.47665405273438j),(40.014747619628906+141.66485595703125j),(-174.62144470214844-29.45391845703125j)
75,1728462796582191,841,767,133,257,580,287,0,(200.45599365234375+40.14522933959961j),(-137.0066680908203+155.04330444335938j),(-75.62095642089844-206.14019775390625j),(134.55596923828125-101.09575653076172j),(0.8185548186302185+146.88157653808594j),(-161.04812622070312-73.64566040039062j)
76,1728462796583033,842,747,50,357,616,213,54,(183.71823120117188+90.78855895996094j),(-173.43235778808594+114.04158020019531j),(-18.805789947509766-218.45103454589844j),(156.57931518554688-62.70672607421875j),(-37.86903762817383+141.916015625j),(-136.13742065429688-112.72151184082031j)
77,1728462796583875,842,700,0,464,657,177,104,(152.51148986816406+134.85655212402344j),(-197.8438720703125+65.05242919921875j),(40.10490798950195-215.41107177734375j),(168.3993682861328-19.796306610107422j),(-74.43616485595703+126.97716522216797j),(-101.84121704101562-143.98617553710938j)
78,1728462796584716,841,629,0,576,644,0,181,(108.02442932128906+168.558837890625j),(-207.93931579589844+11.630054473876953j),(98.27406311035156-196.677490234375j),(169.5155792236328+24.926916122436523j),(-107.82268524169922+102.5654296875j),(-59.333839416503906-164.96389770507812j)
79,1728462796585557,841,510,0,690,621,0,290,(57.376853942871094+189.8790283203125j),(-203.86404418945312-42.58488464355469j),(147.84169006347656-164.00146484375j),(154.95359802246094+67.32593536376953j),(-128.5615234375+71.735595703125j),(-13.20764446258545-174.32217407226562j)
80,1728462796586322,765,448,8,775,586,0,381,(4.385870933532715+197.75242614746094j),(-185.895751953125-93.89773559570312j),(186.13623046875-119.91175842285156j),(130.799560546875+104.74856567382812j),(-142.3852081298828+36.11415100097656j),(34.41288757324219-171.25070190429688j)
81,1728462796587163,841,303,74,821,526,0,463,(-49.481224060058594+191.46994018554688j),(-154.8565216064453-138.70376586914062j),(211.23171997070312-67.54241943359375j),(98.82927703857422+134.9249267578125j),(-146.88058471679688-1.9684116840362549j),(78.20718383789062-156.33621215820312j)
82,1728462796588005,842,200,170,853,448,0,549,(-98.51841735839844+171.82632446289062j),(-112.87579345703125-173.8416748046875j),(221.95816040039062-10.451553344726562j),(59.574684143066406+155.64755249023438j),(-141.3662872314453-39.916831970214844j),(117.091796875-130.47650146484375j)
83,1728462796588847,842,98,250,850,354,9,606,(-140.55908203125+140.22500610351562j),(-63.432403564453125-196.97080993652344j),(216.97943115234375+47.31922149658203j),(16.133262634277344+165.46109008789062j),(-126.21810150146484-75.14498901367188j),(147.636474609375-95.52013397216797j)
84,1728462796589689,842,26,349,800,269,58,650,(-172.58575439453125+98.9273910522461j),(-8.88255786895752-206.29925537109375j),(196.8157196044922+101.72506713867188j),(-28.327613830566406+163.70758056640625j),(-102.4281234741211-105.24134826660156j),(167.61004638671875-53.97874069213867j)
85,1728462796590531,842,0,469,741,178,121,677,(-192.6715545654297+50.79098129272461j),(46.58515167236328-201.09426879882812j),(163.66024780273438+149.16616821289062j),(-70.65869140625+150.5496063232422j),(-70.77383422851562-127.91764831542969j),(175.90985107421875-8.748004913330078j)
86,1728462796591372,841,0,576,654,93,192,668,(-199.2521209716797-0.8067470788955688j),(98.33272552490234-181.83993530273438j),(118.06797790527344+186.06439208984375j),(-108.02110290527344+126.91625213623047j),(-34.329071044921875-141.6285400390625j),(173.87039184570312+37.531829833984375j)
87,1728462796592213,841,0,663,596,42,266,633,(-192.2539520263672-52.3494987487793j),(142.6494598388672-150.03173828125j),(63.915794372558594+209.75424194335938j),(-137.55093383789062+94.53671264648438j),(4.3017683029174805-145.4720001220703j),(156.98428344726562+80.91962432861328j)
88,1728462796593054,841,4,741,495,0,343,582,(-172.15402221679688-100.32472229003906j),(177.30406188964844-107.8157958984375j),(3.626070976257324+218.1251678466797j),(-157.8148651123047+55.585243225097656j),(43.053768157958984-139.06747436523438j),(129.6854705810547+118.52327728271484j)
89,1728462796593896,842,57,805,373,0,402,617,(-139.75860595703125-141.31199645996094j),(202.02488708496094-57.486724853515625j),(-57.218605041503906+210.48809814453125j),(-166.823974609375+12.84572982788086j),(78.3447494506836-122.98082733154297j),(93.7855224609375+147.83407592773438j)
90,1728462796594738,842,158,801,143,0,513,490,(-95.48418426513672-171.88186645507812j),(211.9918212890625-2.7116010189056396j),(-113.81219482421875+187.41744995117188j),(-164.4643096923828-30.76919937133789j),(108.39042663574219-98.27599334716797j),(46.089317321777344+165.39869689941406j)
91,1728462796595580,842,293,813,77,0,517,266,(-47.26137924194336-190.60882568359375j),(202.37118530273438+51.41793441772461j),(-157.0729522705078+151.9412384033203j),(-150.89666748046875-72.28726196289062j),(131.2999725341797-66.56108093261719j),(-2.636139392852783+170.5269775390625j)
