seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728461294779393,1728461294779393,156,202,832,294,0,253,(-184.45932006835938-50.025062561035156j),(126.1173324584961-57.6402587890625j),(67.46542358398438+107.70401000976562j),(-29.067188262939453+39.551963806152344j),(-36.46491241455078-35.973167419433594j),(88.6089096069336+9.656600952148438j)
1,1728461294780234,841,66,362,820,262,0,247,(-168.486572265625-96.93559265136719j),(160.3230743408203-16.715152740478516j),(16.724573135375977+115.98473358154297j),(-49.62293243408203+27.65078353881836j),(-21.202972412109375-42.923484802246094j),(86.18934631347656+33.09161376953125j)
2,1728461294781075,841,0,361,778,250,17,288,(-134.2357635498047-136.323486328125j),(177.49874877929688+30.255844116210938j),(-38.29423904418945+109.8153305053711j),(-65.63331604003906+11.039804458618164j),(-3.0523200035095215-45.255523681640625j),(77.06233215332031+54.907745361328125j)
3,1728461294781916,841,73,501,746,173,0,322,(-84.96090698242188-163.8976593017578j),(181.04673767089844+79.83448791503906j),(-92.41737365722656+88.92604064941406j),(-76.31594848632812-9.019550323486328j),(16.00912094116211-42.56233596801758j),(59.46063995361328+72.77711486816406j)
4,1728461294782757,841,0,608,634,148,18,356,(-28.457456588745117-177.3044891357422j),(164.7999725341797+126.80876159667969j),(-138.60556030273438+54.92375946044922j),(-78.34383392333984-30.329891204833984j),(36.09857940673828-34.39118957519531j),(34.73476028442383+84.65156555175781j)
5,1728461294783598,841,0,706,490,64,58,350,(37.03630828857422-173.63525390625j),(129.90576171875+166.09024047851562j),(-173.6145477294922+10.34138298034668j),(-73.78092193603516-51.16935348510742j),(53.10692596435547-21.374418258666992j),(5.725468635559082+89.171875j)
6,1728461294784440,842,0,719,464,64,66,341,(103.77592468261719-151.9537811279297j),(78.99053192138672+193.11471557617188j),(-190.09629821777344-40.22996520996094j),(-60.196624755859375-69.10404968261719j),(65.6435317993164-4.539295673370361j),(-27.12776756286621+85.04866027832031j)
7,1728461294791173,6733,661,450,1,14,274,25,(167.0167694091797-112.56212615966797j),(20.078956604003906+205.30718994140625j),(-191.88121032714844-93.06353759765625j),(-41.78941345214844-82.73921203613281j),(75.4080581665039+15.506103515625j),(-59.28352355957031+72.16387939453125j)
8,1728461294792014,841,738,308,164,114,279,25,(192.91409301757812-64.84171295166016j),(-36.358680725097656+202.807373046875j),(-160.89418029785156-139.4579315185547j),(-16.616668701171875-90.11036682128906j),(66.81297302246094+33.95558166503906j),(-75.90062713623047+54.37203598022461j)
9,1728461294792855,841,786,220,150,180,240,0,(200.8289031982422-13.317137718200684j),(-88.0931625366211+186.35716247558594j),(-123.06044006347656-177.35142517089844j),(10.451314926147461-90.48869323730469j),(54.258888244628906+49.6920280456543j),(-87.95034790039062+32.723846435546875j)
