timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728462964566171000,783,219,144,651,378,0
1728462964567012000,793,132,238,709,305,33
1728462964567854000,753,58,348,762,204,101
1728462964568696000,697,0,466,779,122,179
1728462964569537000,617,0,590,772,49,297
1728462964570379000,527,0,677,732,0,409
1728462964571220000,422,5,761,661,0,487
1728462964572061000,383,42,807,565,0,597
1728462964572903000,101,136,825,532,0,736
1728462964573745000,66,251,865,397,37,744
1728462964574587000,37,346,818,266,105,794
1728462964575429000,0,466,741,169,188,812
1728462964576271000,0,576,661,82,261,798
1728462964577112000,0,654,558,29,361,736
1728462964577953000,0,736,453,0,434,651
1728462964578795000,1398,37,994,113,66,188
1728462964579637000,1033,0,1409,125,75,80
1728462964580479000,818,28,1575,133,74,90
1728462964581321000,609,151,1665,133,79,90
1728462964582163000,405,325,1722,122,69,97
1728462964583005000,220,517,1702,137,78,89
1728462964583847000,85,744,1636,130,68,84
1728462964584689000,0,948,1504,133,73,74
1728462964585530000,0,1167,1322,126,79,93
1728462964586372000,0,1345,1088,178,68,130
1728462964587213000,0,1492,920,157,65,87
1728462964588055000,109,1592,655,82,66,86
1728462964588897000,325,1625,435,136,79,85
1728462964589739000,540,1620,249,117,73,90
1728462964590581000,750,1550,89,117,78,79
1728462964591423000,954,1418,0,122,78,81
1728462964592264000,1162,1239,0,119,86,85
1728462964593106000,1328,1159,0,114,79,73
1728462964593948000,1466,885,53,113,72,69
1728462964594790000,1557,602,194,119,113,71
1728462964595632000,1600,405,369,121,66,90
1728462964596474000,1672,218,645,133,56,84
1728462964597316000,1371,79,812,197,64,110
1728462964598158000,1288,0,1089,173,78,81
1728462964598999000,1178,0,1279,130,77,85
1728462964599840000,986,0,1449,134,81,85
1728462964600682000,770,68,1594,128,82,100
1728462964601524000,565,194,1694,133,78,82
1728462964602366000,352,373,1730,138,73,78
1728462964603208000,149,559,1696,128,81,89
1728462964604050000,66,798,1609,123,82,78
1728462964604891000,0,1018,1442,129,74,79
1728462964605732000,0,1207,1261,130,71,76
1728462964606467000,0,1435,1045,126,85,48
1728462964607309000,13,1411,810,137,125,66
1728462964608151000,218,1548,593,122,2,66
1728462964608993000,381,1639,383,114,74,90
1728462964609835000,578,1615,203,119,75,84
1728462964610677000,808,1514,56,122,85,85
1728462964611519000,1008,1381,0,113,79,85
1728462964612360000,1210,1202,0,120,69,88
1728462964613202000,1357,996,0,109,65,78
1728462964614044000,1489,779,141,116,80,87
1728462964614886000,1575,550,217,117,75,130
1728462964615728000,1602,360,422,116,81,82
1728462964616570000,1526,301,638,153,96,41
1728462964617412000,1486,96,882,114,162,58
1728462964618254000,1298,0,1082,132,136,77
1728462964619095000,1138,1,1322,125,74,92
1728462964620034000,932,0,1494,124,74,90
1728462964620875000,719,90,1632,132,79,82
1728462964621717000,503,238,1711,138,82,84
1728462964622559000,314,426,1728,126,81,90
1728462964623401000,142,634,1678,102,77,90
1728462964624243000,15,847,1572,128,84,77
1728462964625085000,0,1066,1422,129,92,90
1728462964625926000,0,1250,1228,125,81,86
1728462964626767000,0,1433,1066,127,125,101
1728462964627609000,93,1547,661,106,64,184
1728462964628451000,253,1625,489,109,94,141
1728462964629293000,421,1645,335,122,74,82
1728462964630135000,644,1587,154,114,85,85
1728462964630977000,857,1495,37,124,71,84
1728462964631819000,1056,1347,1,120,82,78
1728462964632660000,1242,1149,1,116,77,82
1728462964633454000,1493,939,13,116,68,90
1728462964634296000,1504,718,122,154,65,82
1728462964635138000,1567,513,285,123,66,79
1728462964635980000,1575,320,489,114,74,85
1728462964636822000,1524,132,770,105,82,75
1728462964637664000,1421,31,1010,107,107,100
1728462964638505000,1263,34,1218,117,79,101
1728462964639347000,1093,0,1376,126,81,75
1728462964640189000,873,10,1543,137,76,84
1728462964641031000,661,118,1653,130,79,90
1728462964641873000,462,286,1728,125,76,93
1728462964642715000,263,485,1728,133,75,82
1728462964643557000,118,691,1659,130,66,82
1728462964644399000,4,905,1541,129,67,71
1728462964645241000,0,1122,1380,130,74,92
1728462964646082000,0,1307,1162,151,71,91
1728462964646868000,0,1472,983,169,76,110
1728462964647710000,84,1577,704,79,71,100
1728462964648552000,251,1649,493,109,82,79
1728462964649394000,480,1628,285,110,69,85
1728462964650236000,689,1567,126,122,75,71
1728462964651078000,901,1448,18,125,78,79
1728462964651920000,1108,1300,0,117,79,92
1728462964652762000,1290,1102,0,109,69,83
1728462964653604000,1443,942,26,119,73,69
1728462964654446000,1539,644,154,121,112,78
1728462964655288000,1588,440,324,116,64,79
1728462964656130000,1678,256,544,118,49,77
1728462964656972000,1583,114,745,199,53,97
1728462964657814000,1328,2,1031,167,74,74
1728462964658655000,1208,0,1218,114,74,79
1728462964659496000,1040,0,1405,132,79,85
1728462964660344000,825,39,1568,120,69,88
1728462964661186000,610,164,1672,133,69,81
1728462964662028000,406,336,1729,137,82,96
1728462964662870000,234,530,1714,133,85,85
1728462964663712000,90,752,1638,121,73,64
1728462964664554000,0,965,1486,133,74,64
1728462964665395000,0,1175,1330,129,78,78
1728462964666236000,0,1410,1114,130,92,58
1728462964667078000,29,1372,872,114,157,78
1728462964667920000,178,1536,642,130,132,79
1728462964668762000,328,1632,437,122,68,82
1728462964669604000,528,1624,250,119,74,85
1728462964670446000,747,1537,92,117,79,82
1728462964671288000,960,1422,0,112,73,92
1728462964672129000,1159,1245,0,117,66,71
1728462964672970000,1335,1047,0,106,85,77
1728462964673829000,1455,832,118,121,75,82
1728462964674671000,1556,612,224,111,74,151
1728462964675513000,1600,406,363,121,73,103
1728462964676355000,1567,233,562,119,74,26
1728462964677197000,1526,146,808,141,84,52
1728462964678039000,1332,0,1025,117,148,66
1728462964678880000,1188,0,1266,128,81,90
1728462964679721000,983,0,1457,117,69,86
1728462964680563000,776,66,1600,130,84,82
1728462964681405000,549,206,1695,125,79,93
1728462964682247000,362,383,1728,127,84,85
1728462964683089000,171,586,1699,128,73,90
1728462964683931000,50,808,1607,112,81,85
1728462964684773000,0,1027,1475,120,75,89
1728462964685614000,0,1216,1277,117,74,84
1728462964686455000,0,1376,1135,109,87,96
1728462964687295000,64,1548,880,103,82,75
1728462964688137000,186,1581,522,105,70,153
1728462964688979000,375,1632,386,117,75,79
1728462964689821000,586,1607,193,111,76,85
1728462964690663000,803,1525,64,117,68,85
1728462964691505000,1013,1383,0,117,85,74
1728462964692346000,1200,1204,0,116,73,86
1728462964693187000,1458,983,0,122,64,81
1728462964694029000,1543,775,96,113,65,82
1728462964694871000,1559,564,240,141,64,79
1728462964695713000,1586,357,438,109,73,79
1728462964696555000,1551,218,640,95,85,70
1728462964697397000,1459,92,953,117,92,85
1728462964698239000,1304,26,1029,109,58,181
1728462964699080000,1132,0,1333,125,72,79
1728462964699922000,927,0,1497,129,77,85
1728462964700768000,714,93,1634,124,79,86
1728462964701610000,506,233,1711,128,64,82
1728462964702452000,311,429,1730,138,78,79
1728462964703294000,155,626,1673,130,65,92
1728462964704136000,26,847,1569,125,64,65
1728462964704977000,0,1072,1419,124,72,76
1728462964705818000,0,1266,1218,128,69,86
1728462964706659000,0,1419,1002,177,64,113
1728462964707501000,33,1535,762,58,64,57
1728462964708343000,192,1637,546,87,75,121
1728462964709185000,431,1637,327,117,67,81
1728462964710027000,637,1589,158,117,73,82
