timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464231324703000,1909,1621,0,448,247,0
1728464231325545000,2332,1418,4,488,184,0
1728464231326387000,2439,1066,198,538,126,0
1728464231327229000,2520,642,487,533,69,113
1728464231328071000,2501,352,785,535,29,178
1728464231328913000,2439,136,1128,519,0,261
1728464231329755000,2288,0,1495,482,0,341
1728464231330597000,1822,0,1815,420,0,399
1728464231331439000,1541,0,2101,335,36,450
1728464231332280000,1227,40,2514,256,53,476
1728464231333122000,884,220,2634,181,89,508
1728464231333964000,591,477,2675,107,129,523
1728464231334806000,338,761,2648,46,121,498
1728464231335648000,219,1100,2579,29,200,470
1728464231336490000,95,1424,2445,0,242,433
1728464231337331000,0,1734,1960,11,338,373
1728464231338173000,0,2007,1655,1,386,306
1728464231339015000,39,2544,1297,16,414,229
1728464231339857000,248,2816,942,64,431,148
1728464231340700000,493,2931,609,126,433,88
1728464231341542000,771,2855,322,193,421,46
1728464231342384000,1100,2631,96,275,389,0
1728464231343225000,1422,2210,18,354,346,0
1728464231344067000,1722,1830,1,411,297,0
1728464231344909000,1927,1540,20,490,213,2
1728464231345751000,2349,1218,106,485,158,0
1728464231346593000,2463,869,265,484,102,53
1728464231347435000,2538,564,549,544,64,122
1728464231348277000,2488,296,872,545,25,207
1728464231349119000,2392,85,1216,509,0,282
1728464231349961000,2100,23,1560,456,0,360
1728464231350803000,0,1508,2167,148,226,807
1728464231351645000,0,1794,1856,57,311,792
1728464231352487000,0,1961,1544,9,442,709
1728464231353329000,68,2579,1199,2,532,635
1728464231354171000,309,2821,837,2,615,542
1728464231355013000,576,2935,521,0,625,444
1728464231355855000,877,2829,252,47,663,332
1728464231356697000,1209,2559,43,138,674,227
1728464231357539000,1520,2033,5,239,673,107
1728464231358381000,1801,1757,0,347,634,40
1728464231359223000,2004,1460,0,477,564,0
1728464231360065000,2444,1127,130,591,485,0
1728464231360907000,2502,793,356,704,413,0
1728464231361749000,2504,487,642,770,335,2
1728464231362592000,2431,225,1012,844,237,77
1728464231363434000,2334,34,1300,783,162,138
1728464231364276000,1906,20,1620,784,79,284
1728464231365073000,1673,5,1967,795,23,353
1728464231365915000,1365,0,2253,751,0,461
1728464231366757000,1053,133,2572,637,0,576
1728464231367598000,731,363,2657,536,0,673
1728464231368440000,431,633,2668,420,17,745
1728464231369282000,195,962,2624,320,74,793
1728464231370124000,0,1287,2510,208,156,813
1728464231370966000,0,1585,2079,127,253,821
1728464231371808000,0,1875,1808,42,328,779
1728464231372650000,0,2335,1565,0,451,725
1728464231373491000,117,2683,1183,0,540,637
1728464231374333000,381,2926,811,0,634,530
1728464231375175000,650,2932,449,10,626,412
1728464231376017000,962,2766,193,79,674,299
1728464231376859000,1295,2462,10,169,683,197
1728464231377701000,1589,1965,9,265,663,90
1728464231378437000,1869,1683,8,378,621,31
1728464231379278000,2328,1376,0,476,568,0
1728464231380120000,2447,1045,154,586,474,0
1728464231380962000,2505,707,422,682,393,0
1728464231381804000,2512,455,704,754,313,6
1728464231382646000,2441,250,1041,837,246,50
1728464231383488000,2348,59,1390,847,151,156
1728464231384330000,1932,68,1720,841,65,260
1728464231385172000,1603,0,2039,786,0,385
1728464231386014000,1288,9,2489,714,0,502
1728464231386856000,970,181,2606,619,0,604
1728464231387698000,648,429,2668,505,0,700
1728464231388540000,370,721,2671,397,32,764
1728464231389382000,145,1041,2583,289,77,809
1728464231390224000,0,1380,2480,196,156,817
1728464231391066000,0,1663,2017,96,252,809
1728464231391986000,0,1950,1714,29,354,756
1728464231392828000,64,2458,1378,0,389,687
1728464231393670000,307,2764,1042,0,482,580
1728464231394512000,528,2892,711,5,562,490
1728464231395354000,736,2899,377,25,646,379
1728464231396196000,1045,2695,133,100,673,281
1728464231397038000,1376,2354,0,188,682,164
1728464231397880000,1671,1887,2,301,644,64
1728464231398722000,1933,1600,2,407,608,10
1728464231399564000,2350,1291,43,530,541,0
1728464231400406000,2459,954,234,608,452,0
1728464231401248000,2518,624,495,706,377,0
1728464231402090000,2502,347,794,772,293,34
1728464231402932000,2422,185,1170,794,197,109
1728464231403774000,2253,20,1487,810,102,200
1728464231404616000,1786,0,1929,797,53,321
1728464231405383000,1521,2,2112,770,0,415
1728464231406225000,1213,54,2532,690,0,521
1728464231407067000,884,250,2624,589,0,631
1728464231407909000,581,505,2668,472,0,716
1728464231408751000,301,805,2653,365,46,775
1728464231409593000,87,1146,2567,257,125,815
1728464231410435000,0,1461,2384,170,193,810
1728464231411277000,0,1740,1927,82,296,793
1728464231412119000,0,2020,1593,16,380,775
1728464231412961000,96,2589,1260,0,463,610
1728464231413803000,276,2855,893,0,568,608
1728464231414645000,538,2931,564,0,620,418
1728464231415487000,821,2855,302,41,658,353
1728464231416329000,1127,2615,87,129,675,250
1728464231417171000,1448,2181,13,218,669,141
1728464231418013000,1751,1825,5,325,637,58
1728464231418872000,2003,1518,2,434,596,4
1728464231419713000,2392,1237,76,543,525,0
1728464231420554000,2493,834,297,642,491,0
1728464231421396000,2517,540,576,725,378,0
1728464231422238000,2488,247,890,790,301,47
1728464231423080000,2403,50,1236,814,111,130
1728464231423922000,2031,0,1596,820,42,225
1728464231424764000,1786,6,1898,806,23,338
1728464231425606000,1439,9,2166,754,0,439
1728464231426447000,1128,100,2560,666,0,541
1728464231427289000,801,308,2641,565,0,653
1728464231428131000,504,586,2671,439,5,743
1728464231428974000,245,910,2638,335,65,796
1728464231429816000,30,1215,2536,241,142,819
1728464231430658000,0,1525,2164,151,217,820
1728464231431500000,0,1837,1868,64,303,793
1728464231432349000,0,2064,1574,37,395,741
1728464231433191000,47,2640,1216,11,477,642
1728464231434033000,261,2880,832,0,564,538
1728464231434875000,587,2931,513,0,631,438
1728464231435717000,898,2810,236,70,656,322
1728464231436559000,1217,2535,38,146,680,215
1728464231437401000,1524,2017,0,242,669,117
1728464231438243000,1819,1743,2,353,626,37
1728464231439085000,2047,1447,64,455,568,0
1728464231439927000,2419,1122,202,562,501,0
1728464231440769000,2510,786,426,658,418,0
1728464231441611000,2509,477,691,746,327,5
1728464231442454000,2472,226,889,799,233,151
1728464231443296000,2361,40,1248,824,158,242
1728464231444138000,1930,0,1635,826,90,330
1728464231444980000,1664,5,1984,798,11,365
1728464231445829000,1358,0,2360,740,0,463
1728464231446671000,1038,144,2586,640,0,570
1728464231447513000,722,365,2658,533,0,676
1728464231448355000,431,649,2672,414,10,754
1728464231449197000,188,967,2599,308,70,756
1728464231450039000,0,1298,2496,221,165,812
1728464231450881000,0,1608,2080,122,247,812
1728464231451723000,0,1899,1778,64,338,770
1728464231452565000,29,2433,1442,8,424,681
1728464231453407000,170,2752,1094,0,576,610
1728464231454249000,373,2839,754,0,649,502
1728464231455091000,658,2914,442,16,647,409
1728464231455933000,980,2760,177,79,669,303
1728464231456775000,1303,2460,5,165,676,188
1728464231457617000,1606,1954,8,276,663,100
1728464231458459000,1881,1669,1,373,617,23
1728464231459308000,2321,1358,2,485,538,0
1728464231460150000,2451,1020,185,593,465,0
1728464231460992000,2545,693,426,685,380,0
1728464231461834000,2536,410,730,762,302,17
1728464231462676000,2316,171,1038,874,210,126
1728464231463518000,2254,2,1432,877,113,217
