timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728461174943762000,789,210,109,154,146,96
1728461174944604000,685,154,194,197,90,151
1728461174945446000,773,71,314,142,98,109
1728461174946288000,714,2,433,139,101,106
1728461174947130000,0,538,686,84,20,71
1728461174948812000,0,711,480,20,21,20
1728461174951337000,207,814,148,16,20,15
1728461174952178000,312,778,70,25,20,17
1728461174953019000,410,715,1,2,21,2
1728461174953860000,523,657,0,23,20,20
1728461174954701000,594,580,8,17,26,41
1728461174955542000,737,480,0,14,21,0
1728461174956383000,777,413,41,33,23,0
1728461174957224000,794,213,133,32,0,4
1728461174958065000,785,145,234,22,11,13
1728461174958906000,760,68,346,27,25,16
1728461174959748000,696,4,459,18,16,10
1728461174960589000,629,0,578,26,18,13
1728461174961430000,538,0,682,29,18,18
1728461174962271000,430,0,745,21,53,17
1728461174963112000,402,52,811,20,8,29
1728461174963953000,201,142,847,30,13,30
1728461174964794000,119,234,875,18,20,21
1728461174965635000,68,324,740,18,18,92
1728461174966476000,0,554,736,33,10,0
1728461174967317000,0,519,661,21,64,21
1728461174968158000,0,648,570,28,25,21
1728461174968999000,0,718,458,24,26,17
1728461174969840000,57,773,338,23,21,18
1728461174970681000,133,797,234,26,16,16
1728461174971522000,235,796,116,21,23,11
1728461174972363000,338,775,56,23,21,26
1728461174973279000,448,704,0,26,9,18
1728461174974120000,548,638,0,26,29,21
1728461174974961000,586,519,0,0,13,10
1728461174975802000,682,454,10,13,18,0
1728461174976643000,746,331,20,8,5,98
1728461174977484000,781,219,156,26,18,10
1728461174978325000,779,130,254,21,21,15
1728461174979166000,744,53,378,23,20,14
1728461174980007000,687,0,485,30,21,13
1728461174980848000,605,4,596,26,23,20
1728461174981689000,507,0,746,30,18,23
1728461174982530000,407,10,753,29,18,0
1728461174983371000,298,106,824,19,72,13
1728461174984212000,247,151,850,31,5,13
1728461174985053000,34,250,872,66,10,26
1728461174985894000,8,424,814,10,11,5
1728461174986627000,0,505,806,9,41,13
1728461174987468000,0,580,651,21,23,20
1728461174988308000,0,658,546,29,20,20
1728461174989149000,10,737,441,26,21,23
1728461174989990000,73,785,312,23,23,18
1728461174990831000,162,810,203,26,26,23
1728461174991672000,245,793,110,21,21,18
1728461174992513000,367,747,14,26,26,16
1728461174993354000,468,693,0,26,20,11
1728461174994195000,576,610,0,23,18,17
1728461174995036000,728,490,0,34,0,13
1728461174995877000,616,392,14,84,8,65
1728461174996718000,756,303,87,0,10,34
1728461174997559000,789,202,181,23,22,10
1728461174998400000,776,111,288,21,23,17
1728461174999241000,730,38,401,28,18,23
1728461175000094000,670,0,515,26,23,23
1728461175000935000,584,0,626,23,26,9
1728461175001776000,480,0,714,13,31,18
1728461175002617000,373,21,855,20,10,16
1728461175003458000,269,96,823,30,11,41
1728461175004299000,171,209,852,21,36,10
1728461175005140000,66,253,849,25,0,10
1728461175005981000,0,383,783,87,2,54
1728461175006822000,0,513,704,0,11,37
1728461175007663000,0,604,629,20,17,23
1728461175008504000,0,690,525,20,18,21
1728461175009345000,21,746,410,16,14,21
1728461175010186000,101,800,296,21,22,21
1728461175011027000,178,809,184,17,18,22
1728461175011868000,260,788,98,0,13,8
1728461175012709000,386,753,23,23,23,20
1728461175013765000,503,683,0,10,23,21
1728461175014606000,596,596,0,26,23,11
1728461175015446000,709,544,0,21,26,4
1728461175016287000,737,330,29,10,0,4
1728461175017128000,815,258,82,94,11,32
1728461175017969000,786,180,204,26,23,28
1728461175018810000,762,79,309,29,17,14
1728461175019651000,733,17,425,26,30,18
1728461175020492000,644,0,546,26,21,23
1728461175021333000,559,0,650,32,21,20
1728461175022174000,523,0,734,32,9,14
1728461175023015000,327,37,802,8,14,10
1728461175023856000,242,121,907,26,21,10
1728461175024697000,146,209,832,26,21,34
1728461175025538000,74,394,816,64,34,0
1728461175026379000,5,357,761,40,56,13
1728461175027032000,64,485,714,22,2,5
1728461175027873000,0,622,604,29,18,13
1728461175028714000,0,706,489,23,23,13
1728461175029555000,36,769,373,21,13,19
1728461175030396000,113,795,261,26,13,17
1728461175031237000,199,810,162,21,15,16
1728461175032078000,306,778,82,23,11,11
1728461175032919000,395,727,5,21,9,16
1728461175033760000,511,667,0,5,13,21
1728461175034601000,610,577,33,10,26,29
1728461175035442000,722,497,0,10,38,89
1728461175036283000,762,448,37,50,32,0
1728461175037124000,791,235,125,23,37,20
1728461175037965000,783,146,224,23,21,18
1728461175038806000,761,64,337,34,21,17
1728461175039647000,708,2,450,36,25,21
1728461175040483000,631,0,569,25,20,14
1728461175041324000,535,64,669,26,26,10
1728461175042165000,436,0,763,28,74,18
1728461175043006000,399,41,815,32,8,17
1728461175043847000,207,139,849,53,20,28
