timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728463219899449000,171,1603,617,20,349,354
1728463219900291000,345,1633,401,0,397,276
1728463219901133000,562,1600,218,23,429,210
1728463219901975000,775,1536,69,66,442,153
1728463219902817000,986,1370,105,145,456,92
1728463219903658000,1200,1245,58,219,449,26
1728463219904499000,1354,1004,0,290,373,34
1728463219905341000,1495,791,82,354,330,0
1728463219906183000,1576,576,228,423,270,0
1728463219907025000,1597,375,421,480,213,5
1728463219907867000,1553,193,642,516,161,40
1728463219908709000,1464,65,862,534,98,94
1728463219909551000,1330,0,1102,530,43,159
1728463219910392000,1155,0,1317,514,0,233
1728463219911233000,939,0,1473,476,0,289
1728463219912075000,773,50,1630,421,0,357
1728463219912917000,605,213,1724,345,0,441
1728463219913759000,247,418,1733,338,0,535
1728463219914601000,146,633,1695,201,46,517
1728463219915443000,1052,1320,0,186,684,199
1728463219917127000,1386,922,0,330,644,42
1728463219917969000,1511,746,139,467,594,0
1728463219918811000,1557,506,394,576,496,0
1728463219919653000,1590,295,494,693,402,0
1728463219920495000,1523,130,725,762,314,13
1728463219921337000,1422,30,960,810,228,85
1728463219922179000,1264,0,1184,838,132,173
1728463219923021000,1074,0,1378,840,68,274
1728463219923863000,864,21,1535,815,14,386
1728463219924705000,649,114,1664,741,0,504
1728463219925547000,442,279,1716,642,0,625
1728463219926389000,259,485,1705,533,0,704
1728463219927231000,224,687,1691,431,1,773
1728463219928073000,0,916,1509,373,74,832
1728463219928915000,0,1120,1390,237,161,838
1728463219929757000,0,1319,1152,100,261,825
1728463219930598000,15,1460,930,41,360,782
1728463219931440000,145,1576,686,0,458,718
1728463219932282000,308,1633,469,0,538,619
1728463219933124000,492,1629,279,0,605,501
1728463219933966000,704,1549,90,18,661,432
1728463219934808000,921,1432,0,74,681,258
1728463219935650000,1135,1344,0,178,696,156
1728463219936491000,1307,1142,0,295,677,69
1728463219937333000,1487,911,42,407,690,2
1728463219938175000,1540,568,148,527,623,0
1728463219939017000,1621,395,340,639,440,0
1728463219939859000,1582,251,558,709,394,0
1728463219940551000,1508,98,784,783,293,32
1728463219941393000,1379,0,1016,816,197,101
1728463219942234000,1217,0,1233,836,109,194
1728463219943076000,1017,5,1426,834,52,309
1728463219943918000,805,45,1577,786,5,425
1728463219944760000,586,184,1684,710,0,546
1728463219945602000,389,353,1728,610,0,650
1728463219946444000,217,556,1728,501,0,728
1728463219947286000,85,755,1547,383,55,880
1728463219948128000,34,1006,1448,261,122,739
1728463219948970000,8,1216,1288,168,166,794
1728463219949812000,0,1368,1098,84,289,821
1728463219950654000,43,1493,866,24,381,765
1728463219951496000,180,1606,629,0,477,709
1728463219952338000,357,1640,418,0,562,593
1728463219953180000,545,1615,229,0,623,476
1728463219954104000,854,1510,68,28,651,362
1728463219954946000,960,1396,0,149,682,250
1728463219955788000,1160,1227,0,231,679,146
1728463219956630000,1336,1026,0,311,663,64
1728463219957472000,1436,816,74,412,610,37
1728463219958314000,1549,610,218,546,522,0
1728463219959156000,1594,369,525,645,484,8
1728463219959998000,1563,212,617,730,360,0
1728463219960840000,1481,64,847,796,270,37
1728463219961682000,1344,0,1088,832,167,128
1728463219962524000,1173,0,1289,849,98,215
1728463219963366000,960,0,1479,822,28,337
1728463219964208000,761,58,1619,773,0,457
1728463219965050000,541,196,1701,690,0,562
1728463219965892000,358,401,1728,586,0,663
1728463219966734000,184,603,1710,480,0,754
1728463219967489000,29,815,1575,426,48,820
1728463219968331000,0,1032,1491,287,121,864
1728463219969173000,0,1240,1252,98,213,840
1728463219970015000,0,1396,1029,71,309,808
1728463219970857000,79,1538,812,11,408,755
1728463219971699000,224,1615,576,0,495,668
1728463219972541000,394,1643,363,0,581,576
1728463219973383000,610,1590,178,0,641,453
1728463219974225000,825,1504,33,40,679,325
1728463219975067000,1034,1439,0,133,688,201
1728463219975909000,1216,1213,5,234,681,113
1728463219976751000,1383,985,0,347,660,36
1728463219977593000,1490,678,100,480,640,0
1728463219978435000,1607,495,261,576,448,0
1728463219979277000,1704,320,471,689,402,0
1728463219980119000,1549,164,672,748,338,0
1728463219980948000,1447,37,905,796,237,64
1728463219981790000,1303,0,1134,834,154,136
1728463219982632000,1120,0,1339,843,85,250
1728463219983473000,914,0,1512,819,21,368
1728463219984315000,693,116,1648,741,0,485
1728463219985157000,485,249,1712,664,0,595
1728463219985999000,295,457,1735,565,0,704
1728463219986841000,138,660,1648,450,26,802
1728463219987683000,40,864,1530,330,54,748
1728463219988525000,0,1190,1382,242,165,800
1728463219989367000,0,1326,1192,130,243,820
1728463219990209000,0,1447,975,50,341,809
1728463219991051000,117,1562,746,1,433,736
1728463219991893000,258,1630,526,0,521,642
1728463219992735000,450,1627,320,0,596,538
1728463219993577000,657,1578,133,0,651,433
1728463219994443000,847,1477,23,96,670,309
1728463219995285000,1063,1320,0,149,693,193
1728463219996127000,1251,1121,0,253,681,98
1728463219996969000,1413,953,14,361,653,32
1728463219997811000,1525,689,248,487,613,2
1728463219998653000,1592,530,382,585,552,4
1728463219999495000,1600,299,463,694,421,44
1728463220000337000,1530,138,728,760,320,14
1728463220001179000,1418,21,964,809,210,78
1728463220002021000,1258,2,1195,840,136,170
1728463220002863000,1066,0,1386,839,64,288
1728463220003705000,856,22,1544,804,13,398
1728463220004547000,645,125,1654,744,0,503
1728463220005389000,437,282,1716,648,0,613
1728463220006231000,257,491,1736,537,0,715
1728463220007073000,165,704,1642,410,14,782
1728463220007901000,0,927,1545,352,81,861
1728463220008743000,0,1151,1367,171,170,834
1728463220009585000,0,1314,1144,105,266,832
1728463220010427000,25,1472,916,34,368,789
1728463220011269000,148,1584,688,0,449,714
1728463220012111000,303,1636,467,0,540,609
1728463220012952000,507,1620,266,0,615,503
1728463220013794000,711,1565,103,17,661,410
1728463220014636000,927,1436,0,79,679,250
1728463220015478000,1127,1344,0,178,692,149
1728463220016320000,1313,1131,0,287,677,85
1728463220017162000,1482,759,31,385,714,2
1728463220018004000,1549,583,173,541,602,0
1728463220018846000,1605,418,340,613,421,0
1728463220019688000,1587,252,559,714,389,0
1728463220020530000,1507,109,789,777,289,37
1728463220021375000,1389,4,1021,824,207,94
1728463220022217000,1208,0,1241,850,114,197
1728463220023059000,1013,0,1428,834,48,306
1728463220023901000,802,53,1592,774,8,429
1728463220024743000,591,190,1682,711,0,548
1728463220025585000,386,352,1732,608,0,653
1728463220026427000,207,551,1705,509,0,729
1728463220027269000,90,773,1564,375,58,843
1728463220028111000,0,983,1472,266,106,757
1728463220028953000,0,1295,1290,199,209,796
1728463220029795000,0,1353,1091,89,293,821
1728463220030636000,50,1505,872,17,378,778
1728463220031478000,180,1603,633,0,480,687
1728463220032320000,346,1635,428,0,565,591
1728463220033162000,558,1623,221,0,631,491
1728463220034004000,744,1524,77,64,658,357
1728463220034855000,953,1396,0,130,680,239
1728463220035697000,1165,1217,0,194,687,144
1728463220036538000,1344,1024,0,308,663,64
1728463220037380000,1466,841,69,421,602,0
1728463220038222000,1552,578,312,544,579,0
1728463220039064000,1593,418,458,649,450,26
1728463220039906000,1561,207,618,736,361,0
1728463220040748000,1483,67,860,793,261,40
1728463220041590000,1337,0,1081,832,170,126
1728463220042431000,1163,0,1292,843,92,224
1728463220043273000,968,0,1472,822,45,340
1728463220044115000,757,74,1604,783,0,436
1728463220044957000,535,210,1705,689,0,559
1728463220045799000,350,397,1738,591,0,675
1728463220046641000,178,608,1704,469,2,741
1728463220047483000,0,820,1600,418,52,847
1728463220048345000,0,1032,1450,178,123,806
1728463220049187000,0,1228,1240,111,209,855
1728463220050028000,0,1408,1025,64,313,818
1728463220050870000,78,1539,800,10,411,745
1728463220051712000,234,1609,562,0,501,663
1728463220052554000,405,1637,356,0,586,564
1728463220053396000,609,1600,188,0,633,448
1728463220054238000,821,1500,29,47,677,309
1728463220055080000,1032,1424,0,133,697,205
1728463220055921000,1228,1213,0,235,696,111
1728463220056763000,1387,960,0,352,695,42
1728463220057605000,1532,699,104,488,642,0
1728463220058447000,1590,498,255,579,467,0
1728463220059289000,1735,303,481,690,389,0
1728463220060130000,1552,164,677,744,334,0
1728463220060972000,1445,42,909,812,245,55
1728463220061812000,1292,0,1145,835,150,148
1728463220062654000,1114,0,1346,842,77,250
1728463220063495000,913,8,1511,813,18,373
1728463220064337000,704,118,1644,746,0,475
1728463220065179000,457,264,1714,663,0,598
1728463220066021000,297,455,1700,549,0,693
1728463220066863000,139,669,1668,444,13,767
1728463220067705000,0,988,1537,338,84,778
1728463220068547000,21,1145,1381,242,157,810
1728463220069389000,0,1173,1185,104,302,816
1728463220070231000,0,1443,971,47,331,795
1728463220071073000,111,1548,730,2,434,732
1728463220071915000,269,1629,501,0,529,645
1728463220072757000,459,1632,306,0,599,542
1728463220073599000,660,1583,146,5,648,414
1728463220074441000,860,1459,13,56,682,302
1728463220075293000,1073,1310,0,144,688,193
1728463220076135000,1263,1129,0,260,668,105
1728463220076977000,1415,902,57,378,642,26
1728463220077819000,1532,691,145,494,562,87
1728463220078661000,1586,452,237,585,501,64
1728463220079503000,1643,310,498,688,400,0
1728463220080345000,1528,130,745,769,320,23
1728463220081187000,1417,17,966,814,226,87
1728463220082029000,1254,1,1198,836,122,178
1728463220082871000,1056,0,1389,836,55,274
1728463220083713000,855,25,1559,805,13,402
1728463220084555000,640,145,1671,727,0,516
1728463220085397000,438,306,1722,637,0,621
1728463220086239000,247,499,1717,529,0,711
1728463220087081000,97,718,1648,399,34,789
1728463220087923000,0,992,1559,269,90,837
1728463220088788000,0,1137,1405,174,175,851
1728463220089630000,0,1358,1218,93,313,835
1728463220090472000,20,1472,913,36,362,781
1728463220091314000,149,1579,687,0,452,715
1728463220092156000,309,1629,471,0,545,615
1728463220092998000,501,1632,273,0,612,517
1728463220093840000,713,1543,106,20,660,393
1728463220094682000,930,1405,0,78,733,269
1728463220095524000,1136,1250,0,174,680,157
1728463220096366000,1301,1058,5,290,658,77
1728463220097208000,1504,857,34,407,630,18
1728463220098050000,1500,634,149,601,546,18
1728463220098892000,1504,427,389,664,471,21
1728463220099734000,1544,250,542,666,386,0
1728463220100576000,1506,97,793,778,290,29
1728463220101418000,1381,4,1021,821,188,106
1728463220102249000,1206,0,1242,845,113,201
1728463220103091000,1015,0,1436,837,50,306
1728463220103933000,800,50,1591,786,0,431
1728463220104775000,591,181,1681,704,0,525
