timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728462615081354000,369,687,0,138,194,74
1728462615082195000,551,613,0,98,203,13
1728462615083036000,651,520,0,133,192,0
1728462615083877000,733,414,5,163,159,0
1728462615084718000,763,301,74,203,132,0
1728462615085560000,789,199,159,221,107,0
1728462615086402000,762,114,274,234,69,8
1728462615087243000,730,40,383,254,43,26
1728462615088085000,686,0,491,261,23,64
1728462615088927000,661,0,522,399,69,46
1728462615090610000,466,0,718,406,2,156
1728462615091451000,341,21,793,357,0,221
1728462615095660000,0,498,658,103,90,466
1728462615096501000,0,608,618,58,85,395
1728462615097342000,0,689,511,25,145,381
1728462615098184000,21,753,400,0,189,362
1728462615099026000,98,791,273,0,236,320
1728462615099868000,186,805,171,0,279,273
1728462615100709000,286,762,47,0,308,202
1728462615101550000,400,730,4,21,322,154
1728462615102391000,506,662,0,64,325,111
1728462615103232000,599,581,0,107,325,64
1728462615104073000,759,466,0,162,279,2
1728462615104914000,650,372,21,293,267,20
1728462615105756000,721,251,149,320,242,0
1728462615106597000,779,165,218,329,204,0
1728462615107438000,766,73,312,369,166,0
1728462615108280000,711,17,427,386,107,27
1728462615109121000,640,0,536,407,68,66
1728462615109962000,554,0,650,395,26,119
1728462615110803000,448,0,722,376,0,242
1728462615111644000,343,45,786,356,0,248
1728462615112439000,232,129,832,312,0,277
1728462615113281000,138,244,858,265,0,329
1728462615114123000,64,212,816,194,78,357
1728462615114964000,0,370,756,169,77,392
1728462615115806000,0,489,689,85,1,389
1728462615116647000,0,627,599,42,102,404
1728462615117488000,0,713,482,13,151,378
1728462615118330000,36,771,370,0,205,341
1728462615119171000,114,802,252,0,252,306
1728462615120012000,200,804,151,0,279,257
1728462615120853000,304,786,71,0,308,204
1728462615121695000,416,729,2,29,331,144
1728462615122536000,523,652,0,71,346,90
1728462615123377000,617,558,0,122,330,43
1728462615124218000,696,474,41,168,293,84
1728462615125060000,762,324,0,233,286,58
1728462615126062000,836,265,90,277,251,0
1728462615126903000,783,149,238,341,197,0
1728462615127745000,752,58,350,373,150,7
1728462615128587000,698,0,468,399,98,34
1728462615129428000,624,0,568,405,64,82
1728462615130269000,533,2,674,398,20,144
1728462615131110000,540,0,756,379,0,192
1728462615131952000,402,50,816,348,0,237
1728462615132793000,192,139,845,335,0,293
1728462615133634000,113,234,855,267,0,346
1728462615134476000,10,348,809,162,4,404
1728462615135318000,0,496,759,121,37,382
1728462615136160000,0,540,776,66,90,413
1728462615137001000,0,645,562,33,122,398
1728462615137842000,0,729,450,8,161,370
1728462615138683000,52,779,338,0,213,329
1728462615139364000,136,807,226,0,258,290
1728462615140205000,234,804,139,0,294,250
1728462615141046000,340,774,47,13,321,178
1728462615141888000,455,704,0,36,338,122
1728462615142729000,556,624,0,82,338,75
1728462615143570000,650,498,0,137,358,23
1728462615144411000,709,400,10,175,242,0
1728462615145252000,895,308,117,265,242,0
1728462615146094000,841,215,170,306,221,0
1728462615146935000,782,122,261,346,182,0
1728462615147776000,738,48,382,378,136,17
1728462615148618000,686,0,493,408,93,43
1728462615149459000,610,0,591,405,56,90
1728462615150300000,504,0,692,394,10,142
1728462615151141000,395,10,855,375,0,203
1728462615151982000,293,81,870,331,0,259
1728462615152834000,193,162,834,287,0,343
1728462615153676000,153,277,803,238,0,277
1728462615154518000,13,471,773,181,18,348
1728462615155360000,0,559,716,149,64,378
1728462615156201000,0,570,637,71,90,404
1728462615157042000,0,674,530,26,137,398
1728462615157883000,11,741,431,0,174,370
1728462615158725000,79,791,308,0,224,322
1728462615159566000,154,819,197,0,269,284
1728462615160408000,250,802,98,0,298,233
1728462615161249000,356,762,37,17,327,177
1728462615162091000,469,682,0,45,327,111
1728462615162932000,561,621,0,84,330,66
1728462615163773000,631,576,10,117,312,8
1728462615164614000,709,397,15,186,282,0
1728462615165455000,766,320,175,258,277,0
1728462615166308000,794,193,188,320,221,0
1728462615167149000,778,100,293,354,178,0
1728462615167991000,732,25,405,392,125,21
1728462615168833000,670,0,518,394,81,58
1728462615169674000,584,0,626,402,41,109
1728462615170515000,480,0,717,389,58,151
1728462615171356000,378,11,786,370,16,213
1728462615172198000,267,81,832,322,0,264
1728462615173039000,245,175,853,285,0,314
1728462615173881000,149,274,838,218,0,370
1728462615174723000,0,386,805,226,21,441
1728462615175564000,0,501,711,42,64,393
1728462615176406000,0,605,622,58,97,405
1728462615177247000,0,696,511,16,138,398
1728462615178089000,26,753,395,0,178,349
1728462615178930000,101,798,277,0,238,312
1728462615179771000,181,803,178,0,274,269
1728462615180612000,282,786,74,0,306,210
1728462615181453000,398,739,14,20,322,158
1728462615182294000,493,677,0,58,341,109
