timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464508890389000,277,676,2637,1247,1,1869
1728464508891232000,100,1028,2616,948,142,1990
1728464508892074000,0,1361,2452,635,359,2076
1728464508892916000,0,1672,2024,454,587,2338
1728464508893758000,0,1951,1728,261,817,2137
1728464508894600000,0,2445,1378,114,1034,1944
1728464508895442000,192,2736,1027,0,1244,1729
1728464508896284000,421,2904,681,0,1440,1474
1728464508897126000,709,2880,371,0,1595,1185
1728464508897969000,1032,2685,209,84,1709,905
1728464508898811000,1366,2347,42,298,1786,648
1728464508899653000,1658,1899,21,542,1794,415
1728464508900496000,1909,1580,0,817,1697,295
1728464508901338000,2344,1282,0,1088,1580,138
1728464508902180000,2462,953,183,1344,1390,53
1728464508903022000,2515,618,480,1564,1136,2
1728464508903864000,2495,344,804,1734,898,10
1728464508904707000,2409,128,1143,1899,688,168
1728464508905549000,2283,0,1498,2267,482,378
1728464508906392000,1811,9,1834,2317,269,642
1728464508907234000,1529,0,2129,2273,130,922
1728464508908076000,1216,45,2510,1881,11,1182
1728464508908918000,885,209,2611,1671,4,1452
1728464508909760000,576,442,2663,1395,34,1685
1728464508910602000,295,735,2648,1122,90,1858
1728464508911444000,121,1072,2559,847,151,2028
1728464508912286000,0,1438,2387,616,416,2159
1728464508913128000,0,1754,1946,410,661,2338
1728464508913970000,0,2016,1625,218,882,2061
1728464508914812000,46,2546,1282,65,1094,1896
1728464508915654000,238,2798,918,0,1306,1664
1728464508916496000,1344,2447,0,961,1213,13
1728464508917338000,1619,1952,0,1154,1018,0
1728464508918180000,1871,1663,2,1303,832,0
1728464508919022000,2334,1365,0,1436,635,21
1728464508919864000,2463,1018,167,1541,468,133
1728464508920707000,2549,701,395,1615,324,337
1728464508921550000,2559,412,704,1639,164,523
1728464508922393000,2418,263,1051,1631,90,802
1728464508923235000,2311,0,1425,1487,0,1044
1728464508924077000,1856,7,1760,1282,0,1250
1728464508924919000,1578,0,2056,1058,0,1408
1728464508925761000,1273,25,2500,807,42,1535
1728464508926604000,939,207,2614,599,164,1665
1728464508927447000,641,440,2675,405,389,1711
1728464508928290000,352,742,2659,257,558,1722
1728464508929133000,129,1065,2589,134,727,1645
1728464508929976000,17,1404,2472,45,898,1496
1728464508930965000,109,1657,2016,10,1025,1295
1728464508931807000,117,1948,1701,0,1133,1069
1728464508932649000,125,2498,1362,8,1252,786
1728464508933491000,206,2810,994,148,1363,582
1728464508934334000,474,2952,671,346,1391,386
1728464508935177000,766,2914,362,583,1371,230
1728464508936020000,1074,2677,125,824,1289,85
1728464508936862000,1413,2333,5,1023,1164,0
1728464508937703000,1668,1880,13,1171,966,0
