seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728462755768859,1728462755768859,761,76,324,309,0,156,(-30.497451782226562-3.092130184173584j),(21.31178855895996+6.162197113037109j),(14.513059616088867+4.325991153717041j),(-32.153438568115234+24.3604793548584j),(-1.3243396282196045-6.3321757316589355j),(30.395816802978516+14.4522123336792j)
1,1728462755769700,841,709,10,444,286,0,206,(-59.28587341308594-19.086811065673828j),(44.869476318359375+18.40231704711914j),(18.613950729370117+9.466188430786133j),(-49.79908752441406+11.876197814941406j),(11.387327194213867-3.5043258666992188j),(30.97243309020996+23.26106834411621j)
2,1728462755770541,841,644,0,568,257,0,249,(-79.00942993164062-40.930633544921875j),(69.48734283447266+37.67055892944336j),(11.786703109741211+12.958356857299805j),(-62.68662643432617-4.5016865730285645j),(24.463336944580078+2.9269862174987793j),(25.265060424804688+30.851383209228516j)
3,1728462755771382,841,549,0,660,212,0,282,(-86.73250579833984-65.61441040039062j),(89.48680114746094+62.97734832763672j),(-5.129528045654297+12.041025161743164j),(-69.32649230957031-23.236469268798828j),(36.314674377441406+12.760726928710938j),(13.440978050231934+35.541202545166016j)
4,1728462755772223,841,448,0,753,171,0,301,(-79.83490753173828-89.32073974609375j),(102.2549057006836+92.59806823730469j),(-29.563039779663086+4.544394016265869j),(-67.67144775390625-42.18867111206055j),(46.10246276855469+25.563995361328125j),(-2.6552577018737793+36.08348846435547j)
5,1728462755773064,841,328,43,818,122,17,327,(-59.06780242919922-108.29879760742188j),(105.79463195800781+124.212158203125j),(-58.70965576171875-11.02650260925293j),(-58.028343200683594-59.22557067871094j),(52.243011474609375+40.46426773071289j),(-18.826343536376953+32.31187057495117j)
6,1728462755773906,842,112,104,832,144,47,386,(-24.638408660888672-118.72100830078125j),(97.00672912597656+154.58676147460938j),(-86.77727508544922-34.66737747192383j),(-39.75644302368164-71.967529296875j),(52.78846740722656+56.03632354736328j),(-39.34629821777344+22.90890121459961j)
7,1728462755774748,842,79,205,839,0,92,330,(24.395544052124023-116.37226867675781j),(78.04068756103516+180.950927734375j),(-108.33326721191406-64.91812133789062j),(-17.561626434326172-79.21189880371094j),(47.151912689208984+70.64738464355469j),(-59.47016906738281+7.782054424285889j)
8,1728462755775590,842,13,338,834,0,137,354,(75.7791976928711-100.17247009277344j),(44.083274841308594+199.14627075195312j),(-121.60700988769531-99.79268646240234j),(13.559799194335938-78.37284851074219j),(34.786529541015625+82.46057891845703j),(-72.73939514160156-11.433887481689453j)
9,1728462755776431,841,0,448,760,0,186,309,(126.45127868652344-69.82365417480469j),(-1.1135270595550537+205.87301635742188j),(-125.20103454589844-136.86050415039062j),(46.58313751220703-68.65563201904297j),(16.68600082397461+89.8404769897461j),(-81.54896545410156-33.688209533691406j)
10,1728462755777272,841,0,551,681,0,217,266,(171.8483123779297-26.240140914916992j),(-56.41203308105469+198.01986694335938j),(-114.28933715820312-172.31216430664062j),(76.81140899658203-50.49598693847656j),(-7.577701091766357+90.97926330566406j),(-82.48739624023438-56.97903060913086j)
11,1728462755778114,842,785,144,224,402,98,40,(203.41207885742188+27.338308334350586j),(-122.60460662841797+172.1534423828125j),(-86.84649658203125-201.66111755371094j),(101.83282470703125-24.991268157958984j),(-32.0338249206543+85.605224609375j),(-75.63512420654297-79.25540161132812j)
12,1728462755778956,842,761,65,328,399,65,94,(189.44554138183594+79.06448364257812j),(-163.42626953125+134.43643188476562j),(-30.888595581054688-217.051513671875j),(104.42870330810547+2.1087231636047363j),(-53.46078109741211+74.30027770996094j),(-51.94140625-95.9688949584961j)
13,1728462755779798,842,706,9,450,391,16,153,(162.08424377441406+125.28392028808594j),(-193.25607299804688+87.39602661132812j),(27.70937156677246-217.2835693359375j),(100.28435516357422+29.054222106933594j),(-71.513427734375+57.75933837890625j),(-24.648773193359375-105.95892333984375j)
14,1728462755780639,841,629,0,564,380,0,202,(123.81350708007812+162.87918090820312j),(-209.6529998779297+34.30267333984375j),(84.2499771118164-202.373779296875j),(89.46820068359375+54.05207824707031j),(-84.22711944580078+37.2282829284668j),(3.856782913208008-108.663330078125j)
15,1728462755781480,841,543,0,666,343,0,253,(76.75424194335938+189.191162109375j),(-211.38743591308594-21.128353118896484j),(134.56236267089844-173.45689392089844j),(71.98722839355469+75.24774932861328j),(-90.99253845214844+14.160177230834961j),(32.29222106933594-103.84388732910156j)
