seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728463186795849,1728463186795849,148,1575,677,34,274,98,(-92.28829956054688-57.01511764526367j),(302.67071533203125-125.03166961669922j),(-220.50540161132812+182.7122802734375j),(-7.997589111328125-15.805724143981934j),(78.8498306274414+29.828458786010742j),(-57.71721649169922+37.191497802734375j)
1,1728463186796691,842,322,1633,455,72,282,53,(-19.973236083984375-64.37820434570312j),(266.44049072265625-58.04978942871094j),(-257.7054748535156+120.10570526123047j),(17.897842407226562-11.567577362060547j),(62.647361755371094+47.6670036315918j),(-66.46308898925781+20.694744110107422j)
2,1728463186797533,842,519,1631,257,116,263,31,(40.5545768737793-55.78265380859375j),(207.10565185546875-4.603773593902588j),(-258.96087646484375+54.954219818115234j),(38.352760314941406-1.6990468502044678j),(39.64323043823242+59.970882415771484j),(-66.73731994628906+3.5425634384155273j)
3,1728463186798375,842,736,1552,102,170,253,0,(81.94415283203125-35.79358673095703j),(135.6780242919922+31.588638305664062j),(-226.72933959960938-3.8591506481170654j),(52.698997497558594+12.361671447753906j),(12.709083557128906+65.4918212890625j),(-59.02117156982422-12.147143363952637j)
4,1728463186799217,842,929,1399,0,215,202,0,(99.68517303466797-10.345687866210938j),(60.456207275390625+48.90216064453125j),(-166.327880859375-48.562705993652344j),(60.1804313659668+28.92304039001465j),(-14.856964111328125+63.82120895385742j),(-42.55678176879883-23.97870445251465j)
5,1728463186800058,841,1137,1250,0,265,170,0,(94.74021911621094+14.674919128417969j),(-7.99022102355957+48.48626708984375j),(-84.54156494140625-72.92865753173828j),(59.57881164550781+45.907432556152344j),(-38.998748779296875+55.62289047241211j),(-20.975116729736328-30.444847106933594j)
6,1728463186800899,841,1316,1055,0,290,124,0,(67.02696228027344+33.15241241455078j),(-64.69972229003906+32.86043930053711j),(4.145058631896973-74.39064025878906j),(50.41613006591797+61.03582763671875j),(-58.90813446044922+41.80066680908203j),(3.7583093643188477-30.51178741455078j)
7,1728463186801740,841,1468,840,50,326,97,1,(20.38309097290039+39.783538818359375j),(-101.50719451904297+6.820859432220459j),(92.32122802734375-52.27745056152344j),(34.10841369628906+72.32826232910156j),(-72.71031188964844+23.79256820678711j),(29.960365295410156-23.560272216796875j)
8,1728463186802581,841,1677,612,225,346,30,41,(-39.30694580078125+30.65468406677246j),(-113.25625610351562-23.285449981689453j),(169.75721740722656-8.635293960571289j),(10.926020622253418+77.8073501586914j),(-79.48975372314453+3.332662582397461j),(54.95956039428711-9.665019989013672j)
9,1728463186803423,842,1699,424,402,350,10,66,(-109.97469329833984+2.2684359550476074j),(-99.02376556396484-50.64020919799805j),(223.59994506835938+50.9735107421875j),(-15.78232192993164+76.32323455810547j),(-76.19486999511719-16.966129302978516j),(75.02760314941406+10.09762191772461j)
