seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728464081988363,1728464081988363,263,872,2638,22,26,28,(-468.5666198730469+435.5234375j),(-161.92576599121094-676.1356811523438j),(666.0780029296875+195.0042724609375j),(3.060896396636963+1.0959874391555786j),(4.231619358062744+1.0769585371017456j),(-6.499617576599121-12.793701171875j)
1,1728464081989205,842,56,1192,2552,30,18,21,(-567.616455078125+298.794677734375j),(21.486286163330078-694.2299194335938j),(592.34765625+360.60235595703125j),(2.511948585510254+1.8077243566513062j),(3.2854831218719482+1.995292067527771j),(-3.4096107482910156-14.15861701965332j)
2,1728464081990046,841,0,1506,2226,44,22,13,(-627.218994140625+141.27218627929688j),(203.61358642578125-664.16162109375j),(477.82696533203125+501.35638427734375j),(2.240211009979248+2.47175669670105j),(2.9388418197631836+2.8531386852264404j),(-0.03138061985373497-14.666487693786621j)
3,1728464081990887,841,0,1799,1895,45,25,23,(-642.4110107421875-25.877765655517578j),(371.31011962890625-588.0984497070312j),(327.3174133300781+606.7467651367188j),(1.4436461925506592+2.945774555206299j),(2.261244297027588+3.559685230255127j),(4.409605503082275-14.002314567565918j)
4,1728464081991728,841,0,2041,1587,34,23,21,(-613.82373046875-191.2642059326172j),(513.4046630859375-471.2779541015625j),(156.3496856689453+670.044189453125j),(0.31005722284317017+3.13277006149292j),(1.2628798484802246+4.023644924163818j),(7.802923202514648-12.405475616455078j)
5,1728464081992569,841,72,2608,1197,21,26,90,(-543.4053344726562-343.6163024902344j),(627.18359375-319.8495178222656j),(-25.859243392944336+686.7518920898438j),(-0.6723158359527588+3.0631356239318848j),(0.17845240235328674+4.213399887084961j),(10.828311920166016-9.941656112670898j)
6,1728464081993411,842,287,2843,865,18,21,97,(-434.0632019042969-472.0446472167969j),(691.4937744140625-145.847412109375j),(-202.60183715820312+656.6908569335938j),(-1.2409706115722656+2.838674306869507j),(-1.119370937347412+4.062098026275635j),(10.456634521484375-7.490512847900391j)
7,1728464081994253,842,555,2934,546,21,32,56,(-230.24859619140625-550.3914794921875j),(591.2577514648438+7.434688568115234j),(-333.54541015625+590.483154296875j),(17.34488296508789+7.586358547210693j),(4.3069281578063965+5.359431266784668j),(8.175317764282227-5.56417989730835j)
8,1728464081995095,842,855,2825,253,29,18,40,(-46.787811279296875-582.343994140625j),(451.1829528808594+128.591064453125j),(-405.3007507324219+502.713134765625j),(36.04074478149414+17.511064529418945j),(4.302433013916016+6.701324462890625j),(11.027235984802246-2.8057239055633545j)
9,1728464081995936,841,1181,2556,4,14,38,85,(113.33605194091797-572.5185546875j),(294.30352783203125+211.98565673828125j),(-428.068359375+405.746337890625j),(50.84666061401367+31.753108978271484j),(2.6226351261138916+7.6404547691345215j),(16.489025115966797+1.513521671295166j)
