timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464445986981000,749,2848,434,0,1633,1173
1728464445987823000,1063,2672,135,95,1728,887
1728464445988666000,1397,2340,0,305,1784,631
1728464445989508000,1685,1880,10,576,1793,383
1728464445990351000,1953,1584,0,853,1709,199
1728464445991193000,2366,1268,41,1112,1550,45
1728464445992035000,2468,992,228,1351,1349,0
1728464445992877000,2512,681,495,1561,1120,0
1728464445993719000,2488,373,818,1752,882,8
1728464445994572000,2407,98,1161,1904,693,167
1728464445995414000,2246,0,1514,2296,501,383
1728464445996257000,1820,0,1845,2316,202,656
1728464445997099000,1511,0,2116,2255,52,926
1728464445997941000,1173,52,2540,1880,10,1219
1728464445998783000,847,260,2625,1636,0,1487
1728464445999625000,549,515,2666,1368,4,1702
1728464446000467000,283,809,2636,1099,64,1890
1728464446001310000,81,1144,2552,832,217,2038
1728464446002152000,0,1465,2303,611,437,2188
1728464446002994000,0,1766,1935,386,666,2321
1728464446003836000,0,2039,1609,216,899,2039
1728464446004679000,56,2567,1249,50,1106,1885
1728464446005521000,235,2823,907,0,1313,1679
1728464446006363000,501,2946,572,0,1496,1372
1728464446007205000,824,2840,293,0,1626,1074
1728464446008066000,1148,2598,71,149,1748,817
1728464446008909000,1476,2122,11,378,1800,559
1728464446009751000,1760,1804,4,654,1776,333
1728464446010594000,2016,1504,2,920,1675,158
1728464446011436000,2391,1187,82,1176,1505,16
1728464446012278000,2502,832,286,1418,1302,0
1728464446013120000,2510,530,576,1620,1054,0
1728464446013963000,2467,301,918,1799,825,45
1728464446014806000,2380,90,1257,1949,673,215
1728464446015648000,1965,0,1613,2299,461,448
1728464446016490000,1701,0,1924,2322,267,729
1728464446017332000,1416,0,2183,2240,23,999
1728464446018174000,1090,101,2554,1819,0,1284
1728464446019016000,759,322,2639,1562,0,1550
1728464446019858000,469,602,2667,1282,0,1763
1728464446020700000,225,917,2614,1001,105,1938
1728464446021544000,29,1250,2530,767,279,2072
1728464446022386000,0,1542,2140,543,503,2321
1728464446023228000,0,1857,1849,337,736,2261
1728464446024070000,0,2100,1529,165,953,2014
1728464446024912000,91,2656,1173,4,1160,1838
1728464446025754000,290,2897,832,0,1368,1569
1728464446026596000,586,2918,488,0,1550,1270
1728464446027438000,914,2787,245,26,1674,1014
1728464446028281000,1256,2496,25,213,1766,744
1728464446029123000,1551,1991,4,464,1795,487
1728464446029966000,1833,1712,4,732,1756,276
1728464446030808000,2176,1416,0,994,1632,108
1728464446031650000,2417,1080,138,1249,1445,0
1728464446032492000,2496,741,356,1472,1227,0
1728464446033334000,2511,462,658,1674,988,0
1728464446034177000,2456,233,992,1846,778,84
1728464446035039000,2369,79,1354,2232,616,245
1728464446035882000,1881,0,1723,2316,394,513
1728464446036725000,1647,0,2016,2304,178,818
1728464446037567000,1328,0,2469,2148,64,1100
1728464446038409000,993,158,2584,1752,0,1364
1728464446039251000,680,393,2659,1492,0,1606
1728464446040093000,405,683,2652,1209,10,1816
1728464446040936000,175,1004,2600,940,138,1978
1728464446041779000,0,1333,2500,700,324,2087
1728464446042621000,0,1635,2055,480,561,2331
1728464446043463000,0,1922,1752,293,801,2115
1728464446044305000,0,2400,1411,114,997,1959
1728464446045147000,136,2734,1064,0,1210,1784
1728464446045989000,360,2936,722,0,1419,1518
1728464446046831000,671,2904,401,0,1580,1198
1728464446047673000,1003,2728,154,66,1705,933
1728464446048516000,1336,2408,0,267,1787,678
1728464446049358000,1634,1928,4,532,1794,432
1728464446050201000,1909,1631,2,812,1729,226
1728464446051043000,2343,1322,13,1075,1578,64
1728464446051885000,2446,994,192,1310,1394,37
1728464446052727000,2503,664,452,1527,1156,0
1728464446053569000,2500,434,762,1728,933,0
1728464446054412000,2430,202,1088,1887,715,119
1728464446055254000,2328,50,1456,2257,481,320
1728464446056096000,1850,0,1790,2291,370,604
1728464446056938000,1545,0,2091,2310,178,886
1728464446057780000,1241,27,2511,1928,31,1172
1728464446058622000,912,216,2595,1679,4,1438
1728464446059464000,605,469,2659,1411,0,1662
1728464446060306000,326,757,2646,1135,31,1856
1728464446061148000,110,1090,2578,870,185,2012
1728464446061998000,0,1427,2451,644,395,2112
1728464446062840000,0,1708,1971,425,630,2331
1728464446063682000,0,1977,1655,245,857,2071
1728464446064524000,4,2488,1328,116,1058,1923
1728464446065366000,171,2764,960,0,1273,1684
1728464446066208000,434,2904,630,0,1472,1406
1728464446067050000,752,2864,330,0,1615,1138
1728464446067893000,1088,2658,104,109,1728,855
1728464446068735000,1426,2306,1,329,1795,612
1728464446069578000,1716,1857,0,598,1793,370
1728464446070421000,1972,1545,0,882,1694,178
1728464446071263000,2377,1242,69,1130,1530,50
1728464446072105000,2470,911,252,1371,1330,69
1728464446072947000,2520,581,506,1573,1108,42
1728464446073790000,2496,321,848,1772,869,52
1728464446074633000,2382,106,1136,1907,653,121
1728464446075521000,2115,114,1517,2292,439,357
1728464446076363000,1778,74,1856,2335,250,660
1728464446077205000,1472,0,2169,2253,96,967
1728464446078047000,1154,68,2534,1860,0,1236
1728464446078889000,826,256,2624,1624,1,1496
1728464446079731000,522,535,2662,1345,0,1720
1728464446080573000,260,839,2639,1066,69,1908
1728464446081416000,69,1176,2562,814,235,2062
1728464446082258000,0,1474,2215,591,452,2201
1728464446083100000,0,1801,1897,380,704,2316
1728464446083942000,0,2036,1590,186,900,2040
1728464446084784000,132,2558,1258,55,1090,1860
1728464446085626000,217,2812,859,52,1321,1657
1728464446086468000,480,2895,562,32,1504,1370
1728464446087310000,855,2837,265,0,1657,1064
1728464446088153000,1183,2575,64,164,1753,796
1728464446088968000,1502,2064,10,410,1806,538
1728464446089811000,1791,1790,2,686,1768,314
1728464446090653000,2024,1486,0,944,1666,136
1728464446091495000,2400,1158,173,1186,1486,20
1728464446092337000,2488,819,389,1432,1274,0
1728464446093179000,2511,495,635,1639,1040,0
1728464446094021000,2475,251,914,1808,808,106
1728464446094864000,2383,65,1225,1959,624,281
1728464446095706000,1998,26,1592,2280,380,394
1728464446096548000,1708,0,1927,2301,188,690
1728464446097390000,1387,0,2197,2232,74,1047
1728464446098232000,1070,114,2568,1802,0,1308
1728464446099074000,736,325,2637,1551,0,1560
1728464446099916000,453,610,2664,1259,0,1775
1728464446100759000,197,931,2621,994,104,1953
1728464446101602000,23,1249,2517,745,290,2065
1728464446102499000,0,1553,2117,535,519,2321
1728464446103341000,0,1848,1814,331,744,2220
1728464446104183000,0,2247,1491,148,941,1991
1728464446105025000,232,2620,1167,28,1141,1795
1728464446105867000,417,2853,817,0,1349,1545
1728464446106710000,576,2901,473,52,1545,1264
1728464446107552000,949,2783,197,37,1687,997
1728464446108394000,1287,2485,18,220,1763,717
1728464446109237000,1573,1973,2,481,1797,476
1728464446110079000,1859,1698,0,744,1742,261
1728464446110921000,2311,1393,0,1015,1624,93
1728464446111763000,2421,1057,144,1249,1432,0
1728464446112605000,2494,727,421,1479,1205,0
1728464446113447000,2508,425,748,1691,979,0
1728464446114289000,2445,193,1094,1851,791,107
1728464446115132000,2324,29,1289,2240,530,377
1728464446115945000,1900,0,1680,2296,335,618
1728464446116788000,1614,6,2043,2304,166,840
1728464446117630000,1309,0,2471,2059,64,1114
1728464446118472000,975,175,2588,1738,0,1380
1728464446119314000,656,398,2661,1470,0,1621
1728464446120156000,378,704,2659,1182,0,1822
1728464446120999000,169,1028,2603,921,164,1984
1728464446121841000,0,1340,2481,689,348,2081
1728464446122683000,0,1659,2050,466,586,2322
1728464446123525000,0,1945,1728,277,807,2133
1728464446124367000,26,2417,1392,102,960,1943
1728464446125209000,173,2723,1066,0,1185,1743
1728464446126051000,532,2891,727,0,1398,1475
1728464446126893000,706,2895,387,0,1600,1184
1728464446127735000,1032,2712,141,80,1713,914
1728464446128578000,1368,2376,0,290,1780,650
1728464446129424000,1653,1888,0,554,1794,418
1728464446130267000,1934,1607,2,824,1728,209
1728464446131109000,2329,1292,26,1088,1572,64
1728464446131951000,2454,969,221,1320,1370,5
1728464446132793000,2504,643,472,1544,1148,0
1728464446133635000,2497,339,777,1740,917,0
1728464446134478000,2414,162,1208,1890,720,162
1728464446135320000,2285,17,1529,2263,465,469
1728464446136163000,1823,0,1760,2309,286,711
1728464446137006000,1535,0,2127,2284,133,914
1728464446137848000,1216,41,2511,1896,14,1190
1728464446138690000,888,232,2626,1666,9,1450
1728464446139532000,583,491,2656,1396,0,1680
1728464446140374000,320,782,2648,1103,34,1880
1728464446141217000,98,1114,2572,854,205,2022
1728464446142059000,0,1413,2397,613,412,2115
1728464446142909000,0,1713,1944,398,661,2319
1728464446143751000,0,1987,1631,229,873,2055
1728464446144593000,53,2496,1286,90,1112,1919
1728464446145435000,245,2759,930,0,1240,1676
1728464446146277000,602,2896,593,0,1456,1391
1728464446147119000,786,2863,308,0,1632,1110
1728464446147962000,1120,2624,89,126,1735,845
1728464446148805000,1438,2225,13,356,1800,584
1728464446149647000,1742,1826,0,632,1792,354
1728464446150490000,1998,1533,0,911,1682,165
1728464446151332000,2361,1201,82,1138,1513,28
1728464446152174000,2465,872,279,1383,1303,17
1728464446153016000,2517,557,557,1600,1089,0
1728464446153859000,2480,305,873,1765,851,31
1728464446154702000,2383,76,1296,1913,679,210
1728464446155544000,2072,17,1643,2286,442,433
1728464446156397000,1751,5,1898,2322,231,737
1728464446157239000,1442,1,2179,2254,93,992
1728464446158081000,1128,83,2542,1831,0,1259
1728464446158923000,801,290,2631,1593,0,1508
1728464446159765000,503,558,2663,1319,0,1733
1728464446160607000,257,872,2636,1033,77,1909
1728464446161450000,46,1208,2542,795,258,2051
1728464446162292000,0,1520,2160,569,484,2277
1728464446163134000,0,1823,1863,360,714,2314
1728464446163976000,21,2084,1540,187,937,2001
1728464446164818000,71,2528,1191,36,1207,1841
1728464446165660000,281,2795,837,11,1395,1594
1728464446166502000,576,2915,505,0,1535,1326
1728464446167344000,880,2815,245,2,1664,1038
1728464446168187000,1209,2559,45,176,1761,783
1728464446169029000,1524,2027,8,427,1799,517
1728464446169877000,1810,1760,1,708,1768,302
1728464446170719000,2035,1459,0,1007,1636,121
1728464446171561000,2389,1117,122,1237,1461,0
1728464446172403000,2472,786,346,1458,1242,0
1728464446173245000,2508,481,640,1642,1020,0
1728464446174088000,2450,269,978,1796,791,91
1728464446174931000,2351,64,1303,1995,591,226
1728464446175774000,1930,0,1762,2302,389,514
1728464446176616000,1671,2,1992,2314,181,781
1728464446177458000,1359,0,2267,2225,64,1063
1728464446178300000,1044,144,2567,1782,0,1330
1728464446179142000,717,354,2648,1528,0,1569
1728464446179984000,423,630,2673,1249,0,1784
1728464446180826000,210,963,2606,968,128,1934
1728464446181669000,16,1288,2509,736,322,2072
1728464446182511000,0,1600,2086,509,543,2327
1728464446183413000,0,1902,1795,320,772,2243
1728464446184255000,10,2414,1464,178,981,1956
1728464446185097000,162,2721,1113,2,1263,1765
1728464446185939000,341,2792,751,0,1464,1514
1728464446186781000,648,2913,439,0,1567,1250
1728464446187623000,966,2767,186,47,1694,970
1728464446188466000,1294,2457,5,237,1775,707
1728464446189309000,1593,1961,8,494,1802,458
1728464446190152000,1880,1676,0,770,1743,257
1728464446190994000,2289,1364,0,1089,1600,78
1728464446191836000,2411,1028,175,1326,1408,0
1728464446192678000,2496,704,420,1522,1183,1
1728464446193520000,2496,412,715,1664,948,0
1728464446194363000,2420,201,1042,1829,743,137
1728464446195206000,2303,66,1434,2246,521,306
1728464446196049000,1873,0,1761,2316,311,581
1728464446196847000,1595,14,2064,2296,146,866
