timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728462666145026000,119,239,843,387,0,453
1728462666145868000,42,341,818,304,0,516
1728462666146709000,0,450,761,229,26,538
1728462666147550000,0,564,666,153,79,563
1728462666148391000,0,642,569,87,141,558
1728462666149232000,0,719,463,29,210,538
1728462666150074000,53,784,415,0,277,506
1728462666150915000,136,807,284,0,340,448
1728462666151757000,224,797,64,0,385,444
1728462666152598000,370,794,0,0,450,344
1728462666153440000,672,0,495,277,0,210
1728462666155122000,493,18,696,183,0,287
1728462666162694000,11,746,424,9,286,129
1728462666163535000,82,781,293,32,274,77
1728462666164376000,165,805,202,78,277,58
1728462666165218000,272,783,98,125,279,13
1728462666166060000,416,746,22,226,264,0
1728462666166901000,385,674,0,284,217,26
1728462666167742000,489,586,0,325,188,33
1728462666168583000,586,482,0,322,137,0
1728462666169424000,729,386,23,311,101,5
1728462666170265000,773,282,85,320,64,46
1728462666171106000,790,185,188,322,34,96
1728462666171947000,770,88,288,320,5,138
1728462666172788000,729,26,414,296,0,192
1728462666173629000,640,0,530,258,0,239
1728462666174470000,558,0,629,216,0,274
1728462666175311000,468,0,718,175,0,308
1728462666176152000,352,34,796,114,0,313
1728462666176993000,256,90,960,77,45,332
1728462666177834000,143,228,923,42,116,352
1728462666178675000,64,292,821,20,121,334
1728462666179280000,5,395,786,0,178,303
1728462666180121000,0,509,717,0,217,269
1728462666180962000,0,604,617,0,241,221
1728462666181803000,0,692,509,0,270,175
1728462666182644000,26,753,383,13,293,125
1728462666183485000,116,791,269,43,298,69
1728462666184326000,181,813,156,85,292,34
1728462666185167000,293,793,68,130,275,9
1728462666186008000,431,783,2,173,312,0
1728462666186849000,506,554,0,202,295,0
1728462666187690000,594,482,0,249,242,0
1728462666188531000,682,476,0,290,133,0
1728462666189372000,741,368,42,303,84,20
1728462666190213000,779,258,122,327,46,53
1728462666191054000,787,166,210,325,30,98
1728462666191895000,757,85,324,320,0,151
1728462666192777000,751,0,443,297,0,204
1728462666193618000,686,0,555,259,0,248
1728462666194459000,598,0,658,220,0,276
1728462666195299000,474,0,741,172,0,302
1728462666196140000,213,32,799,194,1,372
1728462666196981000,178,116,874,129,50,346
1728462666197823000,93,200,817,0,90,348
1728462666198664000,57,330,816,9,143,334
1728462666199505000,0,426,770,0,178,299
1728462666200346000,0,534,680,0,229,267
1728462666201186000,0,629,581,0,250,215
1728462666202027000,0,705,468,0,274,161
1728462666202868000,46,782,366,17,290,117
1728462666203709000,119,810,253,47,293,73
1728462666204550000,225,811,148,101,289,27
1728462666205392000,320,789,47,151,276,2
1728462666206141000,426,725,0,192,270,42
1728462666206981000,556,663,0,229,232,26
1728462666207822000,642,576,0,264,192,32
1728462666208662000,697,453,0,298,123,0
1728462666209503000,754,346,64,327,82,25
1728462666210344000,778,229,149,325,42,66
1728462666211185000,782,132,249,325,18,112
1728462666212026000,754,52,346,320,0,166
1728462666212867000,696,0,463,282,46,210
1728462666213708000,624,0,570,253,40,244
1728462666214548000,530,0,670,207,30,284
1728462666215389000,415,0,757,155,23,314
1728462666216230000,329,0,800,121,69,331
1728462666217072000,222,113,850,46,1,340
1728462666217913000,252,232,906,49,68,330
1728462666218754000,34,346,804,6,150,313
1728462666219672000,0,463,749,0,192,292
1728462666220512000,0,562,668,0,226,242
1728462666221353000,0,658,562,0,265,201
1728462666222193000,0,727,451,1,276,142
1728462666223034000,34,783,341,37,292,113
1728462666223875000,121,801,229,50,289,56
1728462666224717000,226,802,119,109,290,29
1728462666225558000,350,776,37,157,278,1
1728462666226399000,425,725,0,180,237,0
1728462666227240000,530,619,0,225,207,0
1728462666228081000,640,517,68,261,180,0
1728462666228922000,722,426,5,297,114,5
1728462666229763000,762,311,71,321,66,32
1728462666230604000,789,212,161,328,34,71
1728462666231445000,780,121,276,321,5,114
1728462666232286000,741,50,378,309,0,165
1728462666233069000,680,0,476,274,0,261
1728462666233910000,596,0,589,235,0,246
1728462666234751000,501,0,690,192,0,279
1728462666235592000,405,21,777,145,11,293
1728462666236433000,261,192,815,122,42,292
1728462666237274000,197,261,836,101,93,312
1728462666238115000,101,177,832,18,194,329
1728462666238956000,23,370,788,0,162,314
1728462666239797000,0,488,724,0,206,289
1728462666240638000,0,591,636,0,235,249
1728462666241479000,0,671,529,0,258,192
1728462666242320000,21,746,416,2,290,145
1728462666243161000,87,778,304,31,282,96
1728462666244002000,171,798,210,89,285,50
1728462666244844000,261,797,110,117,279,20
1728462666245685000,290,759,37,209,247,0
1728462666246537000,394,693,10,261,225,17
1728462666247378000,516,604,11,290,181,0
1728462666248219000,626,501,0,309,146,0
1728462666249060000,732,399,26,308,111,5
1728462666249901000,773,288,90,327,65,42
1728462666250742000,788,184,184,342,33,85
1728462666251583000,778,101,288,320,18,136
1728462666252424000,730,26,421,298,0,189
1728462666253265000,655,0,593,264,0,232
1728462666254106000,577,2,692,221,0,285
1728462666254947000,476,0,756,173,0,300
1728462666255788000,381,30,840,137,11,404
1728462666256629000,258,79,749,79,36,423
1728462666257470000,200,207,811,53,79,320
1728462666258312000,74,282,832,22,130,330
1728462666259153000,8,394,785,0,170,312
1728462666259999000,0,501,709,0,206,277
1728462666260840000,0,604,613,0,242,234
1728462666261681000,0,682,520,0,263,178
1728462666262522000,34,757,401,21,293,121
1728462666263363000,98,766,274,44,297,85
1728462666264204000,192,802,166,91,295,43
1728462666265045000,288,788,84,130,250,9
1728462666265886000,407,720,21,161,199,0
1728462666266727000,604,661,0,221,177,0
1728462666267568000,737,570,36,277,146,0
1728462666268409000,682,485,0,281,133,0
1728462666269250000,746,377,36,312,96,16
1728462666270091000,779,266,109,326,50,42
1728462666270932000,791,173,213,331,25,87
1728462666271773000,765,87,314,320,1,149
1728462666272614000,696,9,434,277,0,194
1728462666273463000,622,0,549,251,0,242
1728462666274304000,537,0,649,210,0,281
1728462666275144000,441,0,737,165,0,320
1728462666275985000,308,37,805,94,18,364
1728462666276826000,224,161,850,65,50,331
1728462666277668000,126,182,952,32,122,357
1728462666278510000,58,309,825,6,129,325
1728462666279351000,7,421,783,0,177,299
1728462666280192000,0,533,700,0,210,260
1728462666281033000,0,626,596,0,240,213
1728462666281873000,0,716,493,0,269,178
1728462666282714000,46,770,356,13,292,111
1728462666283555000,137,803,244,48,285,55
1728462666284396000,215,815,160,98,290,26
1728462666285237000,303,783,74,143,273,2
1728462666286078000,452,801,1,197,250,0
1728462666286934000,541,687,0,213,298,0
1728462666287775000,613,578,0,245,247,0
1728462666288615000,696,460,0,298,133,5
1728462666289456000,756,349,52,322,90,23
1728462666290297000,780,246,129,325,53,64
1728462666291139000,786,144,229,324,17,107
1728462666291980000,759,69,341,314,0,156
1728462666292821000,757,0,468,290,0,201
1728462666293662000,687,0,564,253,0,247
1728462666294502000,566,0,670,211,0,285
1728462666295343000,471,0,752,167,0,320
1728462666296184000,226,47,821,167,10,366
1728462666297025000,159,133,862,101,46,310
1728462666297866000,85,226,849,8,101,363
1728462666298707000,50,335,814,10,149,326
1728462666299548000,0,440,756,0,192,296
1728462666300393000,0,549,674,0,229,253
1728462666301234000,0,637,564,0,253,205
1728462666302075000,0,722,457,6,279,160
1728462666302916000,53,775,338,22,303,113
1728462666303757000,146,810,234,64,308,68
1728462666304599000,207,805,119,106,277,32
1728462666305440000,335,772,42,159,269,4
1728462666306281000,462,725,0,194,250,26
1728462666307122000,594,648,0,234,206,0
1728462666307963000,697,549,0,271,149,0
1728462666308804000,714,442,10,306,109,4
1728462666309645000,761,321,72,322,77,23
1728462666310486000,788,215,160,330,48,77
1728462666311327000,770,117,261,327,7,117
1728462666312168000,750,40,368,320,0,169
1728462666313009000,679,0,484,279,20,210
1728462666313852000,602,0,594,247,26,253
1728462666314693000,513,0,679,197,13,292
1728462666315534000,414,4,773,151,21,327
1728462666316375000,308,36,824,88,0,330
1728462666317216000,327,150,900,72,64,345
1728462666318058000,160,250,832,85,98,342
1728462666318899000,33,362,802,10,151,308
1728462666319740000,0,482,738,0,201,282
1728462666320581000,0,580,654,0,226,238
