seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728463528864916,1728463528864916,528,170,1703,1129,0,975,(-108.9422607421875+387.90631103515625j),(-298.7573547363281-288.8006286621094j),(430.87774658203125-114.36894989013672j),(204.0349578857422+277.0994873046875j),(-304.0271301269531-8.564868927001953j),(164.98745727539062-315.6606750488281j)
1,1728463528865758,842,389,346,1730,922,0,1129,(-205.22520446777344+346.6002197265625j),(-211.33502197265625-355.6154479980469j),(447.7286376953125+1.565080165863037j),(121.21856689453125+319.35491943359375j),(-291.4508972167969-86.96102905273438j),(242.95623779296875-261.696044921875j)
2,1728463528866600,842,213,558,1718,721,39,1262,(-245.11636352539062+293.14825439453125j),(-106.41909790039062-396.67510986328125j),(374.2327880859375+101.89566040039062j),(42.60314178466797+342.0360107421875j),(-252.4122772216797-157.662353515625j),(266.30816650390625-199.57061767578125j)
3,1728463528867442,842,69,778,1624,548,154,1347,(-259.63140869140625+233.92137145996094j),(-17.27106475830078-415.29608154296875j),(295.98858642578125+184.800048828125j),(-34.77667999267578+344.78338623046875j),(-203.64947509765625-217.7917938232422j),(279.4258728027344-131.73876953125j)
4,1728463528868284,842,0,986,1481,386,286,1393,(-256.7129211425781+173.38719177246094j),(60.41754913330078-413.7572937011719j),(211.59078979492188+248.01467895507812j),(-106.2464599609375+328.47735595703125j),(-146.53964233398438-264.7398376464844j),(277.39794921875-62.057456970214844j)
5,1728463528869126,842,0,1194,1306,229,426,1386,(-292.841552734375+101.03697967529297j),(168.02294921875-383.33148193359375j),(141.07550048828125+294.56475830078125j),(-203.17770385742188+285.62347412109375j),(-61.194122314453125-290.47576904296875j),(265.2121887207031+6.8167853355407715j)
6,1728463528869968,842,0,1361,1072,112,578,1381,(-309.01348876953125+21.80126190185547j),(263.2015380859375-326.32928466796875j),(60.914939880371094+321.2779846191406j),(-278.18853759765625+221.15878295898438j),(27.461551666259766-293.36431884765625j),(230.26284790039062+68.75599670410156j)
7,1728463528870810,842,45,1501,855,21,733,1245,(-304.126708984375-58.9201774597168j),(340.5447692871094-246.59225463867188j),(-22.66342544555664+326.538818359375j),(-330.0145263671875+140.53329467773438j),(111.34866333007812-273.8773193359375j),(175.36196899414062+118.16954803466797j)
8,1728463528871652,842,185,1598,615,0,879,1056,(-279.39959716796875-135.86355590820312j),(391.59661865234375-150.3630828857422j),(-104.15181732177734+310.15045166015625j),(-355.9874267578125+50.10422897338867j),(182.74563598632812-234.57212829589844j),(109.8243408203125+151.7654571533203j)
9,1728463528872494,842,352,1681,409,0,999,879,(-236.64707946777344-204.06570434570312j),(416.7273864746094-44.00555419921875j),(-178.219482421875+273.3376159667969j),(-352.8006591796875-42.66094207763672j),(237.14996337890625-179.3027801513672j),(38.991764068603516+167.56698608398438j)
10,1728463528873336,842,583,1687,213,23,1105,661,(-177.498046875-258.8248291015625j),(411.6231384277344+64.7361831665039j),(-240.95993041992188+218.41490173339844j),(-320.64202880859375-130.08163452148438j),(271.4918212890625-112.88188934326172j),(-31.544889450073242+165.02566528320312j)
11,1728463528874178,842,773,1425,64,85,1231,501,(-107.680908203125-296.80816650390625j),(378.2264099121094+168.36529541015625j),(-287.3475036621094+149.12521362304688j),(-262.2038879394531-204.92771911621094j),(282.159912109375-41.25941848754883j),(-94.87489318847656+145.4254913330078j)
12,1728463528875020,842,984,1346,0,250,1210,345,(-29.64722442626953-315.2223815917969j),(326.79339599609375+261.86859130859375j),(-314.3417053222656+70.15817260742188j),(-182.76312255859375-261.1280517578125j),(267.1657409667969+28.871952056884766j),(-148.2775421142578+110.82469940185547j)
13,1728463528875862,842,1183,1230,0,424,1152,198,(49.326316833496094-313.1252746582031j),(251.14158630371094+338.3995056152344j),(-321.7890319824219-13.5900297164917j),(-92.28850555419922-295.0682678222656j),(231.63339233398438+91.9564208984375j),(-185.7938232421875+64.95086669921875j)
14,1728463528876703,841,1352,1025,0,604,1103,71,(125.58934020996094-290.51959228515625j),(156.32806396484375+392.22491455078125j),(-307.3069763183594-96.41209411621094j),(1.794816493988037-304.9962158203125j),(178.77072143554688+143.10177612304688j),(-204.20223999023438+12.526266098022461j)
15,1728463528877545,842,1475,805,79,781,985,0,(194.81161499023438-248.56838989257812j),(51.45812225341797+419.84930419921875j),(-271.8824768066406-172.663818359375j),(91.53915405273438-291.22747802734375j),(111.41314697265625+178.00291442871094j),(-203.34378051757812-41.51765441894531j)
16,1728463528878387,842,1563,589,215,945,852,0,(249.04656982421875-190.6051025390625j),(-56.223472595214844+419.5949401855469j),(-219.61997985839844-237.60174560546875j),(172.6898193359375-255.228759765625j),(36.874942779541016+194.16278076171875j),(-184.62301635742188-92.45182800292969j)
17,1728463528879229,842,1603,386,407,1092,692,0,(287.920654296875-120.18081665039062j),(-161.13600158691406+391.22039794921875j),(-153.09580993652344-287.00531005859375j),(234.39300537109375-201.42684936523438j),(-38.581478118896484+190.6742401123047j),(-150.54014587402344-136.05029296875j)
18,1728463528880071,842,1540,212,621,1209,533,43,(308.0881652832031-41.868370056152344j),(-253.60044860839844+337.069091796875j),(-75.28712463378906-317.30291748046875j),(276.446533203125-134.45880126953125j),(-107.98808288574219+168.46517944335938j),(-99.45228576660156-167.49777221679688j)
19,1728463528880913,842,1464,71,850,1295,405,153,(309.634033203125+39.62086486816406j),(-330.7099914550781+260.34613037109375j),(7.027688503265381-326.6130676269531j),(295.9915466308594-59.89130401611328j),(-166.2630615234375+129.85792541503906j),(-38.263275146484375-183.65908813476562j)
20,1728463528881755,842,1325,0,1079,1344,249,305,(290.5192565917969+118.8629379272461j),(-386.0591735839844+166.08590698242188j),(88.70586395263672-314.3660888671875j),(290.2987365722656+15.781272888183594j),(-210.1050262451172+78.14134979248047j),(27.196956634521484-182.8504638671875j)
21,1728463528882597,842,1157,10,1291,1344,132,477,(252.19036865234375+190.6301727294922j),(-415.8907165527344+60.507198333740234j),(164.63238525390625-281.34259033203125j),(259.37860107421875+85.8382568359375j),(-233.1918182373047+18.414318084716797j),(90.01616668701172-165.18096923828125j)
22,1728463528883439,842,944,10,1463,1281,33,647,(196.39157104492188+249.97784423828125j),(-417.782470703125-49.302818298339844j),(229.66616821289062-229.72842407226562j),(206.42959594726562+144.178955078125j),(-235.32456970214844-43.991119384765625j),(144.2300567626953-132.36160278320312j)
23,1728463528884281,842,738,57,1704,1184,18,859,(128.3009033203125+293.17425537109375j),(-391.1888427734375-155.8607635498047j),(279.8094482421875-162.85765075683594j),(136.68362426757812+185.88931274414062j),(-217.24847412109375-103.7545166015625j),(185.2850799560547-87.38381958007812j)
24,1728463528885123,842,538,232,1751,1026,0,1022,(50.505149841308594+317.04913330078125j),(-337.96240234375-251.9156951904297j),(307.4754638671875-86.21484375j),(56.30516052246094+207.53367614746094j),(-181.9458465576172-156.1668243408203j),(208.38998413085938-34.62846374511719j)
25,1728463528885965,842,1453,487,293,1125,164,232,(-31.261777877807617+319.8568420410156j),(-263.2986145019531-331.35296630859375j),(315.81103515625-4.634859085083008j),(-26.413230895996094+207.7772674560547j),(-129.65243530273438-196.4160614013672j),(212.90806579589844+21.19852066040039j)
26,1728463528887650,1685,1530,132,746,1034,23,530,(-156.04579162597656+289.32781982421875j),(-171.78622436523438-389.07183837890625j),(363.03802490234375+92.47738647460938j),(-115.39141845703125+184.18783569335938j),(-71.25916290283203-222.43870544433594j),(234.65841674804688+84.82286071777344j)
27,1728463528888492,842,1426,23,966,960,0,686,(-278.85888671875+224.81417846679688j),(-47.20294189453125-415.44476318359375j),(365.2089538574219+193.59707641601562j),(-195.39334106445312+138.3297882080078j),(3.1084535121917725-229.45257568359375j),(227.1666259765625+148.6842041015625j)
28,1728463528895231,6739,0,1050,1503,0,580,926,(-382.3594665527344+130.29185485839844j),(88.49343872070312-406.3883056640625j),(328.77838134765625+288.5223388671875j),(-261.4040222167969+73.16653442382812j),(85.28972625732422-214.6934814453125j),(194.54727172851562+206.0579833984375j)
29,1728463528896072,841,0,1236,1328,30,709,786,(-403.05291748046875+26.890357971191406j),(185.38677978515625-371.0498962402344j),(241.85403442382812+363.5048828125j),(-270.38739013671875+3.297494649887085j),(140.76759338378906-184.54849243164062j),(134.54624938964844+249.37847900390625j)
30,1728463528896914,842,0,1407,1113,11,799,654,(-396.2789306640625-78.34367370605469j),(270.8787536621094-311.5574035644531j),(138.28341674804688+413.38092041015625j),(-262.38983154296875-66.89332580566406j),(184.58090209960938-141.600341796875j),(65.41780090332031+275.7042541503906j)
31,1728463528897755,841,23,1472,911,0,840,525,(-362.4992370605469-178.23870849609375j),(340.03192138671875-231.43667602539062j),(25.13178062438965+434.69744873046875j),(-236.57855224609375-132.64410400390625j),(215.2220458984375-88.92689514160156j),(-8.973712921142578+283.0255432128906j)
32,1728463528898597,842,137,1587,681,100,877,365,(-303.45233154296875-265.83612060546875j),(389.51300048828125-135.23117065429688j),(-90.08389282226562+425.89398193359375j),(-192.97911071777344-189.0318603515625j),(231.5082244873047-30.031448364257812j),(-83.81195068359375+270.5522766113281j)
33,1728463528899439,842,309,1624,457,226,900,237,(-222.09542846679688-334.7240905761719j),(411.7642822265625-29.66970443725586j),(-199.336669921875+387.50579833984375j),(-136.63327026367188-232.3109588623047j),(231.51321411132812+30.942935943603516j),(-152.1876220703125+239.31777954101562j)
34,1728463528900281,842,503,1622,261,367,874,122,(-126.00313568115234-380.2943115234375j),(405.8555603027344+78.03233337402344j),(-294.6494445800781+322.2244567871094j),(-70.36196899414062-259.35943603515625j),(215.65621948242188+89.81939697265625j),(-210.39083862304688+191.38592529296875j)
35,1728463528901123,842,712,1550,109,519,832,29,(-21.06869125366211-399.35498046875j),(371.1861572265625+180.24404907226562j),(-369.4159851074219+234.60659790039062j),(0.6518567204475403-268.333984375j),(185.06094360351562+142.57481384277344j),(-253.6014404296875+130.18499755859375j)
36,1728463528901965,842,894,1427,0,664,739,0,(85.1429672241211-390.62872314453125j),(310.5595703125+269.8165588378906j),(-419.92364501953125+130.36441040039062j),(70.96502685546875-258.7847595214844j),(140.5259246826172+185.2581024169922j),(-279.1777648925781+59.97196960449219j)
37,1728463528902806,841,1106,1263,0,786,626,1,(187.1674041748047-354.25726318359375j),(228.6949462890625+340.61328125j),(-439.35589599609375+17.238113403320312j),(136.49130249023438-231.34097290039062j),(86.8233642578125+215.05755615234375j),(-285.1868896484375-14.328042984008789j)
38,1728463528903647,841,1310,1074,0,874,501,0,(275.013916015625-293.0643310546875j),(131.2962646484375+387.8095397949219j),(-428.84674072265625-97.06292724609375j),(192.15863037109375-188.01304626464844j),(27.11726951599121+229.91001892089844j),(-271.80126953125-87.66240692138672j)
39,1728463528904489,842,1389,873,37,1002,372,26,(342.862060546875-211.53289794921875j),(24.518108367919922+408.0595703125j),(-389.1123962402344-204.74929809570312j),(235.52000427246094-131.53802490234375j),(-34.277748107910156+228.83567810058594j),(-239.85116577148438-155.02273559570312j)
40,1728463528905331,842,1514,633,154,983,257,96,(388.94659423828125-114.77706146240234j),(-84.30548858642578+399.86480712890625j),(-321.4118347167969-298.0941162109375j),(260.1710205078125-66.465576171875j),(-93.38320922851562+211.88616943359375j),(-189.6639862060547-211.3116455078125j)
