seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728463115236581,1728463115236581,521,1634,250,0,427,581,(-119.26335144042969-165.9367218017578j),(273.58349609375-172.50390625j),(-153.547607421875+345.02996826171875j),(-73.47653198242188+197.8195037841797j),(28.412948608398438-94.81640625j),(102.77236938476562+45.78534698486328j)
1,1728463115237422,841,744,1542,64,0,472,437,(-91.3290023803711-196.26187133789062j),(276.0269470214844-104.62798309326172j),(-183.20208740234375+308.1124267578125j),(-93.27505493164062+179.80484008789062j),(34.79966354370117-88.83663177490234j),(99.97740173339844+74.18933868408203j)
2,1728463115238263,841,914,1543,0,0,540,335,(-67.36443328857422-221.2354736328125j),(273.01434326171875-35.164886474609375j),(-201.04351806640625+265.11199951171875j),(-114.1759262084961+155.5543212890625j),(38.05268096923828-81.77426147460938j),(99.30370330810547+103.41481018066406j)
3,1728463115239104,841,1116,1355,0,65,576,234,(-44.59476852416992-240.98895263671875j),(259.73272705078125+33.18980026245117j),(-212.50051879882812+217.52481079101562j),(-134.28614807128906+125.059814453125j),(40.212162017822266-73.8841323852539j),(97.2868881225586+133.13082885742188j)
4,1728463115239945,841,1326,1066,0,93,596,194,(-25.61825942993164-256.3545227050781j),(244.18399047851562+99.78951263427734j),(-220.26597595214844+166.17816162109375j),(-154.0289306640625+88.19952392578125j),(42.9122428894043-64.99217987060547j),(93.48351287841797+162.87600708007812j)
5,1728463115240787,842,1464,856,57,174,599,114,(-9.42898941040039-267.9242248535156j),(228.8717498779297+164.63571166992188j),(-222.84869384765625+112.32815551757812j),(-168.38848876953125+46.191307067871094j),(46.720394134521484-54.76616668701172j),(84.12346649169922+191.16246032714844j)
6,1728463115241629,842,1556,640,189,279,562,57,(9.364090919494629-274.866455078125j),(208.68771362304688+226.3611297607422j),(-223.037353515625+56.527984619140625j),(-178.87216186523438-0.10789097845554352j),(53.426910400390625-42.382408142089844j),(68.96868896484375+216.38604736328125j)
7,1728463115242471,842,1600,430,370,397,533,0,(33.66026306152344-275.54345703125j),(183.1969451904297+283.4337463378906j),(-223.1858367919922-1.2803876399993896j),(-183.65621948242188-49.32223129272461j),(63.30024719238281-26.916244506835938j),(46.95676803588867+236.60134887695312j)
8,1728463115243313,842,1567,237,586,487,458,0,(63.62255096435547-268.2159729003906j),(150.68548583984375+333.8082580566406j),(-222.53427124023438-60.95343017578125j),(-180.61077880859375-99.45664978027344j),(74.54928588867188-7.890326499938965j),(17.88697624206543+249.74053955078125j)
9,1728463115244155,842,1577,78,801,573,369,0,(100.20591735839844-250.82749938964844j),(110.79185485839844+375.27032470703125j),(-222.7603759765625-122.79210662841797j),(-168.31558227539062-148.06512451171875j),(86.20582580566406+14.930112838745117j),(-15.605304718017578+254.36900329589844j)
10,1728463115244996,841,1443,0,1032,624,287,0,(139.45388793945312-222.30918884277344j),(60.6007080078125+404.746337890625j),(-215.6268310546875-184.90078735351562j),(-147.3197784423828-192.76251220703125j),(99.16545867919922+42.02809524536133j),(-57.12318420410156+248.0360565185547j)
11,1728463115245837,841,1244,0,1261,675,201,41,(185.80044555664062-180.3663330078125j),(2.5992307662963867+419.720703125j),(-201.95849609375-245.53799438476562j),(-115.79283142089844-230.5890350341797j),(109.25819396972656+72.78633117675781j),(-107.50038146972656+227.98118591308594j)
12,1728463115246678,841,984,0,1443,741,122,114,(231.7460174560547-124.63280487060547j),(-66.5180892944336+416.703369140625j),(-182.27838134765625-303.0409851074219j),(-72.04842376708984-258.0286560058594j),(115.0306396484375+106.17632293701172j),(-154.75363159179688+194.557373046875j)
13,1728463115247520,842,719,43,1616,762,50,215,(277.03521728515625-54.79801940917969j),(-141.63540649414062+393.4519958496094j),(-151.4849853515625-354.3213806152344j),(-19.472925186157227-272.3486633300781j),(115.10369873046875+140.76376342773438j),(-199.07098388671875+148.0797119140625j)
14,1728463115248362,842,517,178,1673,658,11,314,(316.3503112792969+28.034727096557617j),(-218.43821716308594+348.8011474609375j),(-109.55516815185547-396.17572021484375j),(40.732460021972656-271.0418701171875j),(107.268798828125+174.47195434570312j),(-236.69094848632812+89.88224792480469j)
15,1728463115249204,842,350,394,1731,653,0,420,(341.82196044921875+120.61459350585938j),(-294.510009765625+282.1918029785156j),(-52.42582702636719-424.19873046875j),(108.81112670898438-251.4473114013672j),(88.88369750976562+204.44297790527344j),(-264.52667236328125+22.173240661621094j)
16,1728463115250046,842,1478,68,840,840,578,5,(347.0523376464844+217.86180114746094j),(-366.32550048828125+193.98980712890625j),(16.932241439819336-434.6258544921875j),(174.93197631835938-213.44454956054688j),(59.74576950073242+227.66378784179688j),(-278.15570068359375-51.576168060302734j)
17,1728463115250888,842,1333,0,1072,933,437,0,(276.7471923828125+299.7013244628906j),(-405.09796142578125+92.28736877441406j),(131.13882446289062-414.81927490234375j),(227.35406494140625-160.05470275878906j),(-2.662627696990967+234.98143005371094j),(-255.4898681640625-121.8538818359375j)
18,1728463115251730,842,1163,0,1351,1015,306,65,(187.93772888183594+360.63140869140625j),(-415.1802978515625-15.70431137084961j),(236.04583740234375-366.2042236328125j),(262.843505859375-95.2721176147461j),(-64.71772003173828+225.9296112060547j),(-214.84368896484375-183.7196044921875j)
19,1728463115252571,841,969,0,1504,1064,205,180,(85.94180297851562+396.38116455078125j),(-396.96881103515625-122.62576293945312j),(322.1796875-292.7947082519531j),(278.465087890625-24.018468856811523j),(-122.59728240966797+201.04971313476562j),(-159.04725646972656-232.81712341308594j)
20,1728463115253413,842,753,73,1508,1053,90,414,(-21.911901473999023+404.49267578125j),(-351.70452880859375-221.1904754638672j),(387.1435241699219-199.3885955810547j),(274.8710632324219+48.785728454589844j),(-171.582275390625+162.16664123535156j),(-92.28367614746094-265.7573547363281j)
21,1728463115254255,842,589,226,1658,1037,36,383,(-127.66679382324219+384.5534362792969j),(-281.34527587890625-304.3794860839844j),(434.4118347167969-90.02197265625j),(253.361328125+118.39466857910156j),(-205.85623168945312+112.72825622558594j),(-21.20130729675293-280.8131408691406j)
22,1728463115255097,842,325,479,1705,986,0,608,(-227.03208923339844+337.28594970703125j),(-191.57080078125-366.44805908203125j),(441.9028015136719+25.209903717041016j),(213.1195526123047+179.6763916015625j),(-229.06448364257812+55.32723617553711j),(61.65892028808594-274.19769287109375j)
