timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464632897108000,2416,158,1120,2298,448,463
1728464632897950000,2288,0,1576,2338,282,778
1728464632898792000,1824,0,1892,2286,146,1072
1728464632899634000,1539,0,2084,1866,0,1296
1728464632900476000,1224,37,2510,1604,0,1521
1728464632901318000,907,229,2613,1301,0,1748
1728464632902160000,610,493,2664,1018,65,1934
1728464632903003000,331,769,2656,784,247,2076
1728464632903846000,107,1109,2571,581,466,2358
1728464632904688000,0,1428,2436,381,719,2331
1728464632905530000,0,1733,1958,199,933,2079
1728464632906372000,0,2006,1647,50,1127,1871
1728464632907214000,18,2624,1280,5,1302,1546
1728464632908056000,220,2905,930,0,1473,1252
1728464632908898000,476,2997,608,41,1649,981
1728464632909741000,802,2880,332,194,1730,766
1728464632910583000,1111,2648,97,461,1777,546
1728464632911426000,1445,2276,10,754,1749,320
1728464632912269000,1728,1833,0,1031,1649,144
1728464632913111000,1978,1542,1,1250,1454,18
1728464632913953000,2374,1218,79,1457,1216,4
1728464632914795000,2481,880,272,1653,986,0
1728464632915638000,2528,576,555,1836,761,64
1728464632916481000,2496,322,873,2248,572,277
1728464632917324000,2313,109,1237,2360,377,586
1728464632918166000,2060,11,1587,2375,207,881
1728464632919008000,1735,0,1888,2232,66,1121
1728464632919850000,1450,0,2156,1802,0,1371
1728464632920692000,1147,78,2552,1526,0,1592
1728464632921534000,821,296,2635,1234,0,1795
1728464632922377000,525,555,2661,953,114,1974
1728464632923219000,402,2912,705,0,1760,1482
1728464632924061000,677,2887,404,0,1915,1153
1728464632924904000,1007,2715,210,235,2019,872
1728464632925746000,1331,2407,56,533,2093,610
1728464632926588000,1632,1932,82,853,2092,370
1728464632927431000,1888,1662,41,1170,1914,231
1728464632928273000,2330,1306,0,1418,1689,74
1728464632929115000,2456,979,197,1674,1448,0
1728464632929957000,2508,641,455,1911,1165,0
1728464632930799000,2505,372,778,2368,901,64
1728464632931642000,2422,145,1122,2510,669,330
1728464632932484000,2303,0,1478,2616,437,654
1728464632933327000,1832,5,1807,2624,242,962
1728464632934169000,1557,1,2099,2499,79,1291
1728464632935011000,1240,34,2511,2276,0,1567
1728464632935853000,918,210,2611,1722,4,1856
1728464632936695000,651,521,2656,1364,37,2072
1728464632937557000,346,661,2647,1057,202,2418
1728464632938400000,101,1024,2596,815,417,2520
1728464632939243000,0,1417,2455,576,644,2574
