timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464138043335000,1334,2402,0,0,813,653
1728464138044177000,1632,1916,1,26,871,488
1728464138045019000,1910,1648,16,106,908,351
1728464138045861000,2342,1335,23,242,922,225
1728464138046703000,2480,988,205,412,911,117
1728464138047546000,2523,651,466,583,837,36
1728464138048388000,2502,369,786,724,754,0
1728464138049230000,2432,146,1103,840,625,5
1728464138050072000,2313,0,1447,925,449,0
1728464138050914000,1955,0,1810,1046,320,36
1728464138051756000,1661,0,2127,1109,209,129
1728464138052598000,1237,45,2509,1124,146,274
1728464138053440000,920,218,2624,1111,78,448
1728464138054282000,605,480,2665,1047,4,618
1728464138055124000,324,767,2657,941,0,762
1728464138055966000,103,1100,2572,810,0,881
1728464138056808000,0,1416,2442,642,0,974
1728464138057650000,0,1719,1976,466,58,1051
1728464138058492000,0,1987,1668,333,154,1106
1728464138059334000,26,2529,1327,210,267,1134
1728464138060176000,204,2789,1003,106,424,1101
1728464138061019000,480,2952,690,29,586,1043
1728464138061861000,767,2855,277,0,634,1008
1728464138062703000,1090,2641,93,0,752,784
1728464138063545000,1424,2294,10,0,821,621
1728464138064387000,1713,1853,9,38,893,441
1728464138065229000,1973,1551,0,155,917,313
1728464138066071000,2380,1237,70,273,917,196
1728464138066914000,2487,909,272,457,890,101
1728464138067757000,2534,590,540,615,833,14
1728464138068598000,2491,286,846,751,719,0
1728464138069440000,1394,2400,0,0,1216,928
1728464138070282000,1704,1922,0,21,1318,655
1728464138071124000,1901,1731,0,178,1377,473
1728464138071966000,2345,1313,31,373,1409,344
1728464138072809000,2464,974,206,616,1378,196
1728464138073651000,2510,647,466,869,1280,66
1728464138074494000,2499,352,765,1080,1147,0
1728464138075336000,2420,133,1105,1233,967,2
1728464138076178000,2279,0,1451,1376,746,0
1728464138077020000,1833,0,1797,1515,551,58
1728464138077862000,1544,0,2104,1607,383,226
1728464138078704000,1231,51,2522,1672,248,434
1728464138079546000,811,228,2601,1703,114,719
1728464138080389000,538,458,2692,1605,8,934
1728464138081231000,258,765,2639,1371,0,1133
1728464138082073000,93,1103,2564,1196,0,1319
1728464138082915000,0,1431,2448,960,0,1460
1728464138083864000,0,1727,1962,709,101,1574
1728464138084706000,0,2002,1643,508,255,1647
1728464138085548000,45,2552,1310,346,423,1685
1728464138086391000,229,2816,1020,202,634,1661
1728464138087234000,489,2927,601,84,832,1623
1728464138088077000,798,2850,304,0,1007,1390
1728464138088919000,1106,2634,78,0,1136,1172
1728464138089761000,1462,2255,0,0,1234,851
1728464138090603000,1771,1857,0,50,1336,603
1728464138091445000,1984,1669,0,235,1415,412
1728464138092287000,2392,1228,81,440,1398,297
1728464138093130000,2481,871,282,692,1343,159
1728464138093973000,2521,576,552,933,1244,53
1728464138094815000,2481,285,866,1121,1109,0
1728464138095657000,2384,82,1197,1284,917,0
1728464138096498000,2087,9,1550,1412,690,0
1728464138097222000,1760,0,1895,1543,506,98
1728464138098064000,1465,2,2151,1625,349,267
1728464138098906000,1151,79,2552,1674,197,490
1728464138099749000,724,282,2664,1685,85,789
1728464138100591000,480,564,2664,1486,1,982
1728464138101433000,207,857,2631,1329,0,1189
1728464138102275000,42,1186,2539,1135,0,1361
1728464138103116000,0,1504,2202,885,13,1493
1728464138103958000,0,1803,1880,654,144,1590
1728464138104800000,0,2047,1567,466,292,1659
1728464138105642000,87,2626,1218,306,466,1684
1728464138106485000,282,2855,861,167,688,1712
1728464138107328000,567,2915,517,52,882,1567
1728464138108171000,870,2813,245,0,1038,1328
