timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728463307418575000,0,1189,1288,1,510,522
1728463307419416000,0,1358,1077,0,568,418
1728463307420258000,50,1504,851,16,594,309
1728463307421100000,188,1602,621,90,620,202
1728463307421942000,354,1632,429,165,624,135
1728463307422784000,565,1600,233,264,597,50
1728463307423626000,782,1518,75,366,552,0
1728463307424467000,983,1395,0,454,489,0
1728463307425308000,1175,1223,1,543,404,0
1728463307426149000,1411,1001,0,685,306,0
1728463307426991000,1397,790,82,706,226,77
1728463307427833000,1523,576,201,623,136,71
1728463307428675000,1600,381,417,704,93,192
1728463307429517000,1563,204,622,690,29,296
1728463307430359000,1479,68,864,650,0,401
1728463307431200000,1332,0,1095,584,0,490
1728463307432042000,1163,5,1302,501,0,577
1728463307432883000,951,0,1455,395,2,714
1728463307433725000,744,82,1600,293,47,738
1728463307434567000,535,284,1697,207,100,708
1728463307435410000,338,380,1720,128,238,722
1728463307436252000,185,545,1683,69,310,699
1728463307437094000,0,1099,1427,106,399,869
1728463307438777000,0,1439,972,4,577,647
1728463307439619000,106,1556,740,0,647,523
1728463307440461000,265,1624,525,18,692,397
1728463307441303000,442,1628,320,89,736,286
1728463307442145000,654,1579,192,178,747,214
1728463307442987000,875,1466,5,295,719,123
1728463307443829000,1082,1310,0,410,676,13
1728463307444670000,1259,1124,0,518,597,0
1728463307445511000,1428,1013,0,595,491,0
1728463307446353000,1557,754,122,711,386,0
1728463307447195000,1554,397,290,754,352,25
1728463307448037000,1600,287,503,820,218,106
1728463307448879000,1529,133,730,839,126,220
1728463307449722000,1407,18,967,832,53,325
1728463307450564000,1258,0,1178,795,9,454
1728463307451405000,1067,0,1376,708,0,559
1728463307452246000,839,18,1560,610,0,667
1728463307453088000,634,139,1666,509,0,744
1728463307453930000,434,309,1731,382,53,810
1728463307454772000,253,502,1734,277,143,874
1728463307455615000,96,697,1569,186,224,956
1728463307456457000,37,948,1485,96,343,767
1728463307457299000,0,1242,1326,34,434,757
1728463307458141000,0,1326,1154,0,510,719
1728463307458982000,13,1475,917,0,588,608
1728463307459694000,138,1573,687,0,664,489
1728463307460536000,314,1633,466,28,719,373
1728463307461378000,500,1624,272,119,736,261
1728463307462220000,772,1546,122,222,736,168
1728463307463062000,905,1437,0,358,711,85
1728463307463904000,1109,1266,0,455,650,10
1728463307464745000,1290,1083,0,514,576,0
1728463307465587000,1409,861,41,581,469,0
1728463307466429000,1515,654,175,682,365,21
1728463307467271000,1578,470,357,765,269,53
1728463307468113000,1581,250,565,832,193,125
1728463307468955000,1502,93,790,847,114,242
1728463307469797000,1377,0,1026,816,34,370
1728463307470639000,1212,0,1243,774,0,481
1728463307471480000,1016,1,1426,692,0,592
1728463307472321000,797,47,1575,585,0,668
1728463307473243000,597,181,1678,476,10,765
1728463307474085000,383,320,1714,362,66,828
1728463307474928000,207,534,1726,252,129,874
1728463307475771000,132,766,1637,184,225,883
1728463307476614000,0,985,1509,122,359,850
1728463307477456000,0,1183,1313,42,452,791
1728463307478297000,0,1362,1089,0,535,691
1728463307479139000,43,1504,868,0,610,577
1728463307479981000,186,1600,626,0,674,459
1728463307480823000,353,1636,423,52,725,342
1728463307481665000,557,1613,229,139,748,234
1728463307482507000,788,1530,65,237,736,122
1728463307483349000,977,1475,0,352,704,41
1728463307484190000,1177,1281,0,462,639,2
1728463307485031000,1354,1106,0,581,567,0
1728463307485873000,1510,874,58,628,494,0
1728463307486593000,1541,511,209,741,413,0
1728463307487435000,1600,376,394,802,241,53
1728463307488277000,1567,215,613,832,168,170
1728463307489119000,1484,74,845,844,106,269
1728463307489961000,1344,0,1073,823,29,394
1728463307490803000,1166,0,1283,754,0,510
1728463307491644000,965,0,1472,663,0,617
1728463307492486000,750,87,1616,552,0,708
1728463307493328000,530,216,1703,434,26,786
1728463307494170000,354,399,1726,336,96,853
1728463307495012000,188,610,1602,226,165,961
1728463307495854000,81,842,1547,143,278,798
1728463307496696000,0,1016,1405,68,373,767
1728463307497538000,0,1240,1250,8,477,766
1728463307498379000,0,1405,1035,0,545,660
1728463307499221000,74,1527,809,0,621,549
1728463307500252000,228,1606,568,4,692,429
1728463307501094000,404,1644,365,64,727,324
1728463307501936000,656,1597,189,162,743,203
1728463307502779000,797,1485,42,313,732,118
1728463307503621000,1022,1358,0,366,674,42
1728463307504463000,1216,1176,0,469,616,0
1728463307505304000,1344,973,0,543,509,0
1728463307506146000,1495,796,114,661,425,0
1728463307506988000,1570,553,253,730,320,1
1728463307507830000,1600,333,457,811,226,81
1728463307508672000,1546,166,677,843,154,194
1728463307509514000,1449,42,910,837,77,313
1728463307510356000,1300,0,1129,802,5,425
1728463307511197000,1111,0,1344,743,0,533
1728463307512038000,905,0,1496,641,0,641
1728463307512880000,701,104,1634,534,0,728
1728463307513541000,495,253,1709,413,32,799
1728463307514383000,301,436,1730,306,90,850
1728463307515226000,205,653,1683,218,183,879
1728463307516068000,0,864,1592,178,282,894
1728463307516910000,0,1074,1376,0,395,809
1728463307517752000,0,1274,1195,0,496,744
1728463307518593000,2,1433,973,0,581,636
1728463307519434000,110,1557,752,0,639,521
1728463307520276000,276,1629,521,18,696,398
1728463307521118000,458,1632,322,90,737,290
1728463307521960000,660,1574,121,185,746,246
1728463307522803000,875,1466,11,298,724,72
1728463307523645000,1077,1387,0,417,672,21
1728463307524487000,1267,1168,0,514,597,0
1728463307525328000,1406,999,0,634,522,0
1728463307526170000,1565,743,122,680,459,0
1728463307527027000,1576,417,308,782,354,21
1728463307527869000,1587,282,504,832,212,117
1728463307528711000,1530,132,738,835,130,225
1728463307529554000,1417,23,967,834,64,343
1728463307530396000,1250,0,1192,790,4,453
1728463307531237000,1074,0,1388,716,2,562
1728463307532079000,834,36,1550,612,0,670
1728463307532920000,623,133,1672,487,0,746
1728463307533762000,429,314,1731,386,49,824
1728463307534604000,220,506,1716,267,139,864
1728463307535447000,82,709,1556,175,228,954
1728463307536289000,33,945,1493,101,337,789
1728463307537131000,0,1251,1327,56,462,761
1728463307537973000,0,1336,1138,0,516,728
1728463307538814000,29,1482,914,0,588,603
1728463307539656000,151,1585,679,0,671,485
1728463307540502000,320,1637,465,42,717,373
1728463307541344000,513,1632,276,114,739,258
1728463307542186000,762,1549,109,218,732,170
1728463307543028000,921,1425,0,354,717,73
1728463307543870000,1118,1269,0,432,644,10
1728463307544711000,1304,1067,0,538,564,0
1728463307545552000,1422,860,36,592,476,13
1728463307546394000,1529,690,189,694,370,0
1728463307547236000,1584,417,455,765,308,73
1728463307548078000,1576,249,576,832,186,128
1728463307548920000,1504,87,794,846,116,248
1728463307549762000,1378,0,1030,821,37,376
1728463307550603000,1214,5,1248,770,0,490
