timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464378653512000,1082,2692,100,503,893,14
1728464378654354000,1390,2336,5,648,800,0
1728464378655196000,1706,1866,1,802,687,0
1728464378656037000,1969,1576,0,897,533,0
1728464378656879000,2373,1269,66,980,399,34
1728464378657721000,2480,927,263,1042,278,144
1728464378658564000,2531,608,528,1082,170,262
1728464378659406000,2489,327,914,1084,89,434
1728464378660248000,2403,114,1176,1023,17,676
1728464378661090000,2184,26,1506,936,0,786
1728464378661932000,1789,0,1837,819,0,897
1728464378662774000,1483,0,2053,649,0,1049
1728464378663616000,1155,79,2496,476,64,1103
1728464378664458000,872,290,2599,343,154,1153
1728464378665300000,551,530,2678,226,271,1130
1728464378666143000,269,831,2648,138,421,1121
1728464378666985000,69,1168,2560,50,564,1067
1728464378667826000,0,1477,2268,5,666,949
1728464378668668000,0,1768,1913,2,776,811
1728464378669510000,0,2037,1584,5,865,633
1728464378670352000,85,2596,1242,39,922,467
1728464378671195000,293,2825,895,133,965,331
1728464378672038000,559,2927,556,270,1002,206
1728464378672881000,876,2823,276,418,857,93
1728464378673723000,1194,2578,73,568,832,18
1728464378674565000,1486,2107,18,704,747,0
1728464378675407000,1769,1791,5,828,650,0
1728464378676249000,2019,1506,0,920,504,0
1728464378677091000,2411,1179,106,1001,360,53
1728464378677933000,2490,844,329,1058,245,170
1728464378678775000,2528,530,611,1088,149,314
1728464378679617000,207,966,2610,345,320,1340
1728464378680459000,13,1288,2499,224,450,1319
1728464378681301000,0,1592,2100,105,610,1262
1728464378682143000,0,1888,1798,18,741,1168
1728464378682985000,5,2350,1461,0,835,936
1728464378683827000,138,2765,1111,0,961,772
1728464378684669000,349,2994,760,33,1090,600
1728464378685511000,639,2941,465,121,1128,473
1728464378686354000,963,2759,192,277,1148,321
1728464378687196000,1294,2460,13,456,1122,184
1728464378688038000,1586,1966,4,618,1048,58
1728464378688880000,1860,1687,0,765,933,0
1728464378689722000,2300,1353,0,903,780,0
1728464378690564000,2438,1018,169,1048,632,0
1728464378691406000,2508,697,413,1164,489,47
1728464378692249000,2517,422,713,1249,335,165
1728464378693091000,2480,159,1050,1282,194,321
1728464378693959000,2420,0,1408,1298,85,503
1728464378694801000,1984,0,1763,1248,4,677
1728464378695643000,1605,0,2032,1123,0,845
1728464378696484000,1299,0,2471,962,0,984
1728464378697326000,990,188,2600,785,0,1131
1728464378698168000,658,426,2671,613,74,1248
1728464378699010000,378,718,2664,448,189,1326
1728464378699853000,107,1033,2593,361,341,1349
1728464378700695000,0,1368,2472,210,494,1334
1728464378701537000,0,1664,2024,100,638,1251
1728464378702379000,0,1946,1732,23,773,1133
1728464378703221000,0,2469,1415,9,887,961
1728464378704063000,158,2755,1061,18,998,748
1728464378704905000,389,2903,684,11,1081,583
1728464378705748000,727,2912,386,155,1133,435
1728464378706590000,1043,2712,136,314,1146,286
1728464378707439000,1376,2380,0,484,1111,154
1728464378708281000,1663,1898,0,660,1013,39
1728464378709123000,1923,1608,0,810,896,0
1728464378709965000,2350,1307,28,942,757,4
1728464378710807000,2468,961,225,1068,595,0
1728464378711649000,2517,645,493,1175,453,73
1728464378712492000,2520,360,806,1256,330,247
1728464378713335000,2424,113,1071,1296,217,434
1728464378714177000,2312,13,1454,1274,105,608
1728464378715019000,1841,10,1798,1207,4,659
1728464378715861000,1523,2,2124,1088,0,878
1728464378716702000,1216,43,2516,922,0,1025
1728464378717544000,901,242,2628,729,14,1163
1728464378718386000,586,505,2675,568,105,1272
1728464378719229000,312,799,2636,409,238,1331
1728464378720071000,96,1170,2568,285,393,1334
1728464378720897000,0,1474,2400,168,604,1307
1728464378721739000,0,1764,1943,64,675,1217
1728464378722580000,0,2063,1635,0,864,1068
1728464378723422000,58,2608,1293,0,1001,895
1728464378724264000,232,2766,930,0,1103,719
1728464378725106000,503,2931,605,71,1124,537
1728464378725949000,809,2873,320,196,1149,393
1728464378726792000,1136,2639,84,360,1145,245
1728464378727634000,1465,2225,5,537,1100,121
1728464378728476000,1735,1826,5,706,992,26
1728464378729318000,1995,1533,10,846,858,0
1728464378730160000,2393,1217,79,975,697,0
1728464378731002000,2496,866,309,1105,553,0
1728464378731844000,2519,569,565,1218,405,90
1728464378732687000,2436,293,917,1313,287,269
1728464378733529000,2359,84,1259,1333,156,418
1728464378734311000,2057,0,1610,1203,56,586
1728464378735153000,1735,1,1899,1189,0,773
1728464378735994000,1451,0,2168,1049,0,919
1728464378736836000,1130,98,2555,872,0,1071
1728464378737678000,810,306,2642,684,42,1198
1728464378738521000,513,576,2673,529,130,1284
1728464378739364000,246,882,2639,378,279,1344
1728464378740206000,42,1224,2539,244,426,1359
1728464378741048000,0,1524,2167,133,588,1289
1728464378741890000,0,1810,1907,49,715,1196
1728464378742732000,0,2063,1620,0,874,1035
1728464378743574000,84,2663,1259,0,970,879
1728464378744416000,302,2899,896,0,1047,757
1728464378745258000,583,2935,520,100,1111,503
1728464378746100000,901,2812,250,245,1154,354
1728464378746942000,1225,2543,42,412,1129,226
1728464378747790000,1531,2007,10,586,1074,89
1728464378748632000,1804,1745,0,748,967,6
1728464378749474000,2051,1450,0,884,813,0
1728464378750316000,2415,1125,132,1019,664,0
1728464378751158000,2520,778,366,1146,517,21
1728464378752000000,2528,482,646,1248,377,119
1728464378752843000,2496,258,967,1275,338,266
1728464378753686000,2349,0,1323,1317,202,465
1728464378754528000,1920,0,1663,1264,101,644
1728464378755370000,1664,2,1977,1154,0,814
1728464378756212000,1365,0,2305,997,0,961
