timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728462775295534000,738,378,21,322,200,0
1728462775296375000,784,324,105,354,149,0
1728462775297217000,789,72,196,354,173,21
1728462775298059000,794,34,311,423,74,57
1728462775298901000,741,0,429,402,10,132
1728462775299742000,653,0,535,383,5,194
1728462775300583000,552,0,641,349,0,246
1728462775301424000,460,0,730,306,0,297
1728462775302265000,346,41,801,249,0,343
1728462775303107000,245,114,848,192,0,382
1728462775303949000,145,197,839,125,26,409
1728462775304791000,53,320,827,89,79,430
1728462775305633000,313,64,796,383,0,343
1728462775306475000,216,138,846,313,0,459
1728462775307317000,117,233,845,240,18,505
1728462775308159000,42,346,814,170,64,528
1728462775309001000,0,463,760,117,128,533
1728462775309842000,0,555,663,56,189,525
1728462775310683000,0,650,569,16,242,493
1728462775311524000,5,720,455,0,305,430
1728462775312365000,69,778,325,0,360,375
1728462775313206000,106,794,224,0,389,320
1728462775314047000,165,796,151,47,410,226
1728462775314889000,303,778,26,13,437,173
1728462775315731000,423,744,0,96,448,85
1728462775316572000,541,629,0,188,431,49
1728462775317413000,645,529,0,258,397,2
1728462775318254000,719,423,5,323,354,0
1728462775319095000,760,314,66,383,293,0
1728462775319936000,786,210,154,441,234,0
1728462775320778000,779,122,253,482,170,13
1728462775321620000,742,117,372,513,121,55
1728462775321694000,674,23,494,521,87,142
1728462775322535000,602,0,584,504,79,188
1728462775323376000,500,0,683,481,71,261
1728462775324217000,408,0,760,448,26,352
1728462775325058000,289,64,826,357,0,418
1728462775325899000,192,164,853,290,0,471
1728462775326741000,93,270,846,226,34,505
1728462775327582000,21,375,806,160,82,542
1728462775328424000,0,472,724,98,146,532
1728462775329265000,0,578,634,42,207,517
1728462775330106000,0,669,522,0,261,480
1728462775330947000,20,746,421,0,320,431
1728462775331788000,87,792,312,0,360,370
1728462775332629000,148,811,286,0,398,286
1728462775333470000,255,815,178,10,485,228
1728462775334312000,370,750,0,66,436,237
1728462775335313000,469,682,0,137,453,97
1728462775336154000,576,599,0,209,430,33
1728462775336995000,657,510,0,264,386,0
1728462775337836000,728,397,21,335,338,0
1728462775338677000,774,286,93,394,276,0
1728462775339518000,789,242,185,450,209,0
1728462775340360000,765,69,287,485,196,20
1728462775341202000,732,5,405,519,105,82
1728462775342043000,661,0,517,523,40,149
1728462775342884000,581,0,625,509,0,218
1728462775343725000,594,0,752,477,0,299
1728462775344566000,448,5,817,405,0,367
1728462775345407000,256,103,834,346,0,436
1728462775346248000,174,194,852,282,2,480
1728462775347090000,85,290,837,213,52,520
1728462775347932000,17,393,785,154,94,533
1728462775348553000,0,508,709,79,157,535
1728462775349394000,0,605,626,26,221,513
1728462775350235000,0,690,522,0,266,469
1728462775351076000,29,769,398,0,322,421
1728462775351917000,102,802,285,0,373,341
1728462775352758000,250,839,141,0,434,308
1728462775353600000,271,828,64,42,440,151
1728462775354442000,434,813,8,85,450,100
1728462775355283000,496,668,0,146,440,72
1728462775356124000,599,590,0,224,416,25
1728462775356965000,679,491,0,287,369,0
1728462775357806000,746,367,37,359,332,0
1728462775358647000,773,269,114,413,266,0
1728462775359489000,846,154,214,468,194,2
1728462775360331000,736,77,307,538,146,46
1728462775361173000,706,17,429,501,85,110
1728462775362016000,642,0,546,512,37,171
1728462775362857000,533,49,677,473,0,245
1728462775363698000,429,34,744,442,0,287
1728462775364540000,344,10,904,394,18,394
1728462775365382000,237,109,837,341,0,437
1728462775366224000,146,217,850,260,16,493
1728462775367066000,59,320,826,192,47,522
1728462775367908000,0,432,773,129,111,538
1728462775368749000,0,537,695,69,166,535
1728462775369590000,0,630,600,21,239,500
1728462775370431000,0,698,488,0,289,448
1728462775371272000,43,765,354,0,341,376
1728462775372113000,117,791,245,0,388,320
1728462775372954000,335,767,186,10,380,253
1728462775373796000,373,777,64,27,437,192
1728462775374638000,334,729,23,154,448,154
1728462775375487000,538,648,0,183,442,57
1728462775376328000,618,554,0,243,410,13
1728462775377169000,698,457,0,307,367,0
1728462775378010000,753,342,50,370,316,0
1728462775378851000,786,240,130,422,246,0
1728462775379692000,777,143,257,471,181,11
1728462775380534000,753,64,394,501,133,49
1728462775381376000,697,0,448,520,77,165
1728462775382217000,626,0,561,523,36,208
1728462775383058000,589,4,617,476,0,169
1728462775383899000,464,0,717,436,0,257
1728462775384740000,290,165,807,386,0,356
1728462775385582000,218,145,847,320,0,449
1728462775386424000,121,239,847,242,18,496
1728462775387266000,36,341,822,181,64,530
1728462775388107000,0,448,751,119,128,530
1728462775388951000,0,562,670,50,185,525
1728462775389792000,0,655,576,17,242,493
1728462775390633000,9,729,463,0,289,441
1728462775391474000,31,778,343,0,333,394
