timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728463846230173000,0,1190,1290,0,722,794
1728463846231014000,0,1382,1074,0,810,644
1728463846231856000,64,1510,850,32,858,468
1728463846232699000,185,1600,622,136,885,324
1728463846233541000,370,1636,407,253,897,205
1728463846234384000,551,1615,217,404,866,90
1728463846235226000,772,1518,66,562,806,16
1728463846236068000,983,1381,18,690,704,0
1728463846236909000,1186,1218,2,804,594,0
1728463846237750000,1344,1001,105,901,497,2
1728463846238592000,1472,814,154,985,356,55
1728463846239434000,1565,576,165,1029,230,243
1728463846240276000,1598,378,425,1070,133,298
1728463846241118000,1553,195,642,1053,50,460
1728463846241960000,1472,58,858,988,8,618
1728463846242802000,1335,10,1090,890,0,762
1728463846243644000,1154,2,1309,756,0,872
1728463846244485000,925,0,1487,609,4,968
1728463846245327000,741,82,1615,448,57,1055
1728463846246169000,532,224,1712,320,173,1100
1728463846247011000,322,404,1738,205,284,1122
1728463846247853000,69,608,1711,148,415,1123
1728463846248695000,0,842,1600,29,542,994
1728463846249537000,0,1047,1412,0,641,889
1728463846250378000,0,1239,1233,1,746,752
1728463846251219000,0,1422,1010,0,828,602
1728463846252061000,1475,71,832,1186,106,469
1728463846253745000,1172,0,1279,1022,10,780
1728463846254587000,978,0,1464,875,0,920
1728463846255429000,765,64,1608,712,0,1035
1728463846256271000,672,194,1733,557,17,1135
1728463846257113000,418,365,1714,415,149,1218
1728463846257955000,106,581,1716,306,279,1278
1728463846258797000,39,820,1592,169,429,1228
1728463846259639000,0,1035,1442,73,570,1152
1728463846260480000,0,1220,1257,0,681,1029
1728463846261321000,0,1392,1034,0,773,865
1728463846262163000,68,1525,808,0,871,700
1728463846263005000,203,1604,576,39,946,535
1728463846263848000,394,1634,368,148,986,376
1728463846264690000,589,1588,176,297,981,248
1728463846265533000,820,1512,48,434,971,138
1728463846266375000,993,1476,0,633,917,0
1728463846267217000,1188,1287,0,775,797,0
1728463846268059000,1368,1069,0,913,687,0
1728463846268901000,1509,769,96,997,515,0
1728463846269743000,1575,542,259,1077,390,64
1728463846270585000,1592,352,439,1153,276,185
1728463846271427000,1555,175,665,1191,165,335
1728463846272270000,1450,42,891,1179,79,502
1728463846273112000,1331,0,1113,1111,14,682
1728463846273953000,1170,0,1336,1026,0,828
1728463846274795000,890,0,1495,864,0,952
1728463846275637000,693,96,1631,693,0,1064
1728463846276479000,448,253,1728,457,74,1147
1728463846277322000,283,452,1719,325,199,1253
1728463846278164000,132,695,1653,221,335,1222
1728463846279006000,16,864,1564,139,455,1200
1728463846279848000,0,1074,1401,53,597,1116
1728463846280689000,0,1263,1194,0,710,981
1728463846281531000,0,1434,971,0,811,824
1728463846282373000,114,1551,752,0,886,650
1728463846283215000,264,1618,517,64,962,490
1728463846284058000,453,1634,320,181,994,350
1728463846284944000,665,1583,151,338,994,206
1728463846285787000,871,1461,10,503,960,101
1728463846286629000,1116,1287,0,677,793,15
1728463846287471000,1295,1093,0,797,697,0
1728463846288312000,1433,889,21,899,565,4
1728463846289154000,1536,707,133,1023,490,0
1728463846289996000,1596,493,293,1107,348,81
1728463846290838000,1594,297,498,1171,249,224
1728463846291680000,1529,136,728,1189,136,390
1728463846292522000,1415,18,963,1168,56,546
1728463846293364000,1244,0,1186,1070,2,722
1728463846294205000,1061,2,1376,938,0,865
1728463846295047000,854,23,1539,782,0,986
1728463846295889000,639,136,1657,626,13,1089
1728463846296731000,437,266,1810,459,139,1208
1728463846297574000,263,493,1618,322,206,1324
1728463846298307000,128,722,1607,205,378,1301
1728463846299149000,2,925,1516,106,509,1196
1728463846299991000,0,1127,1358,41,617,1089
1728463846300832000,0,1315,1156,0,736,946
1728463846301673000,18,1464,924,0,832,784
1728463846302515000,145,1574,686,0,919,615
1728463846303357000,322,1632,469,79,960,442
1728463846304200000,505,1602,266,225,974,303
1728463846305043000,719,1565,122,376,983,194
1728463846305885000,926,1446,4,536,934,78
1728463846306727000,1109,1269,0,756,833,18
1728463846307569000,1212,1065,0,883,705,39
1728463846308411000,1366,870,33,989,569,38
1728463846309253000,1539,644,177,1045,448,13
1728463846310095000,1600,435,345,1130,328,116
1728463846310937000,1593,253,557,1181,226,255
1728463846311846000,1507,100,775,1203,128,436
1728463846312688000,1383,0,1026,1143,34,602
1728463846313529000,1212,4,1266,1047,0,755
1728463846314371000,1014,0,1487,906,0,899
1728463846315213000,804,50,1552,743,0,1066
1728463846316055000,591,173,1664,586,28,1132
1728463846316897000,448,356,1687,420,130,1111
1728463846317739000,202,669,1678,320,285,1202
1728463846318581000,122,826,1604,183,481,1207
1728463846319423000,0,978,1479,93,532,1162
1728463846320265000,0,1185,1296,4,658,1055
1728463846321106000,0,1363,1081,0,756,910
1728463846321948000,42,1511,862,0,852,730
1728463846322790000,186,1600,626,20,940,565
1728463846323632000,361,1640,417,126,970,420
1728463846324475000,520,1616,229,267,996,281
1728463846325275000,762,1522,70,414,968,158
1728463846326118000,982,1402,0,586,920,50
1728463846326960000,1157,1280,11,717,807,0
1728463846327802000,1336,1061,0,842,682,0
1728463846328644000,1483,802,103,960,547,0
1728463846329486000,1570,585,223,1073,414,32
1728463846330328000,1600,388,404,1146,293,154
1728463846331170000,1567,209,628,1203,184,298
1728463846332013000,1475,64,860,1188,102,477
1728463846332855000,1346,0,1078,1120,25,656
1728463846333697000,1169,50,1282,1008,0,773
1728463846334539000,962,71,1462,865,0,906
1728463846335381000,756,104,1606,700,0,1033
1728463846336223000,537,207,1701,538,81,1143
1728463846337066000,367,362,1717,388,90,1197
1728463846337909000,300,597,1728,274,265,1228
1728463846338755000,109,825,1573,197,414,1223
1728463846339597000,0,1037,1455,66,562,1143
1728463846340438000,0,1239,1242,0,687,1024
1728463846341279000,0,1400,1025,0,788,857
1728463846342121000,83,1537,796,0,865,692
1728463846342963000,211,1611,576,39,944,523
1728463846343806000,402,1638,370,141,977,366
1728463846344649000,608,1596,184,303,1004,245
1728463846345492000,816,1504,33,453,960,130
1728463846346334000,1039,1356,0,631,882,26
1728463846347175000,1241,1176,0,757,810,43
1728463846348017000,1434,996,0,876,660,50
1728463846348859000,1555,772,92,992,497,0
1728463846349701000,1574,542,266,1096,378,53
1728463846350543000,1595,329,458,1163,274,192
1728463846351385000,1547,169,677,1193,157,348
1728463846352239000,1439,47,919,1172,74,517
1728463846353081000,1307,2,1130,1102,26,682
1728463846353922000,1115,0,1336,969,0,832
1728463846354764000,975,2,1516,821,0,953
1728463846355606000,741,101,1643,663,0,1071
1728463846356448000,474,258,1720,546,79,1161
1728463846357291000,233,458,1723,294,185,1194
1728463846358133000,92,661,1656,199,325,1265
1728463846358975000,4,922,1560,112,459,1176
1728463846359817000,0,1102,1390,53,600,1122
1728463846360658000,0,1279,1189,0,719,980
1728463846361499000,0,1441,960,0,810,818
1728463846362341000,121,1558,730,0,894,642
1728463846363183000,265,1628,517,69,960,482
1728463846364026000,471,1632,304,180,994,333
1728463846364868000,663,1575,137,352,992,184
1728463846365758000,890,1458,20,511,951,97
1728463846366600000,1093,1288,10,654,867,17
1728463846367441000,1296,1008,0,786,807,0
1728463846368283000,1405,806,20,917,688,0
1728463846369125000,1536,649,138,1048,512,0
1728463846369967000,1590,488,320,1102,341,92
1728463846370809000,1586,286,522,1172,238,230
1728463846371651000,1528,139,732,1192,149,399
1728463846372493000,1423,20,968,1158,55,558
1728463846373335000,1252,0,1191,1079,0,725
1728463846374176000,1036,0,1384,979,0,857
1728463846375018000,838,26,1549,805,0,992
1728463846375860000,628,154,1667,608,16,1099
1728463846376702000,425,305,1729,466,114,1181
1728463846377544000,250,516,1719,314,232,1219
1728463846378386000,85,750,1736,199,394,1240
1728463846379195000,0,933,1410,101,474,1285
1728463846380037000,0,1134,1352,25,626,1088
1728463846380879000,0,1326,1139,0,730,935
1728463846381721000,21,1480,919,2,832,766
1728463846382563000,146,1579,686,2,917,608
1728463846383405000,321,1638,466,97,968,451
1728463846384248000,522,1618,276,233,1006,301
1728463846385091000,704,1532,110,390,986,186
1728463846385934000,933,1439,10,548,921,64
1728463846386776000,1144,1269,0,699,837,1
1728463846387617000,1428,1054,4,823,673,0
1728463846388458000,1567,841,97,961,537,0
1728463846389300000,1615,634,186,1051,418,20
1728463846390142000,1600,435,360,1134,325,125
1728463846390984000,1583,258,576,1184,206,274
1728463846391826000,1501,101,802,1197,128,434
1728463846392674000,1382,0,1034,1148,37,610
1728463846393515000,1210,1,1242,1048,0,760
1728463846394356000,997,0,1431,893,0,893
1728463846395198000,794,55,1607,741,0,1022
1728463846396040000,589,188,1743,576,49,1127
1728463846396882000,382,359,1728,434,138,1231
1728463846397725000,253,586,1654,284,277,1265
1728463846398568000,64,802,1592,189,393,1173
1728463846399410000,0,1098,1464,106,555,1124
1728463846400251000,0,1184,1290,13,655,1054
1728463846401093000,0,1368,1077,0,765,901
1728463846401935000,57,1508,861,0,839,729
1728463846402777000,186,1607,626,23,936,569
1728463846403619000,370,1642,416,119,984,411
1728463846404462000,562,1606,228,279,983,250
1728463846405305000,740,1525,64,432,971,165
1728463846406156000,978,1408,0,593,903,64
1728463846406998000,1186,1224,1,737,813,0
1728463846407839000,1316,1013,0,809,668,0
1728463846408681000,1447,805,73,926,530,10
1728463846409523000,1546,649,253,1054,394,18
1728463846410365000,1600,378,405,1155,292,160
1728463846411207000,1567,202,624,1185,189,316
1728463846412049000,1472,68,857,1191,96,482
1728463846412891000,1336,0,1091,1128,23,649
1728463846413732000,1163,0,1300,1012,0,799
1728463846414574000,960,0,1456,856,0,960
1728463846415416000,746,83,1611,700,0,1034
1728463846416258000,529,298,1688,541,68,1128
1728463846417101000,340,434,1728,394,161,1203
1728463846417943000,142,537,1682,282,352,1240
1728463846418785000,50,785,1590,139,374,1198
1728463846419637000,93,1020,1465,81,530,1122
1728463846420479000,0,1240,1234,0,690,1018
1728463846421320000,0,1416,1010,0,798,860
1728463846422162000,82,1545,784,0,871,693
1728463846423004000,239,1614,563,48,960,517
1728463846423846000,416,1649,344,167,999,373
1728463846424688000,596,1607,188,301,981,234
1728463846425531000,832,1498,35,472,962,121
1728463846426373000,1047,1354,0,634,893,29
1728463846427215000,1226,1178,0,772,786,0
1728463846428057000,1383,997,58,882,642,0
