seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728462640208766,1728462640208766,755,165,331,397,154,0,(142.2906494140625+128.21392822265625j),(-148.99639892578125+15.346793174743652j),(6.007777214050293-153.0637969970703j),(92.73580169677734+21.788349151611328j),(-12.067075729370117+86.10777282714844j),(-104.18824768066406-64.6336898803711j)
1,1728462640209607,841,736,41,463,392,181,17,(88.03850555419922+156.32666015625j),(-153.36508178710938-25.205883026123047j),(64.21420288085938-141.2571563720703j),(89.12852478027344+46.438873291015625j),(-40.1402587890625+78.38977813720703j),(-73.20401000976562-86.52867126464844j)
2,1728462640210448,841,584,0,579,416,118,82,(25.30007553100586+168.6204071044922j),(-139.32147216796875-63.426124572753906j),(113.47755432128906-115.83395385742188j),(77.93597412109375+68.95994567871094j),(-66.3459701538086+63.377723693847656j),(-34.75115966796875-98.89262390136719j)
3,1728462640211289,841,528,0,677,402,23,129,(-36.34935760498047+164.8289031982422j),(-110.39065551757812-95.24263763427734j),(150.33685302734375-79.63749694824219j),(57.070003509521484+86.6844482421875j),(-85.23777770996094+42.7740478515625j),(5.873185634613037-100.80745697021484j)
4,1728462640212130,841,420,0,761,379,0,184,(-96.44621276855469+144.80075073242188j),(-70.83018493652344-117.58132934570312j),(171.82273864746094-36.40703582763672j),(29.429807662963867+97.62803649902344j),(-94.32979583740234+19.00736427307129j),(46.494319915771484-91.90544891357422j)
5,1728462640212971,841,320,57,813,351,0,245,(-147.46029663085938+110.39690399169922j),(-21.483182907104492-127.48554992675781j),(176.03482055664062+9.47705078125j),(-2.032836437225342+100.52728271484375j),(-95.95455169677734-6.033074855804443j),(82.62237548828125-73.00891876220703j)
6,1728462640213812,841,213,133,845,309,0,298,(-183.88754272460938+65.01876831054688j),(30.516624450683594-123.80584716796875j),(163.19680786132812+53.539817810058594j),(-35.18614196777344+94.6454086303711j),(-88.54771423339844-29.972183227539062j),(110.8175048828125-45.89093017578125j)
7,1728462640214653,841,126,234,842,244,0,345,(-203.02239990234375+12.91269588470459j),(80.9996109008789-106.46946716308594j),(134.4013671875+91.44123840332031j),(-66.65335845947266+80.12442016601562j),(-72.86302185058594-50.553077697753906j),(129.66485595703125-12.766195297241211j)
8,1728462640215494,841,11,344,832,199,4,386,(-204.5177459716797-41.432159423828125j),(124.55099487304688-76.85195922851562j),(88.44637298583984+118.36607360839844j),(-93.12905883789062+57.997047424316406j),(-51.138397216796875-66.03889465332031j),(140.5041046142578+24.431425094604492j)
9,1728462640216336,842,0,450,757,149,26,401,(-185.9803466796875-92.72701263427734j),(156.69900512695312-37.57563018798828j),(34.91526794433594+131.8970947265625j),(-112.77440643310547+29.82514762878418j),(-21.75908660888672-74.19882202148438j),(136.59742736816406+61.894439697265625j)
10,1728462640217178,842,25,373,789,286,13,517,(-150.29087829589844-136.2683868408203j),(175.37255859375+8.089784622192383j),(-21.66228485107422+130.74551391601562j),(-122.64781951904297-1.9861177206039429j),(9.254303932189941-74.33658599853516j),(115.92351531982422+95.13945770263672j)
11,1728462640218020,842,0,470,722,205,50,550,(-103.09925842285156-168.70077514648438j),(185.05198669433594+57.959693908691406j),(-79.35445404052734+114.09475708007812j),(-129.46527099609375-36.74629211425781j),(42.546844482421875-65.55850219726562j),(83.24443054199219+120.80088806152344j)
12,1728462640218861,841,0,576,626,128,106,565,(-44.25165557861328-186.50909423828125j),(176.50369262695312+107.29830932617188j),(-132.09942626953125+82.7236557006836j),(-123.79381561279297-71.21302032470703j),(72.67451477050781-48.3980827331543j),(40.85151290893555+136.0084228515625j)
13,1728462640219702,841,0,667,535,58,127,549,(21.70754623413086-187.2718963623047j),(148.91665649414062+150.9854736328125j),(-173.80081176757812+39.072044372558594j),(-105.89349365234375-102.09921264648438j),(96.52922821044922-24.240453720092773j),(-8.500306129455566+138.52862548828125j)
14,1728462640220543,841,143,728,458,28,189,517,(89.92308807373047-169.7833251953125j),(105.04624938964844+184.45872497558594j),(-199.5233612060547-13.011767387390137j),(-75.9002914428711-126.03831481933594j),(113.72112274169922+5.375918388366699j),(-59.03636169433594+127.59663391113281j)
15,1728462640226437,5894,657,505,0,170,461,69,(148.8328094482422-135.8929901123047j),(47.60792541503906+203.72222900390625j),(-207.7901611328125-69.14797973632812j),(-37.03046798706055-140.40673828125j),(119.84465026855469+37.67783737182617j),(-106.79190063476562+103.48295593261719j)
16,1728462640227279,842,728,382,10,256,442,42,(182.91758728027344-91.67415618896484j),(-8.673322677612305+208.5847625732422j),(-182.81307983398438-120.57186889648438j),(1.8591563701629639-144.86160278320312j),(105.48609924316406+67.27188110351562j),(-131.2243194580078+71.97198486328125j)
17,1728462640228121,842,772,272,84,334,389,0,(200.41184997558594-41.20787811279297j),(-62.967201232910156+199.07083129882812j),(-144.170166015625-163.45547485351562j),(41.86454772949219-138.75418090820312j),(83.95729064941406+92.14126586914062j),(-146.86981201171875+35.1572380065918j)
18,1728462640228963,842,786,229,186,413,344,0,(203.88613891601562+11.969589233398438j),(-112.94866943359375+175.8287811279297j),(-95.58390808105469-194.8331756591797j),(77.23571014404297-122.95365905761719j),(56.72538757324219+110.59117889404297j),(-150.96470642089844-4.053420543670654j)
19,1728462640229805,842,776,0,282,448,357,0,(193.31771850585938+64.191162109375j),(-157.18368530273438+139.91412353515625j),(-40.693016052246094-212.60980224609375j),(106.70845031738281-98.69856262207031j),(25.64620590209961+121.36428833007812j),(-144.7716064453125-42.98784637451172j)
20,1728462640230647,842,722,0,410,526,260,0,(168.70803833007812+111.66075897216797j),(-184.13626098632812+95.51058197021484j),(17.250415802001953-215.48764038085938j),(129.58343505859375-67.45848846435547j),(-10.382020950317383+122.86370849609375j),(-128.71255493164062-78.99272155761719j)
21,1728462640231488,841,685,0,532,544,75,55,(133.09359741210938+151.26205444335938j),(-202.17947387695312+44.70600891113281j),(76.94258117675781-202.47251892089844j),(142.54702758789062-31.642803192138672j),(-42.91439437866211+115.69898986816406j),(-102.43307495117188-109.22613525390625j)
22,1728462640232329,841,569,2,637,560,83,114,(86.71250915527344+179.83255004882812j),(-206.4989013671875-9.048147201538086j),(126.76481628417969-175.6484375j),(145.91986083984375+6.3400702476501465j),(-69.82759857177734+101.07015991210938j),(-65.68233489990234-130.6787567138672j)
23,1728462640233170,841,466,0,730,552,37,192,(36.28807830810547+195.8997039794922j),(-197.2012939453125-62.20725631713867j),(168.7517547607422-136.62774658203125j),(139.0653533935547+43.826171875j),(-94.21086883544922+79.39180755615234j),(-28.656187057495117-142.96701049804688j)
24,1728462640234011,841,352,29,798,526,0,266,(-16.375425338745117+198.42251586914062j),(-174.3813934326172-111.12704467773438j),(199.57095336914062-87.97257995605469j),(122.581298828125+78.21775817871094j),(-112.39400482177734+52.07656478881836j),(10.248510360717773-145.26425170898438j)
25,1728462640234852,841,257,98,833,488,0,354,(-67.77667999267578+187.2613983154297j),(-138.8727569580078-152.25802612304688j),(216.02268981933594-33.19281768798828j),(97.75773620605469+107.17108154296875j),(-122.04267883300781+21.21238899230957j),(48.462379455566406-137.40316772460938j)
26,1728462640235694,842,158,193,846,407,0,426,(-115.38294982910156+162.95050048828125j),(-93.68708801269531-182.73248291015625j),(217.77603149414062+23.989179611206055j),(65.68263244628906+128.55126953125j),(-123.37434387207031-11.097375869750977j),(83.21880340576172-119.9518051147461j)
27,1728462640236536,842,64,277,826,321,0,495,(-154.7529754638672+127.23283386230469j),(-42.43544006347656-200.54913330078125j),(204.42837524414062+79.6118392944336j),(29.770559310913086+141.06307983398438j),(-116.29824829101562-42.65087127685547j),(111.95220947265625-94.18574523925781j)
28,1728462640237377,841,2,410,777,250,2,530,(-182.81265258789062+82.73662567138672j),(12.405585289001465-204.29966735839844j),(176.77708435058594+129.7875213623047j),(-7.471929550170898+144.03713989257812j),(-101.296630859375-71.29778289794922j),(132.43411254882812-62.02264404296875j)
