seq=44,	ch0=  10,	ch1= 370,	ch2= 791,	ch3=  73,	ch4=  29,	ch5= 261,	time=1728462578501331,	delta=842,	
seq=45,	ch0=   0,	ch1= 489,	ch2= 719,	ch3=  37,	ch4=  58,	ch5= 257,	time=1728462578502172,	delta=841,	
seq=46,	ch0=   0,	ch1= 591,	ch2= 629,	ch3=   8,	ch4=  94,	ch5= 247,	time=1728462578503013,	delta=841,	
seq=47,	ch0=   0,	ch1= 678,	ch2= 530,	ch3=   0,	ch4= 109,	ch5= 229,	time=1728462578503854,	delta=841,	
seq=48,	ch0=  17,	ch1= 741,	ch2= 405,	ch3=   0,	ch4= 138,	ch5= 200,	time=1728462578504722,	delta=868,	
seq=49,	ch0=  84,	ch1= 793,	ch2= 282,	ch3=   0,	ch4= 169,	ch5= 218,	time=1728462578505563,	delta=841,	
seq=50,	ch0= 170,	ch1= 805,	ch2= 168,	ch3=   0,	ch4= 184,	ch5= 170,	time=1728462578506404,	delta=841,	
seq=51,	ch0= 272,	ch1= 796,	ch2=  85,	ch3=  13,	ch4= 212,	ch5=  71,	time=1728462578507245,	delta=841,	
seq=52,	ch0= 366,	ch1= 797,	ch2=  20,	ch3=  42,	ch4= 210,	ch5=  53,	time=1728462578508087,	delta=842,	
seq=53,	ch0= 506,	ch1= 713,	ch2=   0,	ch3=  53,	ch4= 288,	ch5=   5,	time=1728462578508928,	delta=841,	
seq=54,	ch0= 554,	ch1= 521,	ch2=   0,	ch3= 101,	ch4= 249,	ch5=   0,	time=1728462578509769,	delta=841,	
seq=55,	ch0= 682,	ch1= 448,	ch2=   0,	ch3= 149,	ch4= 224,	ch5=   0,	time=1728462578510610,	delta=841,	
seq=56,	ch0= 732,	ch1= 394,	ch2=  21,	ch3= 165,	ch4= 153,	ch5=   0,	time=1728462578511451,	delta=841,	
seq=57,	ch0= 776,	ch1= 274,	ch2=  97,	ch3= 202,	ch4= 118,	ch5=   0,	time=1728462578512292,	delta=841,	
seq=58,	ch0= 791,	ch1= 178,	ch2= 189,	ch3= 224,	ch4= 101,	ch5=   0,	time=1728462578513133,	delta=841,	
seq=59,	ch0= 775,	ch1=  92,	ch2= 299,	ch3= 244,	ch4=  58,	ch5=   8,	time=1728462578513974,	delta=841,	
seq=60,	ch0= 725,	ch1=  26,	ch2= 416,	ch3= 267,	ch4=  42,	ch5=  33,	time=1728462578514816,	delta=842,	
seq=61,	ch0= 626,	ch1=   0,	ch2= 522,	ch3= 234,	ch4=   4,	ch5=  72,	time=1728462578515657,	delta=841,	
seq=62,	ch0= 565,	ch1=   0,	ch2= 642,	ch3= 240,	ch4=   0,	ch5= 106,	time=1728462578516498,	delta=841,	
seq=63,	ch0= 466,	ch1=   0,	ch2= 729,	ch3= 218,	ch4=   0,	ch5= 141,	time=1728462578517339,	delta=841,	
seq=64,	ch0= 362,	ch1=  30,	ch2= 794,	ch3= 198,	ch4=   0,	ch5= 170,	time=1728462578518042,	delta=703,	
seq=65,	ch0= 261,	ch1=  98,	ch2= 939,	ch3= 157,	ch4=  26,	ch5= 221,	time=1728462578518883,	delta=841,	
seq=66,	ch0= 164,	ch1= 202,	ch2= 872,	ch3= 125,	ch4=   0,	ch5= 334,	time=1728462578519725,	delta=842,	
seq=67,	ch0=  79,	ch1= 297,	ch2= 778,	ch3= 101,	ch4=  26,	ch5= 308,	time=1728462578520567,	delta=842,	
seq=68,	ch0=   5,	ch1= 417,	ch2= 790,	ch3=  64,	ch4=  37,	ch5= 258,	time=1728462578521409,	delta=842,	
seq=69,	ch0=   0,	ch1= 517,	ch2= 718,	ch3=  29,	ch4=  66,	ch5= 253,	time=1728462578522250,	delta=841,	
seq=70,	ch0=   0,	ch1= 622,	ch2= 613,	ch3=   5,	ch4=  93,	ch5= 241,	time=1728462578523091,	delta=841,	
seq=71,	ch0=   0,	ch1= 704,	ch2= 513,	ch3=   0,	ch4= 121,	ch5= 230,	time=1728462578523932,	delta=841,	
seq=72,	ch0=  30,	ch1= 756,	ch2= 394,	ch3=   0,	ch4= 151,	ch5= 192,	time=1728462578524773,	delta=841,	
seq=73,	ch0= 113,	ch1= 779,	ch2= 270,	ch3=   0,	ch4= 226,	ch5= 156,	time=1728462578525614,	delta=841,	
seq=74,	ch0= 193,	ch1= 782,	ch2= 167,	ch3=   5,	ch4= 181,	ch5= 122,	time=1728462578526455,	delta=841,	
seq=75,	ch0= 367,	ch1= 770,	ch2=  69,	ch3=  13,	ch4= 201,	ch5=  87,	time=1728462578527296,	delta=841,	
seq=76,	ch0= 436,	ch1= 736,	ch2=  10,	ch3=  56,	ch4= 202,	ch5=  50,	time=1728462578528138,	delta=842,	
seq=77,	ch0= 414,	ch1= 669,	ch2=   2,	ch3= 138,	ch4= 192,	ch5=  53,	time=1728462578528979,	delta=841,	
seq=78,	ch0= 541,	ch1= 578,	ch2=  14,	ch3= 149,	ch4= 181,	ch5=  18,	time=1728462578529820,	delta=841,	
