seq=44,	ch0=1280,	ch1=2469,	ch2=   0,	ch3=   0,	ch4= 393,	ch5= 331,	time=1728464082009567,	delta=842,	
seq=45,	ch0=1584,	ch1=1961,	ch2=   6,	ch3=   0,	ch4= 418,	ch5= 234,	time=1728464082010408,	delta=841,	
seq=46,	ch0=1852,	ch1=1697,	ch2=   5,	ch3=  34,	ch4= 434,	ch5= 151,	time=1728464082011250,	delta=842,	
seq=47,	ch0=2316,	ch1=1381,	ch2=   0,	ch3=  90,	ch4= 448,	ch5=  96,	time=1728464082012092,	delta=842,	
seq=48,	ch0=2443,	ch1=1054,	ch2= 168,	ch3= 178,	ch4= 440,	ch5=  57,	time=1728464082012832,	delta=740,	
seq=49,	ch0=2511,	ch1= 719,	ch2= 389,	ch3= 267,	ch4= 409,	ch5=  52,	time=1728464082013674,	delta=842,	
seq=50,	ch0=2511,	ch1= 397,	ch2= 644,	ch3= 346,	ch4= 354,	ch5=  57,	time=1728464082014516,	delta=842,	
seq=51,	ch0=2445,	ch1= 186,	ch2=1005,	ch3= 389,	ch4= 335,	ch5=  36,	time=1728464082015358,	delta=842,	
seq=52,	ch0=2328,	ch1=  14,	ch2=1381,	ch3= 450,	ch4= 239,	ch5=   0,	time=1728464082016200,	delta=842,	
seq=53,	ch0=1874,	ch1=   9,	ch2=1743,	ch3= 501,	ch4= 163,	ch5=  18,	time=1728464082017042,	delta=842,	
seq=54,	ch0=1600,	ch1=   0,	ch2=2039,	ch3= 528,	ch4= 110,	ch5=  53,	time=1728464082017884,	delta=842,	
seq=55,	ch0=1294,	ch1=   0,	ch2=2488,	ch3= 540,	ch4=  53,	ch5= 120,	time=1728464082018726,	delta=842,	
seq=56,	ch0= 967,	ch1= 192,	ch2=2604,	ch3= 529,	ch4=  18,	ch5= 198,	time=1728464082019568,	delta=842,	
seq=57,	ch0= 654,	ch1= 427,	ch2=2660,	ch3= 505,	ch4=   0,	ch5= 293,	time=1728464082020410,	delta=842,	
seq=58,	ch0= 373,	ch1= 792,	ch2=2656,	ch3= 452,	ch4=   0,	ch5= 362,	time=1728464082021252,	delta=842,	
seq=59,	ch0= 130,	ch1=1095,	ch2=2588,	ch3= 401,	ch4=   0,	ch5= 414,	time=1728464082022094,	delta=842,	
seq=60,	ch0=   0,	ch1=1393,	ch2=2471,	ch3= 325,	ch4=   0,	ch5= 470,	time=1728464082022936,	delta=842,	
seq=61,	ch0=   0,	ch1=1728,	ch2=2010,	ch3= 245,	ch4=  16,	ch5= 493,	time=1728464082023777,	delta=841,	
seq=62,	ch0=  26,	ch1=2003,	ch2=1702,	ch3= 171,	ch4=  77,	ch5= 521,	time=1728464082024619,	delta=842,	
seq=63,	ch0=  16,	ch1=2416,	ch2=1373,	ch3=  77,	ch4= 201,	ch5= 530,	time=1728464082025461,	delta=842,	
seq=64,	ch0= 188,	ch1=2767,	ch2=1020,	ch3=  50,	ch4= 210,	ch5= 534,	time=1728464082026428,	delta=967,	
seq=65,	ch0= 435,	ch1=2922,	ch2= 682,	ch3=  13,	ch4= 256,	ch5= 498,	time=1728464082027271,	delta=843,	
seq=66,	ch0= 713,	ch1=2894,	ch2= 372,	ch3=   0,	ch4= 322,	ch5= 456,	time=1728464082028113,	delta=842,	
seq=67,	ch0=1031,	ch1=2693,	ch2= 118,	ch3=   0,	ch4= 366,	ch5= 389,	time=1728464082028955,	delta=842,	
seq=68,	ch0=1369,	ch1=2368,	ch2=   0,	ch3=   0,	ch4= 389,	ch5= 296,	time=1728464082029796,	delta=841,	
seq=69,	ch0=1647,	ch1=1894,	ch2=   2,	ch3=  10,	ch4= 418,	ch5= 202,	time=1728464082030638,	delta=842,	
