seq=44,	ch0= 749,	ch1= 322,	ch2=  66,	ch3= 157,	ch4=  21,	ch5=   0,	time=1728461646844282,	delta=841,	
seq=45,	ch0= 786,	ch1= 224,	ch2= 154,	ch3= 170,	ch4=   9,	ch5=  17,	time=1728461646845123,	delta=841,	
seq=46,	ch0= 778,	ch1= 132,	ch2= 258,	ch3= 154,	ch4=   0,	ch5=  42,	time=1728461646845964,	delta=841,	
seq=47,	ch0= 744,	ch1=  50,	ch2= 370,	ch3= 149,	ch4=   0,	ch5=  64,	time=1728461646846805,	delta=841,	
seq=48,	ch0= 685,	ch1=   0,	ch2= 485,	ch3= 135,	ch4=   0,	ch5=  87,	time=1728461646847537,	delta=732,	
seq=49,	ch0= 612,	ch1=   0,	ch2= 579,	ch3= 120,	ch4=   0,	ch5=  93,	time=1728461646848378,	delta=841,	
seq=50,	ch0= 518,	ch1=  52,	ch2= 686,	ch3=  93,	ch4=   0,	ch5= 116,	time=1728461646849219,	delta=841,	
seq=51,	ch0= 410,	ch1=   0,	ch2= 767,	ch3=  71,	ch4=  36,	ch5= 130,	time=1728461646850060,	delta=841,	
seq=52,	ch0= 307,	ch1=  64,	ch2= 826,	ch3=  52,	ch4=   0,	ch5= 149,	time=1728461646850901,	delta=841,	
seq=53,	ch0= 261,	ch1= 146,	ch2= 825,	ch3=  74,	ch4=   0,	ch5= 159,	time=1728461646851742,	delta=841,	
seq=54,	ch0=  55,	ch1= 250,	ch2= 832,	ch3=   0,	ch4=  34,	ch5= 126,	time=1728461646852583,	delta=841,	
seq=55,	ch0=  10,	ch1= 367,	ch2= 794,	ch3=   0,	ch4=  45,	ch5= 117,	time=1728461646853424,	delta=841,	
seq=56,	ch0=   0,	ch1= 477,	ch2= 748,	ch3=   0,	ch4=  82,	ch5= 121,	time=1728461646854265,	delta=841,	
seq=57,	ch0=   0,	ch1= 578,	ch2= 655,	ch3=   0,	ch4=  96,	ch5=  98,	time=1728461646855106,	delta=841,	
seq=58,	ch0=   0,	ch1= 664,	ch2= 549,	ch3=   0,	ch4= 104,	ch5=  79,	time=1728461646855947,	delta=841,	
seq=59,	ch0=  10,	ch1= 741,	ch2= 437,	ch3=   0,	ch4= 106,	ch5=  64,	time=1728461646856788,	delta=841,	
seq=60,	ch0=  73,	ch1= 783,	ch2= 322,	ch3=  11,	ch4= 114,	ch5=  29,	time=1728461646857629,	delta=841,	
seq=61,	ch0= 165,	ch1= 803,	ch2= 218,	ch3=  34,	ch4= 122,	ch5=   4,	time=1728461646858470,	delta=841,	
seq=62,	ch0= 242,	ch1= 808,	ch2= 125,	ch3=  58,	ch4= 117,	ch5=   5,	time=1728461646859312,	delta=842,	
seq=63,	ch0= 351,	ch1= 771,	ch2=  41,	ch3=  69,	ch4= 106,	ch5=   0,	time=1728461646860153,	delta=841,	
seq=64,	ch0= 463,	ch1= 712,	ch2=   0,	ch3=  94,	ch4= 100,	ch5=   0,	time=1728461646860971,	delta=818,	
seq=65,	ch0= 543,	ch1= 650,	ch2=  64,	ch3= 113,	ch4=  85,	ch5=   0,	time=1728461646861812,	delta=841,	
seq=66,	ch0= 645,	ch1= 509,	ch2=   0,	ch3= 126,	ch4=  78,	ch5=  49,	time=1728461646862653,	delta=841,	
seq=67,	ch0= 746,	ch1= 412,	ch2=   0,	ch3= 129,	ch4=  10,	ch5=   0,	time=1728461646863494,	delta=841,	
seq=68,	ch0= 762,	ch1= 299,	ch2=  90,	ch3= 159,	ch4=  20,	ch5=   2,	time=1728461646864335,	delta=841,	
seq=69,	ch0= 792,	ch1= 201,	ch2= 178,	ch3= 162,	ch4=  10,	ch5=  23,	time=1728461646865176,	delta=841,	
seq=70,	ch0= 778,	ch1= 107,	ch2= 282,	ch3= 154,	ch4=   0,	ch5=  47,	time=1728461646866017,	delta=841,	
seq=71,	ch0= 736,	ch1=  36,	ch2= 402,	ch3= 149,	ch4=   0,	ch5=  69,	time=1728461646866858,	delta=841,	
seq=72,	ch0= 671,	ch1=   0,	ch2= 509,	ch3= 138,	ch4=   0,	ch5=  96,	time=1728461646867699,	delta=841,	
seq=73,	ch0= 572,	ch1=   0,	ch2= 619,	ch3= 101,	ch4=   0,	ch5= 114,	time=1728461646868540,	delta=841,	
seq=74,	ch0= 488,	ch1=   0,	ch2= 779,	ch3=  82,	ch4=   0,	ch5= 122,	time=1728461646869381,	delta=841,	
seq=75,	ch0= 381,	ch1=  23,	ch2= 776,	ch3=  58,	ch4=   0,	ch5= 194,	time=1728461646870222,	delta=841,	
seq=76,	ch0= 276,	ch1=  92,	ch2= 818,	ch3=  40,	ch4=   0,	ch5= 132,	time=1728461646871063,	delta=841,	
seq=77,	ch0= 206,	ch1= 266,	ch2= 832,	ch3=  32,	ch4=  21,	ch5= 126,	time=1728461646871904,	delta=841,	
seq=78,	ch0= 117,	ch1= 245,	ch2= 834,	ch3=  10,	ch4=  85,	ch5= 127,	time=1728461646872745,	delta=841,	
seq=79,	ch0= 144,	ch1= 370,	ch2= 808,	ch3=  14,	ch4=  52,	ch5= 119,	time=1728461646873586,	delta=841,	
seq=80,	ch0=   0,	ch1= 501,	ch2= 718,	ch3=   0,	ch4=  84,	ch5= 114,	time=1728461646874492,	delta=906,	
seq=81,	ch0=   0,	ch1= 597,	ch2= 629,	ch3=   0,	ch4=  90,	ch5=  96,	time=1728461646875333,	delta=841,	
seq=82,	ch0=   0,	ch1= 683,	ch2= 526,	ch3=   0,	ch4= 107,	ch5=  70,	time=1728461646876174,	delta=841,	
seq=83,	ch0=  26,	ch1= 754,	ch2= 414,	ch3=   2,	ch4= 117,	ch5=  53,	time=1728461646877015,	delta=841,	
seq=84,	ch0=  90,	ch1= 783,	ch2= 294,	ch3=  17,	ch4= 117,	ch5=  23,	time=1728461646877856,	delta=841,	
seq=85,	ch0= 189,	ch1= 809,	ch2= 175,	ch3=  37,	ch4= 117,	ch5=   0,	time=1728461646878697,	delta=841,	
seq=86,	ch0= 289,	ch1= 806,	ch2=  90,	ch3=  64,	ch4= 107,	ch5=   0,	time=1728461646879538,	delta=841,	
seq=87,	ch0= 390,	ch1= 741,	ch2=   9,	ch3=  88,	ch4= 109,	ch5=   0,	time=1728461646880379,	delta=841,	
seq=88,	ch0= 540,	ch1= 673,	ch2=   0,	ch3= 106,	ch4=  66,	ch5=   0,	time=1728461646881220,	delta=841,	
seq=89,	ch0= 653,	ch1= 583,	ch2=   0,	ch3= 181,	ch4=  46,	ch5=   0,	time=1728461646882061,	delta=841,	
seq=90,	ch0= 610,	ch1= 481,	ch2=  14,	ch3= 192,	ch4=  37,	ch5=   0,	time=1728461646882902,	delta=841,	
seq=91,	ch0= 713,	ch1= 378,	ch2=  26,	ch3= 139,	ch4=  20,	ch5=   0,	time=1728461646883743,	delta=841,	
seq=92,	ch0= 779,	ch1= 269,	ch2= 105,	ch3= 154,	ch4=  10,	ch5=  18,	time=1728461646884584,	delta=841,	
seq=93,	ch0= 791,	ch1= 173,	ch2= 202,	ch3= 161,	ch4=   0,	ch5=  29,	time=1728461646885425,	delta=841,	
seq=94,	ch0= 773,	ch1=  90,	ch2= 306,	ch3= 154,	ch4=   0,	ch5=  64,	time=1728461646886266,	delta=841,	
seq=95,	ch0= 723,	ch1=  23,	ch2= 420,	ch3= 141,	ch4=   0,	ch5=  87,	time=1728461646887107,	delta=841,	
seq=96,	ch0= 661,	ch1=   0,	ch2= 533,	ch3= 126,	ch4=   9,	ch5=  98,	time=1728461646887965,	delta=858,	
seq=97,	ch0= 572,	ch1=   0,	ch2= 639,	ch3= 105,	ch4=   0,	ch5= 114,	time=1728461646888806,	delta=841,	
seq=98,	ch0= 529,	ch1=   0,	ch2= 725,	ch3=  84,	ch4=   0,	ch5= 136,	time=1728461646889647,	delta=841,	
seq=99,	ch0= 338,	ch1=  34,	ch2= 794,	ch3=  69,	ch4=   0,	ch5= 153,	time=1728461646890488,	delta=841,	
seq=100,	ch0= 218,	ch1= 109,	ch2= 826,	ch3=   0,	ch4=   4,	ch5= 181,	time=1728461646891329,	delta=841,	
seq=101,	ch0= 146,	ch1= 192,	ch2= 960,	ch3=   7,	ch4=  50,	ch5= 157,	time=1728461646892170,	delta=841,	
seq=102,	ch0=  50,	ch1= 290,	ch2= 741,	ch3=   0,	ch4=  42,	ch5= 226,	time=1728461646893011,	delta=841,	
