seq=44,	ch0=1562,	ch1= 624,	ch2= 192,	ch3= 666,	ch4= 849,	ch5=   0,	time=1728463251664400,	delta=842,	
seq=45,	ch0=1592,	ch1= 421,	ch2= 372,	ch3= 810,	ch4= 740,	ch5=   0,	time=1728463251665242,	delta=842,	
seq=46,	ch0=1571,	ch1= 327,	ch2= 576,	ch3= 933,	ch4= 612,	ch5=   0,	time=1728463251666084,	delta=842,	
seq=47,	ch0=1492,	ch1= 139,	ch2= 815,	ch3=1043,	ch4= 480,	ch5=   2,	time=1728463251666926,	delta=842,	
seq=48,	ch0=1359,	ch1=   0,	ch2=1040,	ch3=1110,	ch4= 389,	ch5=  88,	time=1728463251667648,	delta=722,	
seq=49,	ch0=1193,	ch1=   0,	ch2=1248,	ch3=1149,	ch4= 238,	ch5= 201,	time=1728463251668489,	delta=841,	
seq=50,	ch0=1008,	ch1=   0,	ch2=1437,	ch3=1173,	ch4= 162,	ch5= 353,	time=1728463251669331,	delta=842,	
seq=51,	ch0= 778,	ch1=  29,	ch2=1600,	ch3=1113,	ch4=   0,	ch5= 509,	time=1728463251670173,	delta=842,	
seq=52,	ch0= 666,	ch1= 170,	ch2=1745,	ch3=1047,	ch4=   0,	ch5= 676,	time=1728463251671015,	delta=842,	
seq=53,	ch0= 368,	ch1= 362,	ch2=1728,	ch3= 914,	ch4=   0,	ch5= 850,	time=1728463251671857,	delta=842,	
seq=54,	ch0= 201,	ch1= 569,	ch2=1697,	ch3= 764,	ch4=   0,	ch5= 971,	time=1728463251672699,	delta=842,	
seq=55,	ch0=  50,	ch1= 785,	ch2=1612,	ch3= 602,	ch4=  22,	ch5=1064,	time=1728463251673541,	delta=842,	
seq=56,	ch0=   0,	ch1= 993,	ch2=1465,	ch3= 448,	ch4= 122,	ch5=1133,	time=1728463251674382,	delta=841,	
seq=57,	ch0=   0,	ch1=1200,	ch2=1274,	ch3= 282,	ch4= 229,	ch5=1168,	time=1728463251675224,	delta=842,	
seq=58,	ch0=   0,	ch1=1378,	ch2=1074,	ch3= 165,	ch4= 350,	ch5=1151,	time=1728463251676065,	delta=841,	
seq=59,	ch0=  49,	ch1=1508,	ch2= 847,	ch3=  74,	ch4= 496,	ch5=1099,	time=1728463251676907,	delta=842,	
seq=60,	ch0= 201,	ch1=1593,	ch2= 591,	ch3=   5,	ch4= 631,	ch5=1022,	time=1728463251677749,	delta=842,	
seq=61,	ch0= 370,	ch1=1640,	ch2= 394,	ch3=   0,	ch4= 746,	ch5= 903,	time=1728463251678591,	delta=842,	
seq=62,	ch0= 623,	ch1=1620,	ch2= 185,	ch3=   0,	ch4= 821,	ch5= 666,	time=1728463251679433,	delta=842,	
seq=63,	ch0= 744,	ch1=1631,	ch2=  50,	ch3=   9,	ch4= 922,	ch5= 532,	time=1728463251680274,	delta=841,	
seq=64,	ch0=1034,	ch1=1443,	ch2=   0,	ch3= 117,	ch4= 971,	ch5= 386,	time=1728463251681213,	delta=939,	
seq=65,	ch0=1199,	ch1=1206,	ch2=   0,	ch3= 213,	ch4= 988,	ch5= 262,	time=1728463251682055,	delta=842,	
seq=66,	ch0=1359,	ch1=1002,	ch2=   0,	ch3= 379,	ch4= 968,	ch5= 129,	time=1728463251682897,	delta=842,	
seq=67,	ch0=1486,	ch1= 785,	ch2=  89,	ch3= 541,	ch4= 920,	ch5=  46,	time=1728463251683739,	delta=842,	
seq=68,	ch0=1569,	ch1= 576,	ch2= 224,	ch3= 704,	ch4= 832,	ch5=   0,	time=1728463251684581,	delta=842,	
seq=69,	ch0=1599,	ch1= 366,	ch2= 420,	ch3= 848,	ch4= 705,	ch5=   0,	time=1728463251685423,	delta=842,	
seq=70,	ch0=1532,	ch1= 192,	ch2= 634,	ch3= 953,	ch4= 578,	ch5=   0,	time=1728463251686265,	delta=842,	
seq=71,	ch0=1448,	ch1=  55,	ch2= 861,	ch3=1060,	ch4= 448,	ch5=  29,	time=1728463251687107,	delta=842,	
seq=72,	ch0=1317,	ch1=   0,	ch2=1103,	ch3=1111,	ch4= 300,	ch5= 117,	time=1728463251687949,	delta=842,	
seq=73,	ch0=1148,	ch1=   0,	ch2=1329,	ch3=1160,	ch4= 180,	ch5= 242,	time=1728463251688791,	delta=842,	
seq=74,	ch0= 929,	ch1=  18,	ch2=1551,	ch3=1149,	ch4= 121,	ch5= 401,	time=1728463251689633,	delta=842,	
seq=75,	ch0= 709,	ch1=  72,	ch2=1535,	ch3=1095,	ch4=  21,	ch5= 656,	time=1728463251690475,	delta=842,	
seq=76,	ch0= 562,	ch1= 252,	ch2=1667,	ch3=1003,	ch4=   0,	ch5= 782,	time=1728463251691317,	delta=842,	
seq=77,	ch0= 322,	ch1= 420,	ch2=1735,	ch3= 877,	ch4=   0,	ch5= 881,	time=1728463251692159,	delta=842,	
seq=78,	ch0= 161,	ch1= 629,	ch2=1681,	ch3= 715,	ch4=   0,	ch5=1008,	time=1728463251693001,	delta=842,	
seq=79,	ch0=  32,	ch1= 844,	ch2=1581,	ch3= 548,	ch4=  50,	ch5=1089,	time=1728463251693843,	delta=842,	
seq=80,	ch0=   0,	ch1=1053,	ch2=1428,	ch3= 394,	ch4= 133,	ch5=1141,	time=1728463251694569,	delta=726,	
seq=81,	ch0=   0,	ch1=1258,	ch2=1234,	ch3= 261,	ch4= 260,	ch5=1162,	time=1728463251695411,	delta=842,	
seq=82,	ch0=   0,	ch1=1414,	ch2=1026,	ch3= 141,	ch4= 386,	ch5=1148,	time=1728463251696253,	delta=842,	
seq=83,	ch0=  90,	ch1=1542,	ch2= 789,	ch3=  50,	ch4= 517,	ch5=1098,	time=1728463251697095,	delta=842,	
seq=84,	ch0= 238,	ch1=1612,	ch2= 562,	ch3=   0,	ch4= 650,	ch5= 994,	time=1728463251697937,	delta=842,	
seq=85,	ch0= 407,	ch1=1632,	ch2= 346,	ch3=   0,	ch4= 771,	ch5= 864,	time=1728463251698779,	delta=842,	
seq=86,	ch0= 589,	ch1=1600,	ch2= 165,	ch3=   0,	ch4= 867,	ch5= 731,	time=1728463251699621,	delta=842,	
seq=87,	ch0= 832,	ch1=1491,	ch2=  26,	ch3=   5,	ch4= 933,	ch5= 527,	time=1728463251700463,	delta=842,	
seq=88,	ch0=1053,	ch1=1367,	ch2=  68,	ch3= 114,	ch4=1010,	ch5= 373,	time=1728463251701305,	delta=842,	
seq=89,	ch0=1248,	ch1=1152,	ch2=   0,	ch3= 262,	ch4= 983,	ch5= 224,	time=1728463251702147,	delta=842,	
seq=90,	ch0=1396,	ch1= 946,	ch2=   5,	ch3= 416,	ch4= 952,	ch5= 106,	time=1728463251702989,	delta=842,	
seq=91,	ch0=1520,	ch1= 733,	ch2= 114,	ch3= 581,	ch4= 896,	ch5=  18,	time=1728463251703831,	delta=842,	
seq=92,	ch0=1577,	ch1= 511,	ch2= 277,	ch3= 741,	ch4= 796,	ch5=   0,	time=1728463251704673,	delta=842,	
seq=93,	ch0=1592,	ch1= 329,	ch2= 469,	ch3= 881,	ch4= 683,	ch5=   0,	time=1728463251705515,	delta=842,	
seq=94,	ch0=1543,	ch1= 125,	ch2= 686,	ch3= 981,	ch4= 587,	ch5=   0,	time=1728463251706357,	delta=842,	
seq=95,	ch0=1434,	ch1=  25,	ch2= 910,	ch3=1080,	ch4= 397,	ch5=  41,	time=1728463251707199,	delta=842,	
seq=96,	ch0=1381,	ch1=   0,	ch2=1147,	ch3=1133,	ch4= 265,	ch5= 144,	time=1728463251708042,	delta=843,	
seq=97,	ch0=1136,	ch1=   0,	ch2=1345,	ch3=1162,	ch4= 157,	ch5= 286,	time=1728463251708884,	delta=842,	
seq=98,	ch0= 815,	ch1=  10,	ch2=1540,	ch3=1205,	ch4=  64,	ch5= 487,	time=1728463251709726,	delta=842,	
seq=99,	ch0= 623,	ch1= 107,	ch2=1661,	ch3=1111,	ch4=   2,	ch5= 577,	time=1728463251710568,	delta=842,	
seq=100,	ch0= 434,	ch1= 266,	ch2=1687,	ch3= 942,	ch4=   0,	ch5= 784,	time=1728463251711410,	delta=842,	
seq=101,	ch0= 282,	ch1= 466,	ch2=1728,	ch3= 832,	ch4=   0,	ch5= 916,	time=1728463251712252,	delta=842,	
seq=102,	ch0= 126,	ch1= 685,	ch2=1653,	ch3= 673,	ch4=   0,	ch5=1025,	time=1728463251713094,	delta=842,	
seq=103,	ch0=   1,	ch1= 901,	ch2=1549,	ch3= 513,	ch4=  66,	ch5=1116,	time=1728463251713936,	delta=842,	
seq=104,	ch0=   0,	ch1=1102,	ch2=1386,	ch3= 357,	ch4= 178,	ch5=1146,	time=1728463251714778,	delta=842,	
seq=105,	ch0=   0,	ch1=1302,	ch2=1179,	ch3= 218,	ch4= 286,	ch5=1168,	time=1728463251715620,	delta=842,	
seq=106,	ch0=  20,	ch1=1456,	ch2= 942,	ch3= 105,	ch4= 425,	ch5=1136,	time=1728463251716462,	delta=842,	
seq=107,	ch0= 126,	ch1=1567,	ch2= 720,	ch3=  34,	ch4= 557,	ch5=1060,	time=1728463251717304,	delta=842,	
seq=108,	ch0= 288,	ch1=1623,	ch2= 484,	ch3=   0,	ch4= 689,	ch5= 967,	time=1728463251718146,	delta=842,	
seq=109,	ch0= 476,	ch1=1574,	ch2= 284,	ch3=   0,	ch4= 817,	ch5= 813,	time=1728463251718988,	delta=842,	
seq=110,	ch0= 700,	ch1=1519,	ch2= 130,	ch3=  13,	ch4= 918,	ch5= 642,	time=1728463251719830,	delta=842,	
seq=111,	ch0= 910,	ch1=1425,	ch2=  18,	ch3=  53,	ch4= 898,	ch5= 482,	time=1728463251720672,	delta=842,	
seq=112,	ch0=1200,	ch1=1286,	ch2=   2,	ch3= 153,	ch4= 962,	ch5= 338,	time=1728463251721530,	delta=858,	
seq=113,	ch0=1285,	ch1=1114,	ch2=   0,	ch3= 298,	ch4= 975,	ch5= 201,	time=1728463251722372,	delta=842,	
seq=114,	ch0=1436,	ch1= 894,	ch2=  26,	ch3= 458,	ch4= 954,	ch5=  73,	time=1728463251723214,	delta=842,	
seq=115,	ch0=1542,	ch1= 676,	ch2= 146,	ch3= 627,	ch4= 879,	ch5=  11,	time=1728463251724056,	delta=842,	
seq=116,	ch0=1594,	ch1= 463,	ch2= 324,	ch3= 778,	ch4= 766,	ch5=   0,	time=1728463251724898,	delta=842,	
seq=117,	ch0=1586,	ch1= 282,	ch2= 526,	ch3= 914,	ch4= 645,	ch5=   0,	time=1728463251725740,	delta=842,	
seq=118,	ch0=1515,	ch1= 139,	ch2= 798,	ch3=1017,	ch4= 517,	ch5=   0,	time=1728463251726582,	delta=842,	
seq=119,	ch0=1408,	ch1=  10,	ch2= 954,	ch3=1088,	ch4= 383,	ch5= 127,	time=1728463251727424,	delta=842,	
seq=120,	ch0=1231,	ch1=   0,	ch2=1191,	ch3=1137,	ch4= 237,	ch5= 207,	time=1728463251728266,	delta=842,	
seq=121,	ch0=1052,	ch1=   0,	ch2=1393,	ch3=1165,	ch4= 138,	ch5= 282,	time=1728463251729108,	delta=842,	
seq=122,	ch0= 822,	ch1= 141,	ch2=1564,	ch3=1178,	ch4=  71,	ch5= 474,	time=1728463251729950,	delta=842,	
seq=123,	ch0= 651,	ch1= 188,	ch2=1665,	ch3=1047,	ch4=  78,	ch5= 650,	time=1728463251730792,	delta=842,	
seq=124,	ch0= 431,	ch1= 269,	ch2=1728,	ch3= 963,	ch4=  30,	ch5= 810,	time=1728463251731634,	delta=842,	
seq=125,	ch0= 231,	ch1= 516,	ch2=1715,	ch3= 802,	ch4=   0,	ch5= 950,	time=1728463251732476,	delta=842,	
seq=126,	ch0=  84,	ch1= 727,	ch2=1632,	ch3= 633,	ch4=  14,	ch5=1052,	time=1728463251733318,	delta=842,	
seq=127,	ch0=   0,	ch1= 948,	ch2=1504,	ch3= 465,	ch4=  85,	ch5=1126,	time=1728463251734160,	delta=842,	
seq=128,	ch0=   0,	ch1=1163,	ch2=1330,	ch3= 322,	ch4= 206,	ch5=1163,	time=1728463251735001,	delta=841,	
seq=129,	ch0=   0,	ch1=1344,	ch2=1120,	ch3= 193,	ch4= 334,	ch5=1163,	time=1728463251735843,	delta=842,	
seq=130,	ch0=  21,	ch1=1477,	ch2= 892,	ch3=  79,	ch4= 453,	ch5=1121,	time=1728463251736685,	delta=842,	
seq=131,	ch0= 151,	ch1=1594,	ch2= 666,	ch3=   5,	ch4= 591,	ch5=1057,	time=1728463251737527,	delta=842,	
seq=132,	ch0= 324,	ch1=1643,	ch2= 441,	ch3=   0,	ch4= 718,	ch5= 926,	time=1728463251738369,	delta=842,	
seq=133,	ch0= 514,	ch1=1632,	ch2= 298,	ch3=   0,	ch4= 832,	ch5= 794,	time=1728463251739211,	delta=842,	
seq=134,	ch0= 726,	ch1=1562,	ch2=  68,	ch3=   0,	ch4= 891,	ch5= 714,	time=1728463251740053,	delta=842,	
seq=135,	ch0= 962,	ch1=1430,	ch2=   0,	ch3=  65,	ch4= 974,	ch5= 498,	time=1728463251740895,	delta=842,	
seq=136,	ch0=1156,	ch1=1261,	ch2=   0,	ch3= 179,	ch4= 977,	ch5= 266,	time=1728463251741737,	delta=842,	
seq=137,	ch0=1326,	ch1=1052,	ch2=   0,	ch3= 341,	ch4= 975,	ch5= 165,	time=1728463251742579,	delta=842,	
seq=138,	ch0=1472,	ch1= 836,	ch2=  54,	ch3= 490,	ch4= 925,	ch5=  64,	time=1728463251743421,	delta=842,	
seq=139,	ch0=1564,	ch1= 629,	ch2= 197,	ch3= 668,	ch4= 853,	ch5=   0,	time=1728463251744263,	delta=842,	
seq=140,	ch0=1589,	ch1= 415,	ch2= 380,	ch3= 817,	ch4= 740,	ch5=   0,	time=1728463251745105,	delta=842,	
seq=141,	ch0=1578,	ch1= 242,	ch2= 588,	ch3= 934,	ch4= 611,	ch5=   0,	time=1728463251745947,	delta=842,	
seq=142,	ch0=1536,	ch1=  85,	ch2= 812,	ch3=1047,	ch4= 463,	ch5=   9,	time=1728463251746789,	delta=842,	
seq=143,	ch0=1344,	ch1=   0,	ch2=1058,	ch3=1154,	ch4= 330,	ch5=  85,	time=1728463251747631,	delta=842,	
