seq=44,	ch0= 298,	ch1= 106,	ch2= 824,	ch3=  19,	ch4=  72,	ch5=  13,	time=1728461174976750,	delta=841,	
seq=45,	ch0= 247,	ch1= 151,	ch2= 850,	ch3=  31,	ch4=   5,	ch5=  13,	time=1728461174977591,	delta=841,	
seq=46,	ch0=  34,	ch1= 250,	ch2= 872,	ch3=  66,	ch4=  10,	ch5=  26,	time=1728461174978432,	delta=841,	
seq=47,	ch0=   8,	ch1= 424,	ch2= 814,	ch3=  10,	ch4=  11,	ch5=   5,	time=1728461174979273,	delta=841,	
seq=48,	ch0=   0,	ch1= 505,	ch2= 806,	ch3=   9,	ch4=  41,	ch5=  13,	time=1728461174980006,	delta=733,	
seq=49,	ch0=   0,	ch1= 580,	ch2= 651,	ch3=  21,	ch4=  23,	ch5=  20,	time=1728461174980847,	delta=841,	
seq=50,	ch0=   0,	ch1= 658,	ch2= 546,	ch3=  29,	ch4=  20,	ch5=  20,	time=1728461174981687,	delta=840,	
seq=51,	ch0=  10,	ch1= 737,	ch2= 441,	ch3=  26,	ch4=  21,	ch5=  23,	time=1728461174982528,	delta=841,	
seq=52,	ch0=  73,	ch1= 785,	ch2= 312,	ch3=  23,	ch4=  23,	ch5=  18,	time=1728461174983369,	delta=841,	
seq=53,	ch0= 162,	ch1= 810,	ch2= 203,	ch3=  26,	ch4=  26,	ch5=  23,	time=1728461174984210,	delta=841,	
seq=54,	ch0= 245,	ch1= 793,	ch2= 110,	ch3=  21,	ch4=  21,	ch5=  18,	time=1728461174985051,	delta=841,	
seq=55,	ch0= 367,	ch1= 747,	ch2=  14,	ch3=  26,	ch4=  26,	ch5=  16,	time=1728461174985892,	delta=841,	
seq=56,	ch0= 468,	ch1= 693,	ch2=   0,	ch3=  26,	ch4=  20,	ch5=  11,	time=1728461174986733,	delta=841,	
seq=57,	ch0= 576,	ch1= 610,	ch2=   0,	ch3=  23,	ch4=  18,	ch5=  17,	time=1728461174987574,	delta=841,	
seq=58,	ch0= 728,	ch1= 490,	ch2=   0,	ch3=  34,	ch4=   0,	ch5=  13,	time=1728461174988415,	delta=841,	
seq=59,	ch0= 616,	ch1= 392,	ch2=  14,	ch3=  84,	ch4=   8,	ch5=  65,	time=1728461174989256,	delta=841,	
seq=60,	ch0= 756,	ch1= 303,	ch2=  87,	ch3=   0,	ch4=  10,	ch5=  34,	time=1728461174990097,	delta=841,	
seq=61,	ch0= 789,	ch1= 202,	ch2= 181,	ch3=  23,	ch4=  22,	ch5=  10,	time=1728461174990938,	delta=841,	
seq=62,	ch0= 776,	ch1= 111,	ch2= 288,	ch3=  21,	ch4=  23,	ch5=  17,	time=1728461174991779,	delta=841,	
seq=63,	ch0= 730,	ch1=  38,	ch2= 401,	ch3=  28,	ch4=  18,	ch5=  23,	time=1728461174992620,	delta=841,	
seq=64,	ch0= 670,	ch1=   0,	ch2= 515,	ch3=  26,	ch4=  23,	ch5=  23,	time=1728461174993473,	delta=853,	
seq=65,	ch0= 584,	ch1=   0,	ch2= 626,	ch3=  23,	ch4=  26,	ch5=   9,	time=1728461174994314,	delta=841,	
seq=66,	ch0= 480,	ch1=   0,	ch2= 714,	ch3=  13,	ch4=  31,	ch5=  18,	time=1728461174995155,	delta=841,	
seq=67,	ch0= 373,	ch1=  21,	ch2= 855,	ch3=  20,	ch4=  10,	ch5=  16,	time=1728461174995996,	delta=841,	
seq=68,	ch0= 269,	ch1=  96,	ch2= 823,	ch3=  30,	ch4=  11,	ch5=  41,	time=1728461174996837,	delta=841,	
seq=69,	ch0= 171,	ch1= 209,	ch2= 852,	ch3=  21,	ch4=  36,	ch5=  10,	time=1728461174997678,	delta=841,	
seq=70,	ch0=  66,	ch1= 253,	ch2= 849,	ch3=  25,	ch4=   0,	ch5=  10,	time=1728461174998519,	delta=841,	
seq=71,	ch0=   0,	ch1= 383,	ch2= 783,	ch3=  87,	ch4=   2,	ch5=  54,	time=1728461174999360,	delta=841,	
seq=72,	ch0=   0,	ch1= 513,	ch2= 704,	ch3=   0,	ch4=  11,	ch5=  37,	time=1728461175000201,	delta=841,	
seq=73,	ch0=   0,	ch1= 604,	ch2= 629,	ch3=  20,	ch4=  17,	ch5=  23,	time=1728461175001042,	delta=841,	
seq=74,	ch0=   0,	ch1= 690,	ch2= 525,	ch3=  20,	ch4=  18,	ch5=  21,	time=1728461175001883,	delta=841,	
seq=75,	ch0=  21,	ch1= 746,	ch2= 410,	ch3=  16,	ch4=  14,	ch5=  21,	time=1728461175002724,	delta=841,	
seq=76,	ch0= 101,	ch1= 800,	ch2= 296,	ch3=  21,	ch4=  22,	ch5=  21,	time=1728461175003565,	delta=841,	
seq=77,	ch0= 178,	ch1= 809,	ch2= 184,	ch3=  17,	ch4=  18,	ch5=  22,	time=1728461175004406,	delta=841,	
seq=78,	ch0= 260,	ch1= 788,	ch2=  98,	ch3=   0,	ch4=  13,	ch5=   8,	time=1728461175005247,	delta=841,	
seq=79,	ch0= 386,	ch1= 753,	ch2=  23,	ch3=  23,	ch4=  23,	ch5=  20,	time=1728461175006088,	delta=841,	
seq=80,	ch0= 503,	ch1= 683,	ch2=   0,	ch3=  10,	ch4=  23,	ch5=  21,	time=1728461175007144,	delta=1056,	
seq=81,	ch0= 596,	ch1= 596,	ch2=   0,	ch3=  26,	ch4=  23,	ch5=  11,	time=1728461175007985,	delta=841,	
