seq=44,	ch0=1476,	ch1= 825,	ch2=  77,	ch3= 327,	ch4= 100,	ch5=  11,	time=1728463139393010,	delta=841,	
seq=45,	ch0=1566,	ch1= 599,	ch2= 202,	ch3= 348,	ch4=  64,	ch5=  42,	time=1728463139393852,	delta=842,	
seq=46,	ch0=1590,	ch1= 393,	ch2= 387,	ch3= 334,	ch4=  23,	ch5=  79,	time=1728463139394694,	delta=842,	
seq=47,	ch0=1560,	ch1= 226,	ch2= 669,	ch3= 338,	ch4=   0,	ch5= 127,	time=1728463139395536,	delta=842,	
seq=48,	ch0=1473,	ch1=  85,	ch2= 889,	ch3= 325,	ch4=   0,	ch5= 172,	time=1728463139396244,	delta=708,	
seq=49,	ch0=1344,	ch1=   0,	ch2=1095,	ch3= 290,	ch4=   0,	ch5= 213,	time=1728463139397085,	delta=841,	
seq=50,	ch0=1162,	ch1=  34,	ch2=1344,	ch3= 241,	ch4=   0,	ch5= 264,	time=1728463139397926,	delta=841,	
seq=51,	ch0= 954,	ch1=  23,	ch2=1513,	ch3= 196,	ch4=   0,	ch5= 383,	time=1728463139398767,	delta=841,	
seq=52,	ch0= 745,	ch1=  54,	ch2=1529,	ch3= 144,	ch4=  16,	ch5= 401,	time=1728463139399608,	delta=841,	
seq=53,	ch0= 553,	ch1= 202,	ch2=1701,	ch3=  98,	ch4=  32,	ch5= 335,	time=1728463139400450,	delta=842,	
seq=54,	ch0= 350,	ch1= 381,	ch2=1732,	ch3=  69,	ch4=  73,	ch5= 333,	time=1728463139401292,	delta=842,	
seq=55,	ch0= 170,	ch1= 591,	ch2=1700,	ch3=  26,	ch4= 120,	ch5= 325,	time=1728463139402134,	delta=842,	
seq=56,	ch0=  43,	ch1= 802,	ch2=1592,	ch3=   5,	ch4= 160,	ch5= 304,	time=1728463139402976,	delta=842,	
seq=57,	ch0=   0,	ch1=1019,	ch2=1451,	ch3=   0,	ch4= 199,	ch5= 277,	time=1728463139403817,	delta=841,	
seq=58,	ch0=   0,	ch1=1221,	ch2=1264,	ch3=   0,	ch4= 235,	ch5= 199,	time=1728463139404658,	delta=841,	
seq=59,	ch0=   0,	ch1=1390,	ch2=1038,	ch3=   0,	ch4= 267,	ch5= 171,	time=1728463139405499,	delta=841,	
seq=60,	ch0=  74,	ch1=1524,	ch2= 811,	ch3=  14,	ch4= 271,	ch5= 129,	time=1728463139406340,	delta=841,	
seq=61,	ch0= 212,	ch1=1571,	ch2= 580,	ch3=  37,	ch4= 284,	ch5=  69,	time=1728463139407182,	delta=842,	
seq=62,	ch0= 367,	ch1=1559,	ch2= 370,	ch3=  98,	ch4= 330,	ch5=  15,	time=1728463139408023,	delta=841,	
seq=63,	ch0= 589,	ch1=1543,	ch2= 189,	ch3= 149,	ch4= 197,	ch5=   5,	time=1728463139408865,	delta=842,	
seq=64,	ch0= 805,	ch1=1472,	ch2=  41,	ch3= 186,	ch4= 194,	ch5=   0,	time=1728463139409826,	delta=961,	
seq=65,	ch0=1028,	ch1=1376,	ch2=   0,	ch3= 231,	ch4= 225,	ch5=   0,	time=1728463139410667,	delta=841,	
seq=66,	ch0=1212,	ch1=1197,	ch2=   0,	ch3= 272,	ch4= 174,	ch5=   0,	time=1728463139411508,	delta=841,	
seq=67,	ch0=1379,	ch1= 992,	ch2=   0,	ch3= 302,	ch4= 129,	ch5=   0,	time=1728463139412349,	delta=841,	
seq=68,	ch0=1505,	ch1= 772,	ch2= 100,	ch3= 322,	ch4=  89,	ch5=  18,	time=1728463139413190,	delta=841,	
seq=69,	ch0=1582,	ch1= 559,	ch2= 249,	ch3= 340,	ch4=  42,	ch5=  43,	time=1728463139414031,	delta=841,	
seq=70,	ch0=1636,	ch1= 341,	ch2= 443,	ch3= 409,	ch4=  14,	ch5=  85,	time=1728463139414873,	delta=842,	
seq=71,	ch0=1534,	ch1= 178,	ch2= 658,	ch3= 369,	ch4=   4,	ch5= 148,	time=1728463139415715,	delta=842,	
seq=72,	ch0=1440,	ch1=  50,	ch2= 888,	ch3= 325,	ch4=   0,	ch5= 192,	time=1728463139416557,	delta=842,	
seq=73,	ch0=1293,	ch1=   0,	ch2=1116,	ch3= 250,	ch4=   0,	ch5= 231,	time=1728463139417398,	delta=841,	
seq=74,	ch0=1090,	ch1=   0,	ch2=1312,	ch3= 182,	ch4=   0,	ch5= 269,	time=1728463139418239,	delta=841,	
seq=75,	ch0= 898,	ch1=   2,	ch2=1479,	ch3= 149,	ch4=   0,	ch5= 322,	time=1728463139419080,	delta=841,	
seq=76,	ch0= 696,	ch1= 138,	ch2=1641,	ch3= 134,	ch4=  17,	ch5= 325,	time=1728463139419922,	delta=842,	
seq=77,	ch0= 510,	ch1= 242,	ch2=1712,	ch3=  97,	ch4=  58,	ch5= 335,	time=1728463139420764,	delta=842,	
seq=78,	ch0= 299,	ch1= 430,	ch2=1724,	ch3=  53,	ch4=  88,	ch5= 333,	time=1728463139421606,	delta=842,	
seq=79,	ch0= 139,	ch1= 644,	ch2=1676,	ch3=  21,	ch4= 122,	ch5= 311,	time=1728463139422448,	delta=842,	
seq=80,	ch0=  16,	ch1= 855,	ch2=1567,	ch3=   0,	ch4= 169,	ch5= 285,	time=1728463139423213,	delta=765,	
seq=81,	ch0=   0,	ch1=1076,	ch2=1413,	ch3=   0,	ch4= 202,	ch5= 250,	time=1728463139424054,	delta=841,	
seq=82,	ch0=   0,	ch1=1259,	ch2=1205,	ch3=   0,	ch4= 235,	ch5= 208,	time=1728463139424895,	delta=841,	
seq=83,	ch0=   0,	ch1=1426,	ch2= 986,	ch3=   0,	ch4= 272,	ch5= 164,	time=1728463139425736,	delta=841,	
seq=84,	ch0= 107,	ch1=1557,	ch2= 745,	ch3=  20,	ch4= 273,	ch5= 112,	time=1728463139426578,	delta=842,	
seq=85,	ch0= 239,	ch1=1656,	ch2= 514,	ch3=  46,	ch4= 273,	ch5=  26,	time=1728463139427420,	delta=842,	
seq=86,	ch0= 441,	ch1=1718,	ch2= 314,	ch3= 138,	ch4= 277,	ch5=   0,	time=1728463139428262,	delta=842,	
