seq=44,	ch0=  26,	ch1= 357,	ch2= 846,	ch3=  64,	ch4= 116,	ch5= 415,	time=1728462755793950,	delta=842,	
seq=45,	ch0=   0,	ch1= 467,	ch2= 840,	ch3=  23,	ch4= 193,	ch5= 442,	time=1728462755794792,	delta=842,	
seq=46,	ch0=   0,	ch1= 597,	ch2= 706,	ch3=   0,	ch4= 185,	ch5= 427,	time=1728462755795633,	delta=841,	
seq=47,	ch0=   0,	ch1= 661,	ch2= 553,	ch3=   0,	ch4= 245,	ch5= 324,	time=1728462755796474,	delta=841,	
seq=48,	ch0=   2,	ch1= 738,	ch2= 453,	ch3=   0,	ch4= 284,	ch5= 273,	time=1728462755797428,	delta=954,	
seq=49,	ch0=  64,	ch1= 778,	ch2= 325,	ch3=   0,	ch4= 320,	ch5= 221,	time=1728462755798269,	delta=841,	
seq=50,	ch0= 142,	ch1= 804,	ch2= 217,	ch3=  16,	ch4= 343,	ch5= 170,	time=1728462755799110,	delta=841,	
seq=51,	ch0= 250,	ch1= 798,	ch2= 106,	ch3=  48,	ch4= 362,	ch5= 116,	time=1728462755799952,	delta=842,	
seq=52,	ch0= 353,	ch1= 811,	ch2=  26,	ch3= 101,	ch4= 354,	ch5=  57,	time=1728462755800794,	delta=842,	
seq=53,	ch0= 463,	ch1= 677,	ch2=   0,	ch3= 165,	ch4= 378,	ch5=  13,	time=1728462755801635,	delta=841,	
seq=54,	ch0= 563,	ch1= 602,	ch2=   0,	ch3= 213,	ch4= 326,	ch5=   0,	time=1728462755802476,	delta=841,	
seq=55,	ch0= 654,	ch1= 509,	ch2=   0,	ch3= 265,	ch4= 276,	ch5=   0,	time=1728462755803317,	delta=841,	
seq=56,	ch0= 746,	ch1= 378,	ch2=  13,	ch3= 320,	ch4= 207,	ch5=   0,	time=1728462755804158,	delta=841,	
seq=57,	ch0= 767,	ch1= 285,	ch2=  82,	ch3= 329,	ch4= 117,	ch5=   0,	time=1728462755804999,	delta=841,	
seq=58,	ch0= 882,	ch1= 189,	ch2= 222,	ch3= 393,	ch4=  93,	ch5=  21,	time=1728462755805841,	delta=842,	
seq=59,	ch0= 786,	ch1= 106,	ch2= 273,	ch3= 402,	ch4=  93,	ch5=  69,	time=1728462755806683,	delta=842,	
seq=60,	ch0= 736,	ch1=  33,	ch2= 385,	ch3= 402,	ch4=  46,	ch5= 119,	time=1728462755807524,	delta=841,	
seq=61,	ch0= 674,	ch1=   0,	ch2= 509,	ch3= 385,	ch4=   5,	ch5= 180,	time=1728462755808365,	delta=841,	
seq=62,	ch0= 592,	ch1=   0,	ch2= 615,	ch3= 356,	ch4=   0,	ch5= 235,	time=1728462755809206,	delta=841,	
seq=63,	ch0= 490,	ch1=   0,	ch2= 706,	ch3= 312,	ch4=   0,	ch5= 286,	time=1728462755810047,	delta=841,	
seq=64,	ch0= 386,	ch1=  33,	ch2= 788,	ch3= 269,	ch4=   0,	ch5= 331,	time=1728462755810753,	delta=706,	
seq=65,	ch0= 272,	ch1=  98,	ch2= 834,	ch3= 207,	ch4=   1,	ch5= 370,	time=1728462755811594,	delta=841,	
seq=66,	ch0= 167,	ch1= 170,	ch2= 853,	ch3= 157,	ch4=  37,	ch5= 402,	time=1728462755812436,	delta=842,	
seq=67,	ch0=  82,	ch1= 267,	ch2= 847,	ch3= 113,	ch4=  71,	ch5= 424,	time=1728462755813278,	delta=842,	
seq=68,	ch0=  10,	ch1= 360,	ch2= 709,	ch3=  52,	ch4= 130,	ch5= 490,	time=1728462755814120,	delta=842,	
seq=69,	ch0=  33,	ch1= 514,	ch2= 689,	ch3=  18,	ch4= 149,	ch5= 313,	time=1728462755814961,	delta=841,	
seq=70,	ch0=   0,	ch1= 587,	ch2= 592,	ch3=   0,	ch4= 213,	ch5= 313,	time=1728462755815802,	delta=841,	
seq=71,	ch0=   0,	ch1= 687,	ch2= 528,	ch3=   0,	ch4= 258,	ch5= 330,	time=1728462755816643,	delta=841,	
seq=72,	ch0=  14,	ch1= 747,	ch2= 417,	ch3=   0,	ch4= 292,	ch5= 264,	time=1728462755817484,	delta=841,	
seq=73,	ch0=  93,	ch1= 789,	ch2= 301,	ch3=   0,	ch4= 334,	ch5= 210,	time=1728462755818325,	delta=841,	
seq=74,	ch0= 178,	ch1= 811,	ch2= 192,	ch3=  28,	ch4= 346,	ch5= 157,	time=1728462755819167,	delta=842,	
seq=75,	ch0= 274,	ch1= 797,	ch2=  94,	ch3=  64,	ch4= 357,	ch5= 104,	time=1728462755820009,	delta=842,	
seq=76,	ch0= 484,	ch1= 738,	ch2=  30,	ch3= 114,	ch4= 338,	ch5=  64,	time=1728462755820851,	delta=842,	
seq=77,	ch0= 554,	ch1= 677,	ch2=   0,	ch3= 172,	ch4= 320,	ch5=  11,	time=1728462755821693,	delta=842,	
seq=78,	ch0= 623,	ch1= 599,	ch2=   0,	ch3= 224,	ch4= 282,	ch5=   0,	time=1728462755822534,	delta=841,	
seq=79,	ch0= 725,	ch1= 490,	ch2=   0,	ch3= 270,	ch4= 237,	ch5=   0,	time=1728462755823375,	delta=841,	
seq=80,	ch0= 613,	ch1= 381,	ch2=  16,	ch3= 381,	ch4= 201,	ch5=  16,	time=1728462755824222,	delta=847,	
seq=81,	ch0= 715,	ch1= 261,	ch2= 138,	ch3= 395,	ch4= 134,	ch5=   0,	time=1728462755825064,	delta=842,	
seq=82,	ch0= 776,	ch1= 176,	ch2= 196,	ch3= 383,	ch4= 113,	ch5=  34,	time=1728462755825906,	delta=842,	
seq=83,	ch0= 772,	ch1=  92,	ch2= 303,	ch3= 397,	ch4=  73,	ch5=  79,	time=1728462755826747,	delta=841,	
seq=84,	ch0= 722,	ch1=  20,	ch2= 413,	ch3= 398,	ch4=  25,	ch5= 133,	time=1728462755827589,	delta=842,	
seq=85,	ch0= 661,	ch1=   0,	ch2= 532,	ch3= 386,	ch4=   0,	ch5= 192,	time=1728462755828430,	delta=841,	
seq=86,	ch0= 576,	ch1=   0,	ch2= 640,	ch3= 355,	ch4=   0,	ch5= 239,	time=1728462755829271,	delta=841,	
seq=87,	ch0= 471,	ch1=   0,	ch2= 732,	ch3= 310,	ch4=   0,	ch5= 285,	time=1728462755830112,	delta=841,	
seq=88,	ch0= 353,	ch1=  40,	ch2= 789,	ch3= 256,	ch4=   0,	ch5= 330,	time=1728462755830953,	delta=841,	
seq=89,	ch0= 256,	ch1= 106,	ch2= 833,	ch3= 206,	ch4=   5,	ch5= 383,	time=1728462755831794,	delta=841,	
seq=90,	ch0= 160,	ch1= 193,	ch2= 834,	ch3= 151,	ch4=  41,	ch5= 407,	time=1728462755832636,	delta=842,	
seq=91,	ch0=  66,	ch1= 378,	ch2= 792,	ch3= 117,	ch4= 101,	ch5= 382,	time=1728462755833478,	delta=842,	
seq=92,	ch0=   0,	ch1= 314,	ch2= 760,	ch3=  45,	ch4= 199,	ch5= 420,	time=1728462755834320,	delta=842,	
seq=93,	ch0=   0,	ch1= 455,	ch2= 692,	ch3=  26,	ch4= 210,	ch5= 373,	time=1728462755835162,	delta=842,	
seq=94,	ch0=   0,	ch1= 617,	ch2= 609,	ch3=   0,	ch4= 232,	ch5= 358,	time=1728462755836003,	delta=841,	
seq=95,	ch0=   0,	ch1= 698,	ch2= 506,	ch3=   0,	ch4= 264,	ch5= 311,	time=1728462755836844,	delta=841,	
seq=96,	ch0=  29,	ch1= 760,	ch2= 386,	ch3=   1,	ch4= 306,	ch5= 253,	time=1728462755837692,	delta=848,	
seq=97,	ch0= 110,	ch1= 802,	ch2= 269,	ch3=   0,	ch4= 335,	ch5= 199,	time=1728462755838533,	delta=841,	
seq=98,	ch0= 198,	ch1= 810,	ch2= 159,	ch3=  31,	ch4= 354,	ch5= 142,	time=1728462755839375,	delta=842,	
seq=99,	ch0= 285,	ch1= 790,	ch2=  75,	ch3=  87,	ch4= 346,	ch5=  98,	time=1728462755840217,	delta=842,	
seq=100,	ch0= 394,	ch1= 733,	ch2=   7,	ch3= 121,	ch4= 352,	ch5=  36,	time=1728462755841059,	delta=842,	
seq=101,	ch0= 497,	ch1= 669,	ch2=   0,	ch3= 178,	ch4= 320,	ch5=   0,	time=1728462755841900,	delta=841,	
seq=102,	ch0= 592,	ch1= 568,	ch2=   0,	ch3= 234,	ch4= 285,	ch5=   0,	time=1728462755842741,	delta=841,	
seq=103,	ch0= 671,	ch1= 520,	ch2=   5,	ch3= 276,	ch4= 239,	ch5=   0,	time=1728462755843582,	delta=841,	
seq=104,	ch0= 725,	ch1= 345,	ch2= 117,	ch3= 320,	ch4= 203,	ch5=   0,	time=1728462755844423,	delta=841,	
seq=105,	ch0= 770,	ch1= 263,	ch2= 224,	ch3= 354,	ch4= 177,	ch5=  18,	time=1728462755845265,	delta=842,	
seq=106,	ch0= 791,	ch1= 164,	ch2= 218,	ch3= 389,	ch4= 105,	ch5=  48,	time=1728462755846107,	delta=842,	
seq=107,	ch0= 762,	ch1=  69,	ch2= 334,	ch3= 395,	ch4=  56,	ch5=  87,	time=1728462755846949,	delta=842,	
seq=108,	ch0= 718,	ch1=  10,	ch2= 453,	ch3= 403,	ch4=  30,	ch5= 142,	time=1728462755847791,	delta=842,	
seq=109,	ch0= 629,	ch1=   0,	ch2= 562,	ch3= 378,	ch4=   0,	ch5= 199,	time=1728462755848632,	delta=841,	
seq=110,	ch0= 541,	ch1=   0,	ch2= 671,	ch3= 349,	ch4=   0,	ch5= 253,	time=1728462755849473,	delta=841,	
seq=111,	ch0= 450,	ch1=   0,	ch2= 747,	ch3= 302,	ch4=   0,	ch5= 306,	time=1728462755850314,	delta=841,	
seq=112,	ch0= 335,	ch1=  50,	ch2= 807,	ch3= 242,	ch4=   0,	ch5= 338,	time=1728462755851170,	delta=856,	
seq=113,	ch0= 231,	ch1= 105,	ch2= 837,	ch3= 192,	ch4=  10,	ch5= 389,	time=1728462755852011,	delta=841,	
seq=114,	ch0= 141,	ch1= 213,	ch2= 853,	ch3= 136,	ch4=  50,	ch5= 413,	time=1728462755852853,	delta=842,	
seq=115,	ch0= 188,	ch1= 320,	ch2= 860,	ch3= 100,	ch4=  64,	ch5= 418,	time=1728462755853695,	delta=842,	
seq=116,	ch0=  74,	ch1= 431,	ch2= 769,	ch3=  36,	ch4= 125,	ch5= 417,	time=1728462755854537,	delta=842,	
seq=117,	ch0=  47,	ch1= 551,	ch2= 677,	ch3=  79,	ch4= 176,	ch5= 394,	time=1728462755855378,	delta=841,	
seq=118,	ch0=   0,	ch1= 645,	ch2= 585,	ch3=   0,	ch4= 234,	ch5= 352,	time=1728462755856219,	delta=841,	
seq=119,	ch0=   0,	ch1= 719,	ch2= 480,	ch3=   0,	ch4= 273,	ch5= 287,	time=1728462755857060,	delta=841,	
seq=120,	ch0=  45,	ch1= 770,	ch2= 351,	ch3=   0,	ch4= 312,	ch5= 237,	time=1728462755857901,	delta=841,	
seq=121,	ch0= 130,	ch1= 810,	ch2= 242,	ch3=  10,	ch4= 341,	ch5= 192,	time=1728462755858742,	delta=841,	
seq=122,	ch0= 226,	ch1= 804,	ch2= 133,	ch3=  42,	ch4= 357,	ch5= 128,	time=1728462755859584,	delta=842,	
seq=123,	ch0= 320,	ch1= 776,	ch2=  51,	ch3=  81,	ch4= 352,	ch5=  85,	time=1728462755860426,	delta=842,	
seq=124,	ch0= 424,	ch1= 723,	ch2=  34,	ch3= 145,	ch4= 345,	ch5=  30,	time=1728462755861268,	delta=842,	
seq=125,	ch0= 526,	ch1= 648,	ch2=   0,	ch3= 197,	ch4= 320,	ch5=  55,	time=1728462755862109,	delta=841,	
seq=126,	ch0= 628,	ch1= 548,	ch2=   0,	ch3= 250,	ch4= 281,	ch5=  10,	time=1728462755862950,	delta=841,	
seq=127,	ch0= 700,	ch1= 425,	ch2=   0,	ch3= 286,	ch4= 234,	ch5=  64,	time=1728462755863791,	delta=841,	
seq=128,	ch0= 753,	ch1= 335,	ch2=   8,	ch3= 336,	ch4= 197,	ch5=  41,	time=1728462755864626,	delta=835,	
seq=129,	ch0= 820,	ch1= 209,	ch2= 110,	ch3= 362,	ch4= 129,	ch5=   0,	time=1728462755865468,	delta=842,	
seq=130,	ch0= 779,	ch1= 132,	ch2= 252,	ch3= 390,	ch4=  81,	ch5=  54,	time=1728462755866310,	delta=842,	
seq=131,	ch0= 754,	ch1=  56,	ch2= 361,	ch3= 413,	ch4=  42,	ch5=  98,	time=1728462755867152,	delta=842,	
seq=132,	ch0= 693,	ch1=   0,	ch2= 480,	ch3= 394,	ch4=  13,	ch5= 153,	time=1728462755867994,	delta=842,	
seq=133,	ch0= 609,	ch1=   0,	ch2= 597,	ch3= 370,	ch4=   0,	ch5= 218,	time=1728462755868835,	delta=841,	
seq=134,	ch0= 516,	ch1=   0,	ch2= 687,	ch3= 335,	ch4=   0,	ch5= 269,	time=1728462755869676,	delta=841,	
seq=135,	ch0= 416,	ch1=   5,	ch2= 767,	ch3= 287,	ch4=   0,	ch5= 322,	time=1728462755870517,	delta=841,	
seq=136,	ch0= 313,	ch1=  56,	ch2= 832,	ch3= 234,	ch4=   0,	ch5= 357,	time=1728462755871358,	delta=841,	
seq=137,	ch0= 212,	ch1= 149,	ch2= 853,	ch3= 176,	ch4=  23,	ch5= 402,	time=1728462755872200,	delta=842,	
