seq=44,	ch0=  87,	ch1= 792,	ch2= 312,	ch3=   0,	ch4= 360,	ch5= 370,	time=1728462775319712,	delta=841,	
seq=45,	ch0= 148,	ch1= 811,	ch2= 286,	ch3=   0,	ch4= 398,	ch5= 286,	time=1728462775320553,	delta=841,	
seq=46,	ch0= 255,	ch1= 815,	ch2= 178,	ch3=  10,	ch4= 485,	ch5= 228,	time=1728462775321394,	delta=841,	
seq=47,	ch0= 370,	ch1= 750,	ch2=   0,	ch3=  66,	ch4= 436,	ch5= 237,	time=1728462775322236,	delta=842,	
seq=48,	ch0= 469,	ch1= 682,	ch2=   0,	ch3= 137,	ch4= 453,	ch5=  97,	time=1728462775323237,	delta=1001,	
seq=49,	ch0= 576,	ch1= 599,	ch2=   0,	ch3= 209,	ch4= 430,	ch5=  33,	time=1728462775324078,	delta=841,	
seq=50,	ch0= 657,	ch1= 510,	ch2=   0,	ch3= 264,	ch4= 386,	ch5=   0,	time=1728462775324919,	delta=841,	
seq=51,	ch0= 728,	ch1= 397,	ch2=  21,	ch3= 335,	ch4= 338,	ch5=   0,	time=1728462775325760,	delta=841,	
seq=52,	ch0= 774,	ch1= 286,	ch2=  93,	ch3= 394,	ch4= 276,	ch5=   0,	time=1728462775326601,	delta=841,	
seq=53,	ch0= 789,	ch1= 242,	ch2= 185,	ch3= 450,	ch4= 209,	ch5=   0,	time=1728462775327442,	delta=841,	
seq=54,	ch0= 765,	ch1=  69,	ch2= 287,	ch3= 485,	ch4= 196,	ch5=  20,	time=1728462775328284,	delta=842,	
seq=55,	ch0= 732,	ch1=   5,	ch2= 405,	ch3= 519,	ch4= 105,	ch5=  82,	time=1728462775329126,	delta=842,	
seq=56,	ch0= 661,	ch1=   0,	ch2= 517,	ch3= 523,	ch4=  40,	ch5= 149,	time=1728462775329967,	delta=841,	
seq=57,	ch0= 581,	ch1=   0,	ch2= 625,	ch3= 509,	ch4=   0,	ch5= 218,	time=1728462775330808,	delta=841,	
seq=58,	ch0= 594,	ch1=   0,	ch2= 752,	ch3= 477,	ch4=   0,	ch5= 299,	time=1728462775331649,	delta=841,	
seq=59,	ch0= 448,	ch1=   5,	ch2= 817,	ch3= 405,	ch4=   0,	ch5= 367,	time=1728462775332490,	delta=841,	
seq=60,	ch0= 256,	ch1= 103,	ch2= 834,	ch3= 346,	ch4=   0,	ch5= 436,	time=1728462775333331,	delta=841,	
seq=61,	ch0= 174,	ch1= 194,	ch2= 852,	ch3= 282,	ch4=   2,	ch5= 480,	time=1728462775334172,	delta=841,	
seq=62,	ch0=  85,	ch1= 290,	ch2= 837,	ch3= 213,	ch4=  52,	ch5= 520,	time=1728462775335014,	delta=842,	
seq=63,	ch0=  17,	ch1= 393,	ch2= 785,	ch3= 154,	ch4=  94,	ch5= 533,	time=1728462775335856,	delta=842,	
seq=64,	ch0=   0,	ch1= 508,	ch2= 709,	ch3=  79,	ch4= 157,	ch5= 535,	time=1728462775336477,	delta=621,	
seq=65,	ch0=   0,	ch1= 605,	ch2= 626,	ch3=  26,	ch4= 221,	ch5= 513,	time=1728462775337318,	delta=841,	
seq=66,	ch0=   0,	ch1= 690,	ch2= 522,	ch3=   0,	ch4= 266,	ch5= 469,	time=1728462775338159,	delta=841,	
seq=67,	ch0=  29,	ch1= 769,	ch2= 398,	ch3=   0,	ch4= 322,	ch5= 421,	time=1728462775339000,	delta=841,	
seq=68,	ch0= 102,	ch1= 802,	ch2= 285,	ch3=   0,	ch4= 373,	ch5= 341,	time=1728462775339841,	delta=841,	
seq=69,	ch0= 250,	ch1= 839,	ch2= 141,	ch3=   0,	ch4= 434,	ch5= 308,	time=1728462775340682,	delta=841,	
seq=70,	ch0= 271,	ch1= 828,	ch2=  64,	ch3=  42,	ch4= 440,	ch5= 151,	time=1728462775341524,	delta=842,	
seq=71,	ch0= 434,	ch1= 813,	ch2=   8,	ch3=  85,	ch4= 450,	ch5= 100,	time=1728462775342366,	delta=842,	
seq=72,	ch0= 496,	ch1= 668,	ch2=   0,	ch3= 146,	ch4= 440,	ch5=  72,	time=1728462775343207,	delta=841,	
seq=73,	ch0= 599,	ch1= 590,	ch2=   0,	ch3= 224,	ch4= 416,	ch5=  25,	time=1728462775344048,	delta=841,	
seq=74,	ch0= 679,	ch1= 491,	ch2=   0,	ch3= 287,	ch4= 369,	ch5=   0,	time=1728462775344889,	delta=841,	
seq=75,	ch0= 746,	ch1= 367,	ch2=  37,	ch3= 359,	ch4= 332,	ch5=   0,	time=1728462775345730,	delta=841,	
seq=76,	ch0= 773,	ch1= 269,	ch2= 114,	ch3= 413,	ch4= 266,	ch5=   0,	time=1728462775346571,	delta=841,	
seq=77,	ch0= 846,	ch1= 154,	ch2= 214,	ch3= 468,	ch4= 194,	ch5=   2,	time=1728462775347413,	delta=842,	
seq=78,	ch0= 736,	ch1=  77,	ch2= 307,	ch3= 538,	ch4= 146,	ch5=  46,	time=1728462775348255,	delta=842,	
seq=79,	ch0= 706,	ch1=  17,	ch2= 429,	ch3= 501,	ch4=  85,	ch5= 110,	time=1728462775349097,	delta=842,	
seq=80,	ch0= 642,	ch1=   0,	ch2= 546,	ch3= 512,	ch4=  37,	ch5= 171,	time=1728462775349940,	delta=843,	
seq=81,	ch0= 533,	ch1=  49,	ch2= 677,	ch3= 473,	ch4=   0,	ch5= 245,	time=1728462775350781,	delta=841,	
seq=82,	ch0= 429,	ch1=  34,	ch2= 744,	ch3= 442,	ch4=   0,	ch5= 287,	time=1728462775351622,	delta=841,	
seq=83,	ch0= 344,	ch1=  10,	ch2= 904,	ch3= 394,	ch4=  18,	ch5= 394,	time=1728462775352464,	delta=842,	
seq=84,	ch0= 237,	ch1= 109,	ch2= 837,	ch3= 341,	ch4=   0,	ch5= 437,	time=1728462775353306,	delta=842,	
seq=85,	ch0= 146,	ch1= 217,	ch2= 850,	ch3= 260,	ch4=  16,	ch5= 493,	time=1728462775354148,	delta=842,	
seq=86,	ch0=  59,	ch1= 320,	ch2= 826,	ch3= 192,	ch4=  47,	ch5= 522,	time=1728462775354990,	delta=842,	
seq=87,	ch0=   0,	ch1= 432,	ch2= 773,	ch3= 129,	ch4= 111,	ch5= 538,	time=1728462775355832,	delta=842,	
seq=88,	ch0=   0,	ch1= 537,	ch2= 695,	ch3=  69,	ch4= 166,	ch5= 535,	time=1728462775356673,	delta=841,	
seq=89,	ch0=   0,	ch1= 630,	ch2= 600,	ch3=  21,	ch4= 239,	ch5= 500,	time=1728462775357514,	delta=841,	
seq=90,	ch0=   0,	ch1= 698,	ch2= 488,	ch3=   0,	ch4= 289,	ch5= 448,	time=1728462775358355,	delta=841,	
seq=91,	ch0=  43,	ch1= 765,	ch2= 354,	ch3=   0,	ch4= 341,	ch5= 376,	time=1728462775359196,	delta=841,	
seq=92,	ch0= 117,	ch1= 791,	ch2= 245,	ch3=   0,	ch4= 388,	ch5= 320,	time=1728462775360037,	delta=841,	
seq=93,	ch0= 335,	ch1= 767,	ch2= 186,	ch3=  10,	ch4= 380,	ch5= 253,	time=1728462775360878,	delta=841,	
seq=94,	ch0= 373,	ch1= 777,	ch2=  64,	ch3=  27,	ch4= 437,	ch5= 192,	time=1728462775361720,	delta=842,	
seq=95,	ch0= 334,	ch1= 729,	ch2=  23,	ch3= 154,	ch4= 448,	ch5= 154,	time=1728462775362562,	delta=842,	
seq=96,	ch0= 538,	ch1= 648,	ch2=   0,	ch3= 183,	ch4= 442,	ch5=  57,	time=1728462775363411,	delta=849,	
seq=97,	ch0= 618,	ch1= 554,	ch2=   0,	ch3= 243,	ch4= 410,	ch5=  13,	time=1728462775364252,	delta=841,	
seq=98,	ch0= 698,	ch1= 457,	ch2=   0,	ch3= 307,	ch4= 367,	ch5=   0,	time=1728462775365093,	delta=841,	
seq=99,	ch0= 753,	ch1= 342,	ch2=  50,	ch3= 370,	ch4= 316,	ch5=   0,	time=1728462775365934,	delta=841,	
seq=100,	ch0= 786,	ch1= 240,	ch2= 130,	ch3= 422,	ch4= 246,	ch5=   0,	time=1728462775366775,	delta=841,	
seq=101,	ch0= 777,	ch1= 143,	ch2= 257,	ch3= 471,	ch4= 181,	ch5=  11,	time=1728462775367616,	delta=841,	
seq=102,	ch0= 753,	ch1=  64,	ch2= 394,	ch3= 501,	ch4= 133,	ch5=  49,	time=1728462775368458,	delta=842,	
seq=103,	ch0= 697,	ch1=   0,	ch2= 448,	ch3= 520,	ch4=  77,	ch5= 165,	time=1728462775369300,	delta=842,	
seq=104,	ch0= 626,	ch1=   0,	ch2= 561,	ch3= 523,	ch4=  36,	ch5= 208,	time=1728462775370141,	delta=841,	
