seq=44,	ch0=2447,	ch1= 165,	ch2=1064,	ch3= 530,	ch4=   0,	ch5= 240,	time=1728464175402342,	delta=842,	
seq=45,	ch0=2322,	ch1=   2,	ch2=1418,	ch3= 488,	ch4=   0,	ch5= 320,	time=1728464175403183,	delta=841,	
seq=46,	ch0=1868,	ch1=   0,	ch2=1751,	ch3= 435,	ch4=   0,	ch5= 380,	time=1728464175404025,	delta=842,	
seq=47,	ch0=1588,	ch1=   0,	ch2=2040,	ch3= 341,	ch4=   0,	ch5= 439,	time=1728464175404867,	delta=842,	
seq=48,	ch0=1270,	ch1=   7,	ch2=2496,	ch3= 264,	ch4=   0,	ch5= 478,	time=1728464175405736,	delta=869,	
seq=49,	ch0= 952,	ch1= 194,	ch2=2611,	ch3= 194,	ch4=  43,	ch5= 510,	time=1728464175406578,	delta=842,	
seq=50,	ch0= 626,	ch1= 433,	ch2=2666,	ch3= 116,	ch4=  98,	ch5= 526,	time=1728464175407420,	delta=842,	
seq=51,	ch0= 342,	ch1= 767,	ch2=2674,	ch3=  49,	ch4= 153,	ch5= 532,	time=1728464175408262,	delta=842,	
seq=52,	ch0= 111,	ch1=1066,	ch2=2621,	ch3=  16,	ch4= 221,	ch5= 489,	time=1728464175409104,	delta=842,	
seq=53,	ch0=   0,	ch1=1402,	ch2=2555,	ch3=   0,	ch4= 284,	ch5= 451,	time=1728464175409946,	delta=842,	
seq=54,	ch0=   0,	ch1=1682,	ch2=2016,	ch3=   2,	ch4= 336,	ch5= 395,	time=1728464175410787,	delta=841,	
seq=55,	ch0=   0,	ch1=1958,	ch2=1700,	ch3=   5,	ch4= 373,	ch5= 314,	time=1728464175411629,	delta=842,	
seq=56,	ch0=  10,	ch1=2489,	ch2=1368,	ch3=   8,	ch4= 408,	ch5= 232,	time=1728464175412470,	delta=841,	
seq=57,	ch0= 202,	ch1=2776,	ch2= 998,	ch3=  58,	ch4= 426,	ch5= 170,	time=1728464175413312,	delta=842,	
seq=58,	ch0= 459,	ch1=2927,	ch2= 669,	ch3= 114,	ch4= 434,	ch5=  96,	time=1728464175414154,	delta=842,	
