seq=44,	ch0= 149,	ch1= 559,	ch2=1696,	ch3= 128,	ch4=  81,	ch5=  89,	time=1728462964588648,	delta=842,	
seq=45,	ch0=  66,	ch1= 798,	ch2=1609,	ch3= 123,	ch4=  82,	ch5=  78,	time=1728462964589490,	delta=842,	
seq=46,	ch0=   0,	ch1=1018,	ch2=1442,	ch3= 129,	ch4=  74,	ch5=  79,	time=1728462964590331,	delta=841,	
seq=47,	ch0=   0,	ch1=1207,	ch2=1261,	ch3= 130,	ch4=  71,	ch5=  76,	time=1728462964591172,	delta=841,	
seq=48,	ch0=   0,	ch1=1435,	ch2=1045,	ch3= 126,	ch4=  85,	ch5=  48,	time=1728462964591907,	delta=735,	
seq=49,	ch0=  13,	ch1=1411,	ch2= 810,	ch3= 137,	ch4= 125,	ch5=  66,	time=1728462964592749,	delta=842,	
seq=50,	ch0= 218,	ch1=1548,	ch2= 593,	ch3= 122,	ch4=   2,	ch5=  66,	time=1728462964593591,	delta=842,	
seq=51,	ch0= 381,	ch1=1639,	ch2= 383,	ch3= 114,	ch4=  74,	ch5=  90,	time=1728462964594433,	delta=842,	
seq=52,	ch0= 578,	ch1=1615,	ch2= 203,	ch3= 119,	ch4=  75,	ch5=  84,	time=1728462964595275,	delta=842,	
seq=53,	ch0= 808,	ch1=1514,	ch2=  56,	ch3= 122,	ch4=  85,	ch5=  85,	time=1728462964596117,	delta=842,	
seq=54,	ch0=1008,	ch1=1381,	ch2=   0,	ch3= 113,	ch4=  79,	ch5=  85,	time=1728462964596959,	delta=842,	
seq=55,	ch0=1210,	ch1=1202,	ch2=   0,	ch3= 120,	ch4=  69,	ch5=  88,	time=1728462964597800,	delta=841,	
seq=56,	ch0=1357,	ch1= 996,	ch2=   0,	ch3= 109,	ch4=  65,	ch5=  78,	time=1728462964598642,	delta=842,	
seq=57,	ch0=1489,	ch1= 779,	ch2= 141,	ch3= 116,	ch4=  80,	ch5=  87,	time=1728462964599484,	delta=842,	
seq=58,	ch0=1575,	ch1= 550,	ch2= 217,	ch3= 117,	ch4=  75,	ch5= 130,	time=1728462964600326,	delta=842,	
seq=59,	ch0=1602,	ch1= 360,	ch2= 422,	ch3= 116,	ch4=  81,	ch5=  82,	time=1728462964601168,	delta=842,	
seq=60,	ch0=1526,	ch1= 301,	ch2= 638,	ch3= 153,	ch4=  96,	ch5=  41,	time=1728462964602010,	delta=842,	
seq=61,	ch0=1486,	ch1=  96,	ch2= 882,	ch3= 114,	ch4= 162,	ch5=  58,	time=1728462964602852,	delta=842,	
seq=62,	ch0=1298,	ch1=   0,	ch2=1082,	ch3= 132,	ch4= 136,	ch5=  77,	time=1728462964603694,	delta=842,	
seq=63,	ch0=1138,	ch1=   1,	ch2=1322,	ch3= 125,	ch4=  74,	ch5=  92,	time=1728462964604535,	delta=841,	
seq=64,	ch0= 932,	ch1=   0,	ch2=1494,	ch3= 124,	ch4=  74,	ch5=  90,	time=1728462964605474,	delta=939,	
seq=65,	ch0= 719,	ch1=  90,	ch2=1632,	ch3= 132,	ch4=  79,	ch5=  82,	time=1728462964606315,	delta=841,	
seq=66,	ch0= 503,	ch1= 238,	ch2=1711,	ch3= 138,	ch4=  82,	ch5=  84,	time=1728462964607157,	delta=842,	
seq=67,	ch0= 314,	ch1= 426,	ch2=1728,	ch3= 126,	ch4=  81,	ch5=  90,	time=1728462964607999,	delta=842,	
seq=68,	ch0= 142,	ch1= 634,	ch2=1678,	ch3= 102,	ch4=  77,	ch5=  90,	time=1728462964608841,	delta=842,	
seq=69,	ch0=  15,	ch1= 847,	ch2=1572,	ch3= 128,	ch4=  84,	ch5=  77,	time=1728462964609683,	delta=842,	
seq=70,	ch0=   0,	ch1=1066,	ch2=1422,	ch3= 129,	ch4=  92,	ch5=  90,	time=1728462964610525,	delta=842,	
seq=71,	ch0=   0,	ch1=1250,	ch2=1228,	ch3= 125,	ch4=  81,	ch5=  86,	time=1728462964611366,	delta=841,	
seq=72,	ch0=   0,	ch1=1433,	ch2=1066,	ch3= 127,	ch4= 125,	ch5= 101,	time=1728462964612207,	delta=841,	
seq=73,	ch0=  93,	ch1=1547,	ch2= 661,	ch3= 106,	ch4=  64,	ch5= 184,	time=1728462964613049,	delta=842,	
seq=74,	ch0= 253,	ch1=1625,	ch2= 489,	ch3= 109,	ch4=  94,	ch5= 141,	time=1728462964613891,	delta=842,	
seq=75,	ch0= 421,	ch1=1645,	ch2= 335,	ch3= 122,	ch4=  74,	ch5=  82,	time=1728462964614733,	delta=842,	
seq=76,	ch0= 644,	ch1=1587,	ch2= 154,	ch3= 114,	ch4=  85,	ch5=  85,	time=1728462964615575,	delta=842,	
seq=77,	ch0= 857,	ch1=1495,	ch2=  37,	ch3= 124,	ch4=  71,	ch5=  84,	time=1728462964616417,	delta=842,	
seq=78,	ch0=1056,	ch1=1347,	ch2=   1,	ch3= 120,	ch4=  82,	ch5=  78,	time=1728462964617259,	delta=842,	
seq=79,	ch0=1242,	ch1=1149,	ch2=   1,	ch3= 116,	ch4=  77,	ch5=  82,	time=1728462964618100,	delta=841,	
seq=80,	ch0=1493,	ch1= 939,	ch2=  13,	ch3= 116,	ch4=  68,	ch5=  90,	time=1728462964618894,	delta=794,	
seq=81,	ch0=1504,	ch1= 718,	ch2= 122,	ch3= 154,	ch4=  65,	ch5=  82,	time=1728462964619736,	delta=842,	
