seq=44,	ch0= 149,	ch1= 202,	ch2= 842,	ch3= 397,	ch4=  18,	ch5= 732,	time=1728462916724488,	delta=842,	
seq=45,	ch0=  70,	ch1= 306,	ch2= 824,	ch3= 306,	ch4=  68,	ch5= 779,	time=1728462916725330,	delta=842,	
seq=46,	ch0=   2,	ch1= 421,	ch2= 771,	ch3= 207,	ch4= 154,	ch5= 810,	time=1728462916726172,	delta=842,	
seq=47,	ch0=   0,	ch1= 515,	ch2= 696,	ch3= 119,	ch4= 237,	ch5= 797,	time=1728462916727014,	delta=842,	
seq=48,	ch0=   0,	ch1= 610,	ch2= 594,	ch3=  79,	ch4= 320,	ch5= 756,	time=1728462916727782,	delta=768,	
seq=49,	ch0=   0,	ch1= 691,	ch2= 489,	ch3=   0,	ch4= 397,	ch5= 690,	time=1728462916728624,	delta=842,	
seq=50,	ch0=  27,	ch1= 757,	ch2= 378,	ch3=   0,	ch4= 485,	ch5= 596,	time=1728462916729465,	delta=841,	
seq=51,	ch0= 100,	ch1= 805,	ch2= 260,	ch3=   0,	ch4= 558,	ch5= 503,	time=1728462916730306,	delta=841,	
seq=52,	ch0= 188,	ch1= 782,	ch2= 258,	ch3=   0,	ch4= 631,	ch5= 407,	time=1728462916731148,	delta=842,	
seq=53,	ch0= 281,	ch1= 804,	ch2= 119,	ch3=  45,	ch4= 644,	ch5= 345,	time=1728462916731990,	delta=842,	
seq=54,	ch0= 391,	ch1= 717,	ch2=   0,	ch3= 133,	ch4= 658,	ch5= 255,	time=1728462916732832,	delta=842,	
seq=55,	ch0= 509,	ch1= 656,	ch2=   0,	ch3= 252,	ch4= 653,	ch5=  93,	time=1728462916733674,	delta=842,	
seq=56,	ch0= 605,	ch1= 576,	ch2=   0,	ch3= 352,	ch4= 613,	ch5=  27,	time=1728462916734515,	delta=841,	
seq=57,	ch0= 683,	ch1= 461,	ch2=   5,	ch3= 457,	ch4= 549,	ch5=   0,	time=1728462916735356,	delta=841,	
seq=58,	ch0= 746,	ch1= 346,	ch2=  45,	ch3= 557,	ch4= 480,	ch5=   0,	time=1728462916736198,	delta=842,	
seq=59,	ch0= 780,	ch1= 257,	ch2= 125,	ch3= 626,	ch4= 389,	ch5=   0,	time=1728462916737040,	delta=842,	
seq=60,	ch0= 783,	ch1= 132,	ch2= 221,	ch3= 702,	ch4= 298,	ch5=   9,	time=1728462916737881,	delta=841,	
seq=61,	ch0= 765,	ch1=  69,	ch2= 337,	ch3= 757,	ch4= 212,	ch5=  75,	time=1728462916738723,	delta=842,	
seq=62,	ch0= 705,	ch1=   0,	ch2= 463,	ch3= 779,	ch4= 130,	ch5= 174,	time=1728462916739565,	delta=842,	
seq=63,	ch0= 594,	ch1=   0,	ch2= 576,	ch3= 795,	ch4=  64,	ch5= 292,	time=1728462916740407,	delta=842,	
seq=64,	ch0= 454,	ch1=   0,	ch2= 684,	ch3= 779,	ch4=   0,	ch5= 423,	time=1728462916741487,	delta=1080,	
seq=65,	ch0= 393,	ch1=   0,	ch2= 767,	ch3= 602,	ch4=   0,	ch5= 473,	time=1728462916742329,	delta=842,	
seq=66,	ch0= 288,	ch1=  41,	ch2= 805,	ch3= 543,	ch4=   0,	ch5= 596,	time=1728462916743170,	delta=841,	
seq=67,	ch0= 217,	ch1= 135,	ch2= 847,	ch3= 485,	ch4=   0,	ch5= 677,	time=1728462916744011,	delta=841,	
seq=68,	ch0= 130,	ch1= 221,	ch2= 841,	ch3= 383,	ch4=  33,	ch5= 746,	time=1728462916744853,	delta=842,	
seq=69,	ch0=  49,	ch1= 335,	ch2= 819,	ch3= 270,	ch4=  90,	ch5= 791,	time=1728462916745695,	delta=842,	
seq=70,	ch0=   0,	ch1= 448,	ch2= 760,	ch3= 184,	ch4= 169,	ch5= 802,	time=1728462916746537,	delta=842,	
seq=71,	ch0=   0,	ch1= 554,	ch2= 675,	ch3= 100,	ch4= 258,	ch5= 802,	time=1728462916747379,	delta=842,	
seq=72,	ch0=   0,	ch1= 735,	ch2= 565,	ch3=  33,	ch4= 349,	ch5= 724,	time=1728462916748220,	delta=841,	
seq=73,	ch0=   0,	ch1= 777,	ch2= 452,	ch3=   0,	ch4= 420,	ch5= 653,	time=1728462916749061,	delta=841,	
seq=74,	ch0=  57,	ch1= 762,	ch2= 345,	ch3=   0,	ch4= 543,	ch5= 577,	time=1728462916749902,	delta=841,	
seq=75,	ch0= 132,	ch1= 785,	ch2= 238,	ch3=   0,	ch4= 591,	ch5= 469,	time=1728462916750744,	delta=842,	
seq=76,	ch0= 232,	ch1= 759,	ch2= 154,	ch3=  11,	ch4= 560,	ch5= 346,	time=1728462916751586,	delta=842,	
seq=77,	ch0= 448,	ch1= 756,	ch2=  94,	ch3= 105,	ch4= 634,	ch5= 267,	time=1728462916752428,	delta=842,	
seq=78,	ch0= 377,	ch1= 705,	ch2=   0,	ch3= 226,	ch4= 655,	ch5= 181,	time=1728462916753270,	delta=842,	
seq=79,	ch0= 541,	ch1= 634,	ch2=   0,	ch3= 269,	ch4= 641,	ch5=  90,	time=1728462916754112,	delta=842,	
seq=80,	ch0= 635,	ch1= 541,	ch2=   0,	ch3= 387,	ch4= 594,	ch5=  10,	time=1728462916754670,	delta=558,	
seq=81,	ch0= 709,	ch1= 440,	ch2=  10,	ch3= 473,	ch4= 526,	ch5=   0,	time=1728462916755511,	delta=841,	
seq=82,	ch0= 752,	ch1= 324,	ch2=  79,	ch3= 580,	ch4= 452,	ch5=   0,	time=1728462916756353,	delta=842,	
seq=83,	ch0= 786,	ch1= 213,	ch2= 149,	ch3= 655,	ch4= 370,	ch5=   0,	time=1728462916757194,	delta=841,	
seq=84,	ch0= 773,	ch1= 141,	ch2= 254,	ch3= 709,	ch4= 287,	ch5=  37,	time=1728462916758036,	delta=842,	
seq=85,	ch0= 754,	ch1=  57,	ch2= 356,	ch3= 770,	ch4= 202,	ch5= 106,	time=1728462916758878,	delta=842,	
seq=86,	ch0= 689,	ch1=   0,	ch2= 489,	ch3= 785,	ch4= 117,	ch5= 189,	time=1728462916759720,	delta=842,	
seq=87,	ch0= 610,	ch1=   0,	ch2= 585,	ch3= 772,	ch4=  53,	ch5= 264,	time=1728462916760561,	delta=841,	
seq=88,	ch0= 512,	ch1=  73,	ch2= 666,	ch3= 767,	ch4=  23,	ch5= 381,	time=1728462916761402,	delta=841,	
seq=89,	ch0= 480,	ch1=  66,	ch2= 749,	ch3= 644,	ch4=   0,	ch5= 489,	time=1728462916762244,	delta=842,	
seq=90,	ch0= 305,	ch1=  53,	ch2= 825,	ch3= 555,	ch4=  21,	ch5= 631,	time=1728462916763085,	delta=841,	
seq=91,	ch0= 197,	ch1= 158,	ch2= 855,	ch3= 456,	ch4=   0,	ch5= 690,	time=1728462916763927,	delta=842,	
seq=92,	ch0= 101,	ch1= 253,	ch2= 847,	ch3= 354,	ch4=  48,	ch5= 760,	time=1728462916764769,	delta=842,	
seq=93,	ch0=  32,	ch1= 362,	ch2= 797,	ch3= 247,	ch4= 116,	ch5= 797,	time=1728462916765611,	delta=842,	
seq=94,	ch0=   0,	ch1= 470,	ch2= 743,	ch3= 151,	ch4= 192,	ch5= 810,	time=1728462916766453,	delta=842,	
seq=95,	ch0=   0,	ch1= 581,	ch2= 655,	ch3=  85,	ch4= 289,	ch5= 778,	time=1728462916767294,	delta=841,	
seq=96,	ch0=   0,	ch1= 673,	ch2= 543,	ch3=  10,	ch4= 363,	ch5= 729,	time=1728462916768146,	delta=852,	
seq=97,	ch0=   0,	ch1= 729,	ch2= 436,	ch3=   0,	ch4= 448,	ch5= 643,	time=1728462916768987,	delta=841,	
seq=98,	ch0=  64,	ch1= 777,	ch2= 312,	ch3=   0,	ch4= 527,	ch5= 546,	time=1728462916769829,	delta=842,	
seq=99,	ch0= 149,	ch1= 809,	ch2= 269,	ch3=   0,	ch4= 621,	ch5= 463,	time=1728462916770670,	delta=841,	
seq=100,	ch0= 249,	ch1= 783,	ch2=  16,	ch3=  18,	ch4= 613,	ch5= 418,	time=1728462916771512,	delta=842,	
seq=101,	ch0= 357,	ch1= 761,	ch2=   0,	ch3=  98,	ch4= 679,	ch5= 284,	time=1728462916772354,	delta=842,	
seq=102,	ch0= 476,	ch1= 700,	ch2=   0,	ch3= 201,	ch4= 663,	ch5= 139,	time=1728462916773196,	delta=842,	
seq=103,	ch0= 562,	ch1= 613,	ch2=   0,	ch3= 296,	ch4= 635,	ch5=  65,	time=1728462916774038,	delta=842,	
seq=104,	ch0= 661,	ch1= 517,	ch2=   0,	ch3= 402,	ch4= 587,	ch5=   5,	time=1728462916774879,	delta=841,	
seq=105,	ch0= 724,	ch1= 417,	ch2=  20,	ch3= 496,	ch4= 506,	ch5=   0,	time=1728462916775720,	delta=841,	
seq=106,	ch0= 761,	ch1= 303,	ch2=  94,	ch3= 594,	ch4= 431,	ch5=   0,	time=1728462916776562,	delta=842,	
seq=107,	ch0= 782,	ch1= 175,	ch2= 186,	ch3= 672,	ch4= 332,	ch5=   0,	time=1728462916777404,	delta=842,	
seq=108,	ch0= 784,	ch1=  98,	ch2= 285,	ch3= 736,	ch4= 256,	ch5=  64,	time=1728462916778246,	delta=842,	
seq=109,	ch0= 736,	ch1=  29,	ch2= 407,	ch3= 767,	ch4= 169,	ch5= 137,	time=1728462916779088,	delta=842,	
seq=110,	ch0= 682,	ch1=   0,	ch2= 521,	ch3= 789,	ch4= 103,	ch5= 233,	time=1728462916779930,	delta=842,	
seq=111,	ch0= 528,	ch1=   0,	ch2= 615,	ch3= 718,	ch4=  33,	ch5= 316,	time=1728462916780771,	delta=841,	
seq=112,	ch0= 450,	ch1=   0,	ch2= 719,	ch3= 685,	ch4=   0,	ch5= 461,	time=1728462916781613,	delta=842,	
seq=113,	ch0= 369,	ch1=  50,	ch2= 786,	ch3= 626,	ch4=   0,	ch5= 520,	time=1728462916782455,	delta=842,	
seq=114,	ch0= 276,	ch1=  90,	ch2= 832,	ch3= 535,	ch4=   0,	ch5= 644,	time=1728462916783297,	delta=842,	
seq=115,	ch0= 177,	ch1= 183,	ch2= 847,	ch3= 423,	ch4=   0,	ch5= 719,	time=1728462916784139,	delta=842,	
seq=116,	ch0=  87,	ch1= 278,	ch2= 839,	ch3= 330,	ch4=  57,	ch5= 759,	time=1728462916784981,	delta=842,	
seq=117,	ch0=  10,	ch1= 381,	ch2= 793,	ch3= 238,	ch4= 133,	ch5= 807,	time=1728462916785823,	delta=842,	
seq=118,	ch0=   0,	ch1= 496,	ch2= 714,	ch3= 142,	ch4= 213,	ch5= 805,	time=1728462916786665,	delta=842,	
seq=119,	ch0=   0,	ch1= 649,	ch2= 629,	ch3=  64,	ch4= 297,	ch5= 767,	time=1728462916787507,	delta=842,	
seq=120,	ch0=   0,	ch1= 658,	ch2= 515,	ch3=   8,	ch4= 417,	ch5= 704,	time=1728462916788349,	delta=842,	
seq=121,	ch0=  18,	ch1= 750,	ch2= 405,	ch3=   0,	ch4= 494,	ch5= 622,	time=1728462916789190,	delta=841,	
seq=122,	ch0=  84,	ch1= 779,	ch2= 293,	ch3=   0,	ch4= 564,	ch5= 522,	time=1728462916790032,	delta=842,	
seq=123,	ch0= 162,	ch1= 757,	ch2= 173,	ch3=   0,	ch4= 557,	ch5= 407,	time=1728462916790873,	delta=841,	
seq=124,	ch0= 368,	ch1= 777,	ch2= 128,	ch3=  50,	ch4= 623,	ch5= 309,	time=1728462916791715,	delta=842,	
seq=125,	ch0= 277,	ch1= 744,	ch2=   6,	ch3= 184,	ch4= 650,	ch5= 256,	time=1728462916792557,	delta=842,	
seq=126,	ch0= 491,	ch1= 686,	ch2=   0,	ch3= 217,	ch4= 660,	ch5= 109,	time=1728462916793399,	delta=842,	
seq=127,	ch0= 583,	ch1= 594,	ch2=   0,	ch3= 322,	ch4= 626,	ch5=  50,	time=1728462916794240,	delta=841,	
seq=128,	ch0= 671,	ch1= 482,	ch2=   0,	ch3= 427,	ch4= 568,	ch5=   0,	time=1728462916795094,	delta=854,	
seq=129,	ch0= 746,	ch1= 385,	ch2=  24,	ch3= 522,	ch4= 506,	ch5=   0,	time=1728462916795935,	delta=841,	
seq=130,	ch0= 775,	ch1= 276,	ch2= 101,	ch3= 607,	ch4= 405,	ch5=   0,	time=1728462916796777,	delta=842,	
