seq=44,	ch0= 610,	ch1= 528,	ch2=   0,	ch3=  29,	ch4= 434,	ch5= 151,	time=1728461439567493,	delta=841,	
seq=45,	ch0= 706,	ch1= 429,	ch2=  74,	ch3= 117,	ch4= 462,	ch5=  81,	time=1728461439568335,	delta=842,	
seq=46,	ch0= 776,	ch1= 301,	ch2=  78,	ch3= 202,	ch4= 421,	ch5=  20,	time=1728461439569177,	delta=842,	
seq=47,	ch0= 788,	ch1= 203,	ch2= 161,	ch3= 274,	ch4= 391,	ch5=   0,	time=1728461439570019,	delta=842,	
seq=48,	ch0= 773,	ch1= 112,	ch2= 262,	ch3= 346,	ch4= 341,	ch5=   0,	time=1728461439570922,	delta=903,	
seq=49,	ch0= 738,	ch1=  34,	ch2= 373,	ch3= 407,	ch4= 290,	ch5=   0,	time=1728461439571764,	delta=842,	
seq=50,	ch0= 681,	ch1=   0,	ch2= 508,	ch3= 450,	ch4= 213,	ch5=   0,	time=1728461439572605,	delta=841,	
seq=51,	ch0= 576,	ch1=   0,	ch2= 615,	ch3= 476,	ch4= 148,	ch5=  26,	time=1728461439573446,	delta=841,	
seq=52,	ch0= 491,	ch1=   0,	ch2= 690,	ch3= 495,	ch4=  93,	ch5=  79,	time=1728461439574287,	delta=841,	
seq=53,	ch0= 401,	ch1=  29,	ch2= 778,	ch3= 520,	ch4=  42,	ch5= 137,	time=1728461439575129,	delta=842,	
seq=54,	ch0= 288,	ch1=  74,	ch2= 835,	ch3= 501,	ch4=   1,	ch5= 210,	time=1728461439575971,	delta=842,	
seq=55,	ch0= 242,	ch1= 164,	ch2= 864,	ch3= 456,	ch4=   0,	ch5= 298,	time=1728461439576813,	delta=842,	
seq=56,	ch0=  45,	ch1= 267,	ch2= 833,	ch3= 360,	ch4=   0,	ch5= 349,	time=1728461439577655,	delta=842,	
seq=57,	ch0=   9,	ch1= 356,	ch2= 895,	ch3= 353,	ch4=  16,	ch5= 429,	time=1728461439578497,	delta=842,	
seq=58,	ch0=   0,	ch1= 489,	ch2= 740,	ch3= 274,	ch4=   0,	ch5= 476,	time=1728461439579338,	delta=841,	
seq=59,	ch0=   0,	ch1= 586,	ch2= 638,	ch3= 194,	ch4=  34,	ch5= 496,	time=1728461439580179,	delta=841,	
seq=60,	ch0=   0,	ch1= 677,	ch2= 533,	ch3= 128,	ch4=  81,	ch5= 516,	time=1728461439581020,	delta=841,	
seq=61,	ch0=  18,	ch1= 757,	ch2= 418,	ch3=  69,	ch4= 138,	ch5= 522,	time=1728461439581861,	delta=841,	
seq=62,	ch0=  90,	ch1= 794,	ch2= 303,	ch3=  22,	ch4= 207,	ch5= 494,	time=1728461439582703,	delta=842,	
seq=63,	ch0= 165,	ch1= 808,	ch2= 280,	ch3=   0,	ch4= 276,	ch5= 459,	time=1728461439583545,	delta=842,	
seq=64,	ch0= 264,	ch1= 797,	ch2=  81,	ch3=   0,	ch4= 320,	ch5= 458,	time=1728461439584297,	delta=752,	
seq=65,	ch0= 373,	ch1= 842,	ch2=   8,	ch3=   0,	ch4= 368,	ch5= 329,	time=1728461439585139,	delta=842,	
seq=66,	ch0= 485,	ch1= 663,	ch2=   0,	ch3=   0,	ch4= 418,	ch5= 249,	time=1728461439585980,	delta=841,	
seq=67,	ch0= 685,	ch1= 587,	ch2=  34,	ch3=  33,	ch4= 391,	ch5= 172,	time=1728461439586821,	delta=841,	
seq=68,	ch0= 597,	ch1= 500,	ch2=  18,	ch3= 122,	ch4= 420,	ch5= 114,	time=1728461439587663,	delta=842,	
seq=69,	ch0= 720,	ch1= 448,	ch2=  18,	ch3= 118,	ch4= 437,	ch5=  26,	time=1728461439588505,	delta=842,	
seq=70,	ch0= 776,	ch1= 290,	ch2=  98,	ch3= 220,	ch4= 418,	ch5=  13,	time=1728461439589347,	delta=842,	
seq=71,	ch0= 782,	ch1= 175,	ch2= 195,	ch3= 300,	ch4= 373,	ch5=   0,	time=1728461439590188,	delta=841,	
seq=72,	ch0= 770,	ch1=  93,	ch2= 298,	ch3= 369,	ch4= 328,	ch5=   0,	time=1728461439591030,	delta=842,	
seq=73,	ch0= 728,	ch1=  21,	ch2= 409,	ch3= 417,	ch4= 269,	ch5=   0,	time=1728461439591871,	delta=841,	
seq=74,	ch0= 661,	ch1=   0,	ch2= 533,	ch3= 465,	ch4= 200,	ch5=   0,	time=1728461439592712,	delta=841,	
seq=75,	ch0= 576,	ch1=   0,	ch2= 631,	ch3= 485,	ch4= 128,	ch5=  42,	time=1728461439593553,	delta=841,	
seq=76,	ch0= 462,	ch1=   0,	ch2= 722,	ch3= 507,	ch4=  85,	ch5= 100,	time=1728461439594394,	delta=841,	
seq=77,	ch0= 382,	ch1=  45,	ch2= 794,	ch3= 504,	ch4=  45,	ch5= 158,	time=1728461439595236,	delta=842,	
seq=78,	ch0= 264,	ch1=  97,	ch2= 846,	ch3= 489,	ch4=   0,	ch5= 239,	time=1728461439596078,	delta=842,	
seq=79,	ch0= 282,	ch1= 171,	ch2= 897,	ch3= 466,	ch4=   0,	ch5= 320,	time=1728461439596920,	delta=842,	
seq=80,	ch0=   9,	ch1= 290,	ch2= 868,	ch3= 436,	ch4=   0,	ch5= 394,	time=1728461439597762,	delta=842,	
seq=81,	ch0=   0,	ch1= 486,	ch2= 801,	ch3= 305,	ch4=   0,	ch5= 426,	time=1728461439598604,	delta=842,	
seq=82,	ch0=   0,	ch1= 517,	ch2= 707,	ch3= 252,	ch4=   0,	ch5= 476,	time=1728461439599445,	delta=841,	
seq=83,	ch0=   0,	ch1= 618,	ch2= 617,	ch3= 177,	ch4=  45,	ch5= 506,	time=1728461439600286,	delta=841,	
seq=84,	ch0=   0,	ch1= 697,	ch2= 511,	ch3= 109,	ch4=  93,	ch5= 512,	time=1728461439601127,	delta=841,	
seq=85,	ch0=  32,	ch1= 766,	ch2= 394,	ch3=  64,	ch4= 164,	ch5= 504,	time=1728461439601968,	delta=841,	
seq=86,	ch0=  98,	ch1= 797,	ch2= 277,	ch3=  20,	ch4= 225,	ch5= 477,	time=1728461439602810,	delta=842,	
seq=87,	ch0= 181,	ch1= 805,	ch2= 162,	ch3=   0,	ch4= 284,	ch5= 448,	time=1728461439603652,	delta=842,	
seq=88,	ch0= 286,	ch1= 778,	ch2= 125,	ch3=   0,	ch4= 338,	ch5= 390,	time=1728461439604494,	delta=842,	
seq=89,	ch0= 394,	ch1= 743,	ch2=   0,	ch3=   0,	ch4= 386,	ch5= 304,	time=1728461439605336,	delta=842,	
seq=90,	ch0= 508,	ch1= 704,	ch2=   0,	ch3=   0,	ch4= 415,	ch5= 239,	time=1728461439606177,	delta=841,	
seq=91,	ch0= 624,	ch1= 543,	ch2=   0,	ch3=  42,	ch4= 442,	ch5= 165,	time=1728461439607018,	delta=841,	
seq=92,	ch0= 773,	ch1= 469,	ch2=   2,	ch3=  75,	ch4= 417,	ch5= 101,	time=1728461439607859,	delta=841,	
seq=93,	ch0= 706,	ch1= 377,	ch2=  45,	ch3= 105,	ch4= 418,	ch5=  66,	time=1728461439608701,	delta=842,	
seq=94,	ch0= 783,	ch1= 261,	ch2= 117,	ch3= 244,	ch4= 389,	ch5=   0,	time=1728461439609543,	delta=842,	
seq=95,	ch0= 792,	ch1= 167,	ch2= 224,	ch3= 313,	ch4= 368,	ch5=   0,	time=1728461439610384,	delta=841,	
seq=96,	ch0= 767,	ch1=  79,	ch2= 335,	ch3= 378,	ch4= 312,	ch5=   0,	time=1728461439611248,	delta=864,	
seq=97,	ch0= 708,	ch1=  13,	ch2= 448,	ch3= 431,	ch4= 249,	ch5=   0,	time=1728461439612089,	delta=841,	
