seq=44,	ch0=1487,	ch1= 911,	ch2=  42,	ch3= 407,	ch4= 690,	ch5=   2,	time=1728463219920365,	delta=842,	
seq=45,	ch0=1540,	ch1= 568,	ch2= 148,	ch3= 527,	ch4= 623,	ch5=   0,	time=1728463219921207,	delta=842,	
seq=46,	ch0=1621,	ch1= 395,	ch2= 340,	ch3= 639,	ch4= 440,	ch5=   0,	time=1728463219922049,	delta=842,	
seq=47,	ch0=1582,	ch1= 251,	ch2= 558,	ch3= 709,	ch4= 394,	ch5=   0,	time=1728463219922891,	delta=842,	
seq=48,	ch0=1508,	ch1=  98,	ch2= 784,	ch3= 783,	ch4= 293,	ch5=  32,	time=1728463219923583,	delta=692,	
seq=49,	ch0=1379,	ch1=   0,	ch2=1016,	ch3= 816,	ch4= 197,	ch5= 101,	time=1728463219924425,	delta=842,	
seq=50,	ch0=1217,	ch1=   0,	ch2=1233,	ch3= 836,	ch4= 109,	ch5= 194,	time=1728463219925266,	delta=841,	
seq=51,	ch0=1017,	ch1=   5,	ch2=1426,	ch3= 834,	ch4=  52,	ch5= 309,	time=1728463219926108,	delta=842,	
seq=52,	ch0= 805,	ch1=  45,	ch2=1577,	ch3= 786,	ch4=   5,	ch5= 425,	time=1728463219926950,	delta=842,	
seq=53,	ch0= 586,	ch1= 184,	ch2=1684,	ch3= 710,	ch4=   0,	ch5= 546,	time=1728463219927792,	delta=842,	
seq=54,	ch0= 389,	ch1= 353,	ch2=1728,	ch3= 610,	ch4=   0,	ch5= 650,	time=1728463219928634,	delta=842,	
seq=55,	ch0= 217,	ch1= 556,	ch2=1728,	ch3= 501,	ch4=   0,	ch5= 728,	time=1728463219929476,	delta=842,	
seq=56,	ch0=  85,	ch1= 755,	ch2=1547,	ch3= 383,	ch4=  55,	ch5= 880,	time=1728463219930318,	delta=842,	
seq=57,	ch0=  34,	ch1=1006,	ch2=1448,	ch3= 261,	ch4= 122,	ch5= 739,	time=1728463219931160,	delta=842,	
seq=58,	ch0=   8,	ch1=1216,	ch2=1288,	ch3= 168,	ch4= 166,	ch5= 794,	time=1728463219932002,	delta=842,	
seq=59,	ch0=   0,	ch1=1368,	ch2=1098,	ch3=  84,	ch4= 289,	ch5= 821,	time=1728463219932844,	delta=842,	
seq=60,	ch0=  43,	ch1=1493,	ch2= 866,	ch3=  24,	ch4= 381,	ch5= 765,	time=1728463219933686,	delta=842,	
seq=61,	ch0= 180,	ch1=1606,	ch2= 629,	ch3=   0,	ch4= 477,	ch5= 709,	time=1728463219934528,	delta=842,	
seq=62,	ch0= 357,	ch1=1640,	ch2= 418,	ch3=   0,	ch4= 562,	ch5= 593,	time=1728463219935370,	delta=842,	
seq=63,	ch0= 545,	ch1=1615,	ch2= 229,	ch3=   0,	ch4= 623,	ch5= 476,	time=1728463219936212,	delta=842,	
seq=64,	ch0= 854,	ch1=1510,	ch2=  68,	ch3=  28,	ch4= 651,	ch5= 362,	time=1728463219937136,	delta=924,	
seq=65,	ch0= 960,	ch1=1396,	ch2=   0,	ch3= 149,	ch4= 682,	ch5= 250,	time=1728463219937978,	delta=842,	
seq=66,	ch0=1160,	ch1=1227,	ch2=   0,	ch3= 231,	ch4= 679,	ch5= 146,	time=1728463219938820,	delta=842,	
seq=67,	ch0=1336,	ch1=1026,	ch2=   0,	ch3= 311,	ch4= 663,	ch5=  64,	time=1728463219939662,	delta=842,	
seq=68,	ch0=1436,	ch1= 816,	ch2=  74,	ch3= 412,	ch4= 610,	ch5=  37,	time=1728463219940504,	delta=842,	
seq=69,	ch0=1549,	ch1= 610,	ch2= 218,	ch3= 546,	ch4= 522,	ch5=   0,	time=1728463219941346,	delta=842,	
seq=70,	ch0=1594,	ch1= 369,	ch2= 525,	ch3= 645,	ch4= 484,	ch5=   8,	time=1728463219942188,	delta=842,	
seq=71,	ch0=1563,	ch1= 212,	ch2= 617,	ch3= 730,	ch4= 360,	ch5=   0,	time=1728463219943030,	delta=842,	
seq=72,	ch0=1481,	ch1=  64,	ch2= 847,	ch3= 796,	ch4= 270,	ch5=  37,	time=1728463219943872,	delta=842,	
seq=73,	ch0=1344,	ch1=   0,	ch2=1088,	ch3= 832,	ch4= 167,	ch5= 128,	time=1728463219944714,	delta=842,	
seq=74,	ch0=1173,	ch1=   0,	ch2=1289,	ch3= 849,	ch4=  98,	ch5= 215,	time=1728463219945556,	delta=842,	
