seq=44,	ch0= 402,	ch1= 788,	ch2= 117,	ch3=  26,	ch4= 525,	ch5= 297,	time=1728462796543220,	delta=842,	
seq=45,	ch0= 418,	ch1= 736,	ch2=   9,	ch3=  73,	ch4= 568,	ch5= 207,	time=1728462796544062,	delta=842,	
seq=46,	ch0= 522,	ch1= 658,	ch2=   0,	ch3= 141,	ch4= 568,	ch5= 122,	time=1728462796544903,	delta=841,	
seq=47,	ch0= 615,	ch1= 570,	ch2=   0,	ch3= 233,	ch4= 540,	ch5=  48,	time=1728462796545744,	delta=841,	
seq=48,	ch0= 698,	ch1= 469,	ch2=   0,	ch3= 323,	ch4= 509,	ch5=   0,	time=1728462796546618,	delta=874,	
seq=49,	ch0= 752,	ch1= 356,	ch2=  53,	ch3= 418,	ch4= 450,	ch5=   0,	time=1728462796547460,	delta=842,	
seq=50,	ch0= 781,	ch1= 249,	ch2= 132,	ch3= 485,	ch4= 383,	ch5=   0,	time=1728462796548301,	delta=841,	
seq=51,	ch0= 781,	ch1= 137,	ch2= 223,	ch3= 562,	ch4= 303,	ch5=   0,	time=1728462796549143,	delta=842,	
seq=52,	ch0= 760,	ch1=  72,	ch2= 335,	ch3= 606,	ch4= 238,	ch5=  46,	time=1728462796549985,	delta=842,	
seq=53,	ch0= 703,	ch1=   5,	ch2= 456,	ch3= 634,	ch4= 148,	ch5= 101,	time=1728462796550827,	delta=842,	
seq=54,	ch0= 648,	ch1=   0,	ch2= 529,	ch3= 645,	ch4=  95,	ch5= 215,	time=1728462796551668,	delta=841,	
seq=55,	ch0= 554,	ch1=   0,	ch2= 638,	ch3= 633,	ch4=  10,	ch5= 197,	time=1728462796552509,	delta=841,	
seq=56,	ch0= 405,	ch1= 104,	ch2= 741,	ch3= 606,	ch4=   0,	ch5= 313,	time=1728462796553350,	delta=841,	
seq=57,	ch0= 320,	ch1=  43,	ch2= 810,	ch3= 545,	ch4=   0,	ch5= 448,	time=1728462796554191,	delta=841,	
seq=58,	ch0= 218,	ch1= 137,	ch2= 843,	ch3= 463,	ch4=   0,	ch5= 533,	time=1728462796555032,	delta=841,	
seq=59,	ch0= 122,	ch1= 229,	ch2= 843,	ch3= 369,	ch4=   2,	ch5= 599,	time=1728462796555874,	delta=842,	
seq=60,	ch0=  50,	ch1= 335,	ch2= 826,	ch3= 290,	ch4=  46,	ch5= 642,	time=1728462796556716,	delta=842,	
seq=61,	ch0=   4,	ch1= 456,	ch2= 757,	ch3= 202,	ch4= 114,	ch5= 672,	time=1728462796557558,	delta=842,	
seq=62,	ch0=  42,	ch1= 543,	ch2= 677,	ch3= 123,	ch4= 167,	ch5= 669,	time=1728462796558399,	delta=841,	
seq=63,	ch0=  15,	ch1= 629,	ch2= 576,	ch3=  96,	ch4= 248,	ch5= 639,	time=1728462796559240,	delta=841,	
seq=64,	ch0=   0,	ch1= 714,	ch2= 458,	ch3=  43,	ch4= 324,	ch5= 603,	time=1728462796560138,	delta=898,	
seq=65,	ch0=  30,	ch1= 773,	ch2= 345,	ch3=  13,	ch4= 402,	ch5= 533,	time=1728462796560979,	delta=841,	
seq=66,	ch0= 109,	ch1= 797,	ch2= 214,	ch3=   0,	ch4= 458,	ch5= 463,	time=1728462796561821,	delta=842,	
seq=67,	ch0= 218,	ch1= 853,	ch2= 170,	ch3=   0,	ch4= 506,	ch5= 389,	time=1728462796562662,	delta=841,	
seq=68,	ch0= 330,	ch1= 786,	ch2=  58,	ch3=  22,	ch4= 561,	ch5= 277,	time=1728462796563504,	delta=842,	
seq=69,	ch0= 434,	ch1= 710,	ch2=   0,	ch3=  96,	ch4= 570,	ch5= 180,	time=1728462796564346,	delta=842,	
seq=70,	ch0= 554,	ch1= 634,	ch2=   0,	ch3= 171,	ch4= 576,	ch5= 103,	time=1728462796565187,	delta=841,	
seq=71,	ch0= 632,	ch1= 544,	ch2=   0,	ch3= 253,	ch4= 539,	ch5=  41,	time=1728462796566028,	delta=841,	
seq=72,	ch0= 706,	ch1= 437,	ch2=   4,	ch3= 349,	ch4= 490,	ch5=   0,	time=1728462796566869,	delta=841,	
seq=73,	ch0= 760,	ch1= 326,	ch2=  72,	ch3= 422,	ch4= 424,	ch5=   0,	time=1728462796567711,	delta=842,	
seq=74,	ch0= 787,	ch1= 225,	ch2= 149,	ch3= 507,	ch4= 354,	ch5=   0,	time=1728462796568552,	delta=841,	
seq=75,	ch0= 767,	ch1= 133,	ch2= 257,	ch3= 580,	ch4= 287,	ch5=   0,	time=1728462796569393,	delta=841,	
seq=76,	ch0= 747,	ch1=  50,	ch2= 357,	ch3= 616,	ch4= 213,	ch5=  54,	time=1728462796570235,	delta=842,	
seq=77,	ch0= 700,	ch1=   0,	ch2= 464,	ch3= 657,	ch4= 177,	ch5= 104,	time=1728462796571077,	delta=842,	
seq=78,	ch0= 629,	ch1=   0,	ch2= 576,	ch3= 644,	ch4=   0,	ch5= 181,	time=1728462796571918,	delta=841,	
seq=79,	ch0= 510,	ch1=   0,	ch2= 690,	ch3= 621,	ch4=   0,	ch5= 290,	time=1728462796572759,	delta=841,	
seq=80,	ch0= 448,	ch1=   8,	ch2= 775,	ch3= 586,	ch4=   0,	ch5= 381,	time=1728462796573524,	delta=765,	
seq=81,	ch0= 303,	ch1=  74,	ch2= 821,	ch3= 526,	ch4=   0,	ch5= 463,	time=1728462796574365,	delta=841,	
seq=82,	ch0= 200,	ch1= 170,	ch2= 853,	ch3= 448,	ch4=   0,	ch5= 549,	time=1728462796575207,	delta=842,	
seq=83,	ch0=  98,	ch1= 250,	ch2= 850,	ch3= 354,	ch4=   9,	ch5= 606,	time=1728462796576049,	delta=842,	
seq=84,	ch0=  26,	ch1= 349,	ch2= 800,	ch3= 269,	ch4=  58,	ch5= 650,	time=1728462796576891,	delta=842,	
