seq=44,	ch0= 741,	ch1= 368,	ch2=  42,	ch3= 303,	ch4=  84,	ch5=  20,	time=1728462666177949,	delta=841,	
seq=45,	ch0= 779,	ch1= 258,	ch2= 122,	ch3= 327,	ch4=  46,	ch5=  53,	time=1728462666178790,	delta=841,	
seq=46,	ch0= 787,	ch1= 166,	ch2= 210,	ch3= 325,	ch4=  30,	ch5=  98,	time=1728462666179631,	delta=841,	
seq=47,	ch0= 757,	ch1=  85,	ch2= 324,	ch3= 320,	ch4=   0,	ch5= 151,	time=1728462666180472,	delta=841,	
seq=48,	ch0= 751,	ch1=   0,	ch2= 443,	ch3= 297,	ch4=   0,	ch5= 204,	time=1728462666181354,	delta=882,	
seq=49,	ch0= 686,	ch1=   0,	ch2= 555,	ch3= 259,	ch4=   0,	ch5= 248,	time=1728462666182195,	delta=841,	
seq=50,	ch0= 598,	ch1=   0,	ch2= 658,	ch3= 220,	ch4=   0,	ch5= 276,	time=1728462666183036,	delta=841,	
seq=51,	ch0= 474,	ch1=   0,	ch2= 741,	ch3= 172,	ch4=   0,	ch5= 302,	time=1728462666183876,	delta=840,	
seq=52,	ch0= 213,	ch1=  32,	ch2= 799,	ch3= 194,	ch4=   1,	ch5= 372,	time=1728462666184717,	delta=841,	
seq=53,	ch0= 178,	ch1= 116,	ch2= 874,	ch3= 129,	ch4=  50,	ch5= 346,	time=1728462666185558,	delta=841,	
seq=54,	ch0=  93,	ch1= 200,	ch2= 817,	ch3=   0,	ch4=  90,	ch5= 348,	time=1728462666186400,	delta=842,	
seq=55,	ch0=  57,	ch1= 330,	ch2= 816,	ch3=   9,	ch4= 143,	ch5= 334,	time=1728462666187241,	delta=841,	
seq=56,	ch0=   0,	ch1= 426,	ch2= 770,	ch3=   0,	ch4= 178,	ch5= 299,	time=1728462666188082,	delta=841,	
seq=57,	ch0=   0,	ch1= 534,	ch2= 680,	ch3=   0,	ch4= 229,	ch5= 267,	time=1728462666188923,	delta=841,	
