seq=44,	ch0= 362,	ch1=  29,	ch2= 788,	ch3= 474,	ch4=   0,	ch5= 535,	time=1728462895461275,	delta=842,	
seq=45,	ch0= 256,	ch1= 104,	ch2= 847,	ch3= 383,	ch4=   0,	ch5= 578,	time=1728462895462116,	delta=841,	
seq=46,	ch0= 162,	ch1= 186,	ch2= 847,	ch3= 293,	ch4=  40,	ch5= 634,	time=1728462895462958,	delta=842,	
seq=47,	ch0=  86,	ch1= 282,	ch2= 821,	ch3= 202,	ch4=  70,	ch5= 676,	time=1728462895463800,	delta=842,	
seq=48,	ch0=  10,	ch1= 393,	ch2= 789,	ch3= 136,	ch4= 161,	ch5= 683,	time=1728462895464491,	delta=691,	
seq=49,	ch0=   0,	ch1= 501,	ch2= 708,	ch3= 136,	ch4= 229,	ch5= 690,	time=1728462895465333,	delta=842,	
seq=50,	ch0=   0,	ch1= 598,	ch2= 637,	ch3=  64,	ch4= 308,	ch5= 634,	time=1728462895466174,	delta=841,	
seq=51,	ch0=   0,	ch1= 687,	ch2= 522,	ch3=  21,	ch4= 367,	ch5= 538,	time=1728462895467015,	delta=841,	
seq=52,	ch0=  22,	ch1= 752,	ch2= 397,	ch3=   0,	ch4= 437,	ch5= 474,	time=1728462895467856,	delta=841,	
seq=53,	ch0=  98,	ch1= 791,	ch2= 270,	ch3=   0,	ch4= 489,	ch5= 370,	time=1728462895468698,	delta=842,	
seq=54,	ch0= 178,	ch1= 809,	ch2= 173,	ch3=  25,	ch4= 529,	ch5= 277,	time=1728462895469540,	delta=842,	
seq=55,	ch0= 279,	ch1= 778,	ch2=  79,	ch3=  87,	ch4= 552,	ch5= 199,	time=1728462895470382,	delta=842,	
seq=56,	ch0= 398,	ch1= 743,	ch2=   9,	ch3= 165,	ch4= 561,	ch5= 117,	time=1728462895471224,	delta=842,	
seq=57,	ch0= 504,	ch1= 680,	ch2=   0,	ch3= 251,	ch4= 535,	ch5=  57,	time=1728462895472066,	delta=842,	
seq=58,	ch0= 599,	ch1= 580,	ch2=   0,	ch3= 349,	ch4= 487,	ch5=   0,	time=1728462895472907,	delta=841,	
seq=59,	ch0= 687,	ch1= 562,	ch2=   0,	ch3= 426,	ch4= 430,	ch5=   0,	time=1728462895473748,	delta=841,	
seq=60,	ch0= 736,	ch1= 396,	ch2=  36,	ch3= 502,	ch4= 356,	ch5=   0,	time=1728462895474590,	delta=842,	
seq=61,	ch0= 805,	ch1= 293,	ch2=  89,	ch3= 576,	ch4= 331,	ch5=   0,	time=1728462895475431,	delta=841,	
seq=62,	ch0= 777,	ch1=  82,	ch2= 202,	ch3= 639,	ch4= 269,	ch5=  23,	time=1728462895476273,	delta=842,	
seq=63,	ch0= 779,	ch1=  40,	ch2= 306,	ch3= 631,	ch4=  97,	ch5= 101,	time=1728462895477115,	delta=842,	
seq=64,	ch0= 721,	ch1=   8,	ch2= 436,	ch3= 662,	ch4=  82,	ch5= 183,	time=1728462895477909,	delta=794,	
seq=65,	ch0= 644,	ch1=   0,	ch2= 553,	ch3= 649,	ch4=  41,	ch5= 287,	time=1728462895478751,	delta=842,	
seq=66,	ch0= 555,	ch1=   0,	ch2= 658,	ch3= 607,	ch4=   0,	ch5= 378,	time=1728462895479592,	delta=841,	
seq=67,	ch0= 455,	ch1=   0,	ch2= 739,	ch3= 546,	ch4=   0,	ch5= 457,	time=1728462895480433,	delta=841,	
seq=68,	ch0= 346,	ch1=  46,	ch2= 801,	ch3= 450,	ch4=   0,	ch5= 542,	time=1728462895481275,	delta=842,	
seq=69,	ch0= 220,	ch1= 132,	ch2= 857,	ch3= 345,	ch4=   0,	ch5= 612,	time=1728462895482116,	delta=841,	
seq=70,	ch0= 139,	ch1= 229,	ch2= 853,	ch3= 269,	ch4=  41,	ch5= 657,	time=1728462895482958,	delta=842,	
seq=71,	ch0=  50,	ch1= 322,	ch2= 828,	ch3= 188,	ch4= 116,	ch5= 677,	time=1728462895483800,	delta=842,	
seq=72,	ch0=   1,	ch1= 431,	ch2= 738,	ch3= 107,	ch4= 186,	ch5= 694,	time=1728462895484642,	delta=842,	
seq=73,	ch0=   8,	ch1= 530,	ch2= 661,	ch3=  37,	ch4= 235,	ch5= 601,	time=1728462895485484,	delta=842,	
seq=74,	ch0=   0,	ch1= 750,	ch2= 576,	ch3=  10,	ch4= 334,	ch5= 565,	time=1728462895486325,	delta=841,	
seq=75,	ch0=   0,	ch1= 817,	ch2= 469,	ch3=  10,	ch4= 407,	ch5= 500,	time=1728462895487166,	delta=841,	
seq=76,	ch0=  36,	ch1= 762,	ch2= 370,	ch3=   0,	ch4= 458,	ch5= 455,	time=1728462895488007,	delta=841,	
seq=77,	ch0= 121,	ch1= 794,	ch2= 249,	ch3=   0,	ch4= 506,	ch5= 352,	time=1728462895488849,	delta=842,	
seq=78,	ch0= 221,	ch1= 808,	ch2= 146,	ch3=  34,	ch4= 549,	ch5= 269,	time=1728462895489691,	delta=842,	
seq=79,	ch0= 314,	ch1= 784,	ch2=  68,	ch3= 113,	ch4= 553,	ch5= 178,	time=1728462895490533,	delta=842,	
seq=80,	ch0= 420,	ch1= 728,	ch2=   5,	ch3= 192,	ch4= 554,	ch5=  92,	time=1728462895491347,	delta=814,	
seq=81,	ch0= 493,	ch1= 648,	ch2=   1,	ch3= 329,	ch4= 526,	ch5=  64,	time=1728462895492189,	delta=842,	
seq=82,	ch0= 594,	ch1= 550,	ch2=   0,	ch3= 389,	ch4= 477,	ch5=   0,	time=1728462895493030,	delta=841,	
seq=83,	ch0= 676,	ch1= 458,	ch2=   0,	ch3= 432,	ch4= 415,	ch5=   0,	time=1728462895493871,	delta=841,	
seq=84,	ch0= 757,	ch1= 346,	ch2=  55,	ch3= 512,	ch4= 343,	ch5=   0,	time=1728462895494713,	delta=842,	
seq=85,	ch0= 775,	ch1= 257,	ch2= 136,	ch3= 567,	ch4= 258,	ch5=   0,	time=1728462895495554,	delta=841,	
seq=86,	ch0= 783,	ch1= 149,	ch2= 335,	ch3= 624,	ch4= 224,	ch5=  58,	time=1728462895496396,	delta=842,	
seq=87,	ch0= 741,	ch1=  45,	ch2= 266,	ch3= 650,	ch4= 133,	ch5= 216,	time=1728462895497238,	delta=842,	
seq=88,	ch0= 698,	ch1=   1,	ch2= 462,	ch3= 658,	ch4=  69,	ch5= 216,	time=1728462895498080,	delta=842,	
seq=89,	ch0= 623,	ch1=   0,	ch2= 580,	ch3= 634,	ch4=  17,	ch5= 320,	time=1728462895498921,	delta=841,	
seq=90,	ch0= 535,	ch1=   0,	ch2= 676,	ch3= 593,	ch4=   0,	ch5= 397,	time=1728462895499762,	delta=841,	
seq=91,	ch0= 434,	ch1=   2,	ch2= 760,	ch3= 513,	ch4=   0,	ch5= 476,	time=1728462895500603,	delta=841,	
seq=92,	ch0= 312,	ch1=  56,	ch2= 823,	ch3= 440,	ch4=   0,	ch5= 561,	time=1728462895501445,	delta=842,	
seq=93,	ch0= 210,	ch1= 125,	ch2= 834,	ch3= 337,	ch4=   9,	ch5= 612,	time=1728462895502287,	delta=842,	
seq=94,	ch0= 122,	ch1= 239,	ch2= 853,	ch3= 248,	ch4=  31,	ch5= 665,	time=1728462895503129,	delta=842,	
seq=95,	ch0=  50,	ch1= 353,	ch2= 820,	ch3= 180,	ch4= 121,	ch5= 690,	time=1728462895503971,	delta=842,	
seq=96,	ch0=   0,	ch1= 462,	ch2= 760,	ch3=  97,	ch4= 197,	ch5= 673,	time=1728462895504797,	delta=826,	
seq=97,	ch0=   0,	ch1= 562,	ch2= 696,	ch3=  98,	ch4= 277,	ch5= 680,	time=1728462895505638,	delta=841,	
seq=98,	ch0=   0,	ch1= 637,	ch2= 609,	ch3=  57,	ch4= 338,	ch5= 594,	time=1728462895506479,	delta=841,	
seq=99,	ch0=   0,	ch1= 722,	ch2= 448,	ch3=   0,	ch4= 405,	ch5= 505,	time=1728462895507320,	delta=841,	
seq=100,	ch0=  64,	ch1= 782,	ch2= 343,	ch3=   0,	ch4= 471,	ch5= 431,	time=1728462895508162,	delta=842,	
seq=101,	ch0= 145,	ch1= 802,	ch2= 225,	ch3=   1,	ch4= 509,	ch5= 329,	time=1728462895509004,	delta=842,	
seq=102,	ch0= 235,	ch1= 810,	ch2= 117,	ch3=  53,	ch4= 546,	ch5= 245,	time=1728462895509846,	delta=842,	
seq=103,	ch0= 341,	ch1= 767,	ch2=  54,	ch3= 130,	ch4= 557,	ch5= 162,	time=1728462895510688,	delta=842,	
seq=104,	ch0= 448,	ch1= 706,	ch2=   0,	ch3= 208,	ch4= 547,	ch5=  79,	time=1728462895511530,	delta=842,	
seq=105,	ch0= 565,	ch1= 626,	ch2=   0,	ch3= 299,	ch4= 511,	ch5=  23,	time=1728462895512371,	delta=841,	
seq=106,	ch0= 641,	ch1= 529,	ch2=   0,	ch3= 377,	ch4= 457,	ch5=   0,	time=1728462895513212,	delta=841,	
seq=107,	ch0= 714,	ch1= 455,	ch2=  11,	ch3= 466,	ch4= 385,	ch5=   0,	time=1728462895514053,	delta=841,	
seq=108,	ch0= 764,	ch1= 351,	ch2=  65,	ch3= 538,	ch4= 325,	ch5=   0,	time=1728462895514895,	delta=842,	
seq=109,	ch0= 764,	ch1= 109,	ch2= 162,	ch3= 590,	ch4= 327,	ch5=   2,	time=1728462895515737,	delta=842,	
seq=110,	ch0= 809,	ch1=  55,	ch2= 237,	ch3= 650,	ch4= 226,	ch5=  58,	time=1728462895516579,	delta=842,	
seq=111,	ch0= 837,	ch1=  17,	ch2= 400,	ch3= 665,	ch4=  67,	ch5= 149,	time=1728462895517421,	delta=842,	
seq=112,	ch0= 682,	ch1=   0,	ch2= 493,	ch3= 656,	ch4=  56,	ch5= 234,	time=1728462895518270,	delta=849,	
seq=113,	ch0= 597,	ch1=   0,	ch2= 607,	ch3= 630,	ch4=   8,	ch5= 322,	time=1728462895519111,	delta=841,	
seq=114,	ch0= 501,	ch1=   0,	ch2= 699,	ch3= 576,	ch4=   0,	ch5= 417,	time=1728462895519952,	delta=841,	
seq=115,	ch0= 404,	ch1=  16,	ch2= 776,	ch3= 498,	ch4=   0,	ch5= 506,	time=1728462895520793,	delta=841,	
seq=116,	ch0= 290,	ch1=  71,	ch2= 825,	ch3= 418,	ch4=   0,	ch5= 576,	time=1728462895521634,	delta=841,	
seq=117,	ch0= 188,	ch1= 164,	ch2= 834,	ch3= 293,	ch4=  32,	ch5= 629,	time=1728462895522475,	delta=841,	
seq=118,	ch0= 107,	ch1= 274,	ch2= 841,	ch3= 224,	ch4=  73,	ch5= 674,	time=1728462895523316,	delta=841,	
seq=119,	ch0=  18,	ch1= 373,	ch2= 802,	ch3= 160,	ch4= 146,	ch5= 683,	time=1728462895524158,	delta=842,	
seq=120,	ch0=   0,	ch1= 484,	ch2= 751,	ch3=  82,	ch4= 224,	ch5= 680,	time=1728462895525000,	delta=842,	
seq=121,	ch0=   0,	ch1= 570,	ch2= 538,	ch3=  10,	ch4= 288,	ch5= 730,	time=1728462895525842,	delta=842,	
seq=122,	ch0=   0,	ch1= 671,	ch2= 469,	ch3=   0,	ch4= 383,	ch5= 628,	time=1728462895526683,	delta=841,	
seq=123,	ch0=  68,	ch1= 760,	ch2= 381,	ch3=   0,	ch4= 421,	ch5= 406,	time=1728462895527524,	delta=841,	
seq=124,	ch0=  79,	ch1= 794,	ch2= 303,	ch3=   0,	ch4= 476,	ch5= 402,	time=1728462895528366,	delta=842,	
seq=125,	ch0= 158,	ch1= 813,	ch2= 206,	ch3=  20,	ch4= 520,	ch5= 308,	time=1728462895529208,	delta=842,	
seq=126,	ch0= 265,	ch1= 793,	ch2= 106,	ch3=  69,	ch4= 554,	ch5= 220,	time=1728462895530050,	delta=842,	
seq=127,	ch0= 370,	ch1= 761,	ch2=  20,	ch3= 142,	ch4= 565,	ch5= 146,	time=1728462895530892,	delta=842,	
seq=128,	ch0= 487,	ch1= 704,	ch2=   0,	ch3= 224,	ch4= 539,	ch5=  79,	time=1728462895531749,	delta=857,	
